缘分类型	缘分等级	特殊属性值（万分比）	基础属性值1	基础属性值2	基础属性值3	基础属性值4
fateType	fateLevel	attSpecialValue	attValue1	attValue2	attValue3	attValue4
Int1	Int2	Int	Int	Int	Int	Int
1	1	300	0	28840	0	0
1	2	600	0	28840	0	1601
1	3	900	0	28840	1601	1601
1	4	1200	2841	28840	1601	1601
1	5	1500	2841	57680	1601	1601
1	6	1800	2841	57680	1601	3202
1	7	2100	2841	57680	3202	3202
1	8	2400	5682	57680	3202	3202
1	9	2700	5682	86520	3202	3202
1	10	3000	5682	86520	3202	4803
1	11	3300	5682	86520	4803	4803
1	12	3600	8523	86520	4803	4803
1	13	3900	8523	115360	4803	4803
1	14	4200	8523	115360	4803	6404
1	15	4500	8523	115360	6404	6404
1	16	4800	11364	115360	6404	6404
1	17	5100	11364	144200	6404	6404
1	18	5400	11364	144200	6404	8005
1	19	5700	11364	144200	8005	8005
1	20	6000	14205	144200	8005	8005
1	21	6300	14205	173040	8005	8005
1	22	6600	14205	173040	8005	9606
1	23	6900	14205	173040	9606	9606
1	24	7200	17046	173040	9606	9606
1	25	7500	17046	201880	9606	9606
1	26	7800	17046	201880	9606	11207
1	27	8100	17046	201880	11207	11207
1	28	8400	19887	201880	11207	11207
1	29	8700	19887	230720	11207	11207
1	30	9000	19887	230720	11207	12808
1	31	9300	19887	230720	12808	12808
1	32	9600	22728	230720	12808	12808
1	33	9900	22728	259560	12808	12808
1	34	10200	22728	259560	12808	14409
1	35	10500	22728	259560	14409	14409
1	36	10800	25569	259560	14409	14409
1	37	11100	25569	288400	14409	14409
1	38	11400	25569	288400	14409	16010
1	39	11700	25569	288400	16010	16010
1	40	12000	28410	288400	16010	16010
1	41	12300	28410	317240	16010	16010
1	42	12600	28410	317240	16010	17611
1	43	12900	28410	317240	17611	17611
1	44	13200	31251	317240	17611	17611
1	45	13500	31251	346080	17611	17611
1	46	13800	31251	346080	17611	19212
1	47	14100	31251	346080	19212	19212
1	48	14400	34092	346080	19212	19212
1	49	14700	34092	374920	19212	19212
1	50	15000	34092	374920	19212	20813
1	51	15300	34092	374920	20813	20813
1	52	15600	36933	374920	20813	20813
1	53	15900	36933	403760	20813	20813
1	54	16200	36933	403760	20813	22414
1	55	16500	36933	403760	22414	22414
1	56	16800	39774	403760	22414	22414
1	57	17100	39774	432600	22414	22414
1	58	17400	39774	432600	22414	24015
1	59	17700	39774	432600	24015	24015
1	60	18000	42615	432600	24015	24015
1	61	18300	42615	461440	24015	24015
1	62	18600	42615	461440	24015	25616
1	63	18900	42615	461440	25616	25616
1	64	19200	45456	461440	25616	25616
1	65	19500	45456	490280	25616	25616
1	66	19800	45456	490280	25616	27217
1	67	20100	45456	490280	27217	27217
1	68	20400	48297	490280	27217	27217
1	69	20700	48297	519120	27217	27217
1	70	21000	48297	519120	27217	28818
1	71	21300	48297	519120	28818	28818
1	72	21600	51138	519120	28818	28818
1	73	21900	51138	547960	28818	28818
1	74	22200	51138	547960	28818	30419
1	75	22500	51138	547960	30419	30419
1	76	22800	53979	547960	30419	30419
1	77	23100	53979	576800	30419	30419
1	78	23400	53979	576800	30419	32020
1	79	23700	53979	576800	32020	32020
1	80	24000	56820	576800	32020	32020
1	81	24300	56820	605640	32020	32020
1	82	24600	56820	605640	32020	33621
1	83	24900	56820	605640	33621	33621
1	84	25200	59661	605640	33621	33621
1	85	25500	59661	634480	33621	33621
1	86	25800	59661	634480	33621	35222
1	87	26100	59661	634480	35222	35222
1	88	26400	62502	634480	35222	35222
1	89	26700	62502	663320	35222	35222
1	90	27000	62502	663320	35222	36823
1	91	27300	62502	663320	36823	36823
1	92	27600	65343	663320	36823	36823
1	93	27900	65343	692160	36823	36823
1	94	28200	65343	692160	36823	38424
1	95	28500	65343	692160	38424	38424
1	96	28800	68184	692160	38424	38424
1	97	29100	68184	721000	38424	38424
1	98	29400	68184	721000	38424	40025
1	99	29700	68184	721000	40025	40025
1	100	30000	71025	721000	40025	40025
2	1	300	0	28840	0	0
2	2	600	0	28840	0	1601
2	3	900	0	28840	1601	1601
2	4	1200	2841	28840	1601	1601
2	5	1500	2841	57680	1601	1601
2	6	1800	2841	57680	1601	3202
2	7	2100	2841	57680	3202	3202
2	8	2400	5682	57680	3202	3202
2	9	2700	5682	86520	3202	3202
2	10	3000	5682	86520	3202	4803
2	11	3300	5682	86520	4803	4803
2	12	3600	8523	86520	4803	4803
2	13	3900	8523	115360	4803	4803
2	14	4200	8523	115360	4803	6404
2	15	4500	8523	115360	6404	6404
2	16	4800	11364	115360	6404	6404
2	17	5100	11364	144200	6404	6404
2	18	5400	11364	144200	6404	8005
2	19	5700	11364	144200	8005	8005
2	20	6000	14205	144200	8005	8005
2	21	6300	14205	173040	8005	8005
2	22	6600	14205	173040	8005	9606
2	23	6900	14205	173040	9606	9606
2	24	7200	17046	173040	9606	9606
2	25	7500	17046	201880	9606	9606
2	26	7800	17046	201880	9606	11207
2	27	8100	17046	201880	11207	11207
2	28	8400	19887	201880	11207	11207
2	29	8700	19887	230720	11207	11207
2	30	9000	19887	230720	11207	12808
2	31	9300	19887	230720	12808	12808
2	32	9600	22728	230720	12808	12808
2	33	9900	22728	259560	12808	12808
2	34	10200	22728	259560	12808	14409
2	35	10500	22728	259560	14409	14409
2	36	10800	25569	259560	14409	14409
2	37	11100	25569	288400	14409	14409
2	38	11400	25569	288400	14409	16010
2	39	11700	25569	288400	16010	16010
2	40	12000	28410	288400	16010	16010
2	41	12300	28410	317240	16010	16010
2	42	12600	28410	317240	16010	17611
2	43	12900	28410	317240	17611	17611
2	44	13200	31251	317240	17611	17611
2	45	13500	31251	346080	17611	17611
2	46	13800	31251	346080	17611	19212
2	47	14100	31251	346080	19212	19212
2	48	14400	34092	346080	19212	19212
2	49	14700	34092	374920	19212	19212
2	50	15000	34092	374920	19212	20813
2	51	15300	34092	374920	20813	20813
2	52	15600	36933	374920	20813	20813
2	53	15900	36933	403760	20813	20813
2	54	16200	36933	403760	20813	22414
2	55	16500	36933	403760	22414	22414
2	56	16800	39774	403760	22414	22414
2	57	17100	39774	432600	22414	22414
2	58	17400	39774	432600	22414	24015
2	59	17700	39774	432600	24015	24015
2	60	18000	42615	432600	24015	24015
2	61	18300	42615	461440	24015	24015
2	62	18600	42615	461440	24015	25616
2	63	18900	42615	461440	25616	25616
2	64	19200	45456	461440	25616	25616
2	65	19500	45456	490280	25616	25616
2	66	19800	45456	490280	25616	27217
2	67	20100	45456	490280	27217	27217
2	68	20400	48297	490280	27217	27217
2	69	20700	48297	519120	27217	27217
2	70	21000	48297	519120	27217	28818
2	71	21300	48297	519120	28818	28818
2	72	21600	51138	519120	28818	28818
2	73	21900	51138	547960	28818	28818
2	74	22200	51138	547960	28818	30419
2	75	22500	51138	547960	30419	30419
2	76	22800	53979	547960	30419	30419
2	77	23100	53979	576800	30419	30419
2	78	23400	53979	576800	30419	32020
2	79	23700	53979	576800	32020	32020
2	80	24000	56820	576800	32020	32020
2	81	24300	56820	605640	32020	32020
2	82	24600	56820	605640	32020	33621
2	83	24900	56820	605640	33621	33621
2	84	25200	59661	605640	33621	33621
2	85	25500	59661	634480	33621	33621
2	86	25800	59661	634480	33621	35222
2	87	26100	59661	634480	35222	35222
2	88	26400	62502	634480	35222	35222
2	89	26700	62502	663320	35222	35222
2	90	27000	62502	663320	35222	36823
2	91	27300	62502	663320	36823	36823
2	92	27600	65343	663320	36823	36823
2	93	27900	65343	692160	36823	36823
2	94	28200	65343	692160	36823	38424
2	95	28500	65343	692160	38424	38424
2	96	28800	68184	692160	38424	38424
2	97	29100	68184	721000	38424	38424
2	98	29400	68184	721000	38424	40025
2	99	29700	68184	721000	40025	40025
2	100	30000	71025	721000	40025	40025
