编号	主怪	战斗力	位置1	位置2	位置3	位置4	位置5	位置6	位置7	位置8	位置9	英雄模板ID1	英雄模板ID2	英雄模板ID3	英雄模板ID4	英雄模板ID5	英雄模板ID6	英雄模板ID7	英雄模板ID8	英雄模板ID9
id	boss	fightforce	pos1	pos2	pos3	pos4	pos5	pos6	pos7	pos8	pos9	templateId1	templateId2	templateId3	templateId4	templateId5	templateId6	templateId7	templateId8	templateId9
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
80110	2	10000	0	80111	0	0	80112	0	0	80112	0	0	9011	0	0	9013	0	0	9013	0
80120	3	15000	0	0	80123	0	0	80123	0	80121	0	0	0	9012	0	0	9012	0	9011	0
80210	2	10000	0	80213	0	0	80213	0	0	80212	0	0	9012	0	0	9012	0	0	9013	0
80220	2	15000	0	80223	0	0	80221	0	0	80223	0	0	9012	0	0	9011	0	0	9012	0
80310	2	10000	0	80313	80312	0	80311	0	0	0	0	0	9012	9013	0	9011	0	0	0	0
80320	2	15000	0	80321	80322	0	80322	0	0	0	0	0	9011	9013	0	9013	0	0	0	0
80410	2	10000	80412	80411	80411	80412	0	0	0	0	0	9013	9011	9011	9013	0	0	0	0	0
80420	2	15000	80423	80421	0	0	80423	0	0	80423	0	9012	9011	0	0	9012	0	0	9012	0
80510	2	10000	0	80511	80513	0	80511	0	0	80513	0	0	9011	9012	0	9011	0	0	9012	0
80520	2	15000	0	80521	80523	0	80521	0	0	80522	0	0	9011	9012	0	9011	0	0	9013	0
80610	2	10000	0	80611	80612	0	80612	80612	0	0	0	0	9011	9013	0	9013	9013	0	0	0
80620	2	15000	0	80621	80623	0	80622	80623	0	0	0	0	9011	9012	0	9013	9012	0	0	0
1000001	2	2574	1000001	1010001	0	0	0	0	0	0	0	5022	5021	0	0	0	0	0	0	0
1000002	1	2689	1010002	0	0	1000002	0	0	0	0	0	5027	0	0	5020	0	0	0	0	0
1000003	2	2892	1000003	1010003	0	0	0	0	0	0	0	5023	5026	0	0	0	0	0	0	0
1000004	2	3121	0	1010004	1000004	0	0	0	0	0	0	0	5024	5003	0	0	0	0	0	0
1000005	5	3572	1000005	0	0	0	1010005	0	0	0	0	5005	0	0	0	5010	0	0	0	0
1000006	2	4092	0	1010006	0	0	1000006	0	0	0	0	0	5001	0	0	5006	0	0	0	0
1000007	2	4814	0	1010007	1000007	0	0	0	0	0	0	0	5012	1001	0	0	0	0	0	0
1000008	2	7871	0	1010008	0	1000008	0	1000008	0	0	0	0	5021	0	4014	0	5022	0	0	0
1000009	2	8846	1000009	1010009	0	0	1000009	0	0	0	0	3001	5002	0	0	5016	0	0	0	0
1000010	2	9964	1000010	1010010	0	0	1000010	0	0	0	0	1002	5015	0	0	5018	0	0	0	0
1000011	2	11244	0	1010011	1000011	0	0	1000011	0	0	0	0	5026	2001	0	0	5020	0	0	0
1000012	2	12995	0	1010012	1000012	0	1000012	0	0	0	0	0	5028	2002	0	5010	0	0	0	0
1000013	2	15259	1000013	1010013	0	0	0	1000013	0	0	0	5013	5015	0	0	0	4017	0	0	0
1000014	2	17388	0	1010014	0	0	1000014	1000014	0	0	0	0	5018	0	0	5004	2002	0	0	0
1000015	2	19818	0	1010015	1000015	1000015	0	0	0	0	0	0	5013	5004	4008	0	0	0	0	0
1000016	2	21580	1000016	1010016	1000016	0	0	0	0	0	0	4014	5022	5003	0	0	0	0	0	0
1000017	2	23401	0	1010017	0	1000017	0	1000017	0	0	0	0	5028	0	4012	0	5023	0	0	0
1000018	2	25100	1000018	1010018	0	0	0	1000018	0	0	0	5021	5016	0	0	0	4003	0	0	0
1000019	2	27821	0	1010019	1000019	0	1000019	0	0	0	0	0	5012	5027	0	1002	0	0	0	0
1000020	2	30537	1000020	1010020	0	1000020	0	0	0	0	0	4011	5026	0	5025	0	0	0	0	0
1000021	2	32465	1000021	1010021	1000021	0	0	0	0	0	0	5025	5021	4004	0	0	0	0	0	0
1000022	2	34616	0	1010022	0	1000022	0	1000022	0	0	0	0	5015	0	5023	0	4012	0	0	0
1000023	2	36812	0	1010023	1000023	0	1000023	0	0	0	0	0	5010	4018	0	5022	0	0	0	0
1000024	2	39028	0	1010024	1000024	1000024	0	0	0	0	0	0	5009	5005	4019	0	0	0	0	0
1000025	2	42090	0	1010025	0	1000025	1000025	0	0	0	0	0	5018	0	4013	5014	0	0	0	0
1000026	2	55698	1000026	1010026	1000026	0	0	0	0	0	0	5001	6019	5004	0	0	0	0	0	0
1000027	2	56388	0	1010027	0	1000027	1000027	0	0	0	0	0	5025	0	5006	5008	0	0	0	0
1000028	2	57736	1000028	1010028	1000028	0	0	0	0	0	0	5009	5025	5022	0	0	0	0	0	0
1000029	2	58586	0	1010029	1000029	0	0	1000029	0	0	0	0	5021	5010	0	0	5025	0	0	0
1000030	2	60665	1000030	1010030	0	1000030	0	0	0	0	0	5002	5017	0	5028	0	0	0	0	0
1000031	2	85444	0	1010031	0	1000031	1000031	0	0	0	0	0	5019	0	5021	5028	0	0	0	0
1000032	2	90009	1000032	1010032	0	0	0	1000032	0	0	0	5020	5001	0	0	0	5012	0	0	0
1000033	2	118524	1000033	1010033	1000033	0	1000033	1000033	0	0	0	5023	5025	5027	0	5009	5017	0	0	0
1000034	2	125453	1000034	1010034	1000034	1000034	1000034	0	0	0	0	5005	5018	5007	5024	5023	0	0	0	0
1000035	2	132157	1000035	1010035	0	1000035	1000035	1000035	0	0	0	5028	5014	0	5005	5013	5001	0	0	0
1000036	2	139484	0	1010036	1000036	1000036	1000036	1000036	0	0	0	0	5016	5024	5015	5006	5027	0	0	0
1000037	2	176373	1000037	1010037	0	1000037	1000037	1000037	0	0	0	5017	5025	0	5016	5012	5002	0	0	0
1000038	2	190996	1000038	1010038	0	0	0	1000038	1000038	1000038	1000038	5026	5023	0	0	0	3002	5015	5025	5027
1000039	2	191937	1000039	1010039	1000039	1000039	1000039	1000039	0	0	0	5028	5005	5025	5017	5006	5013	0	0	0
1000040	2	193404	1000040	1010040	1000040	1000040	0	1000040	0	1000040	0	5014	5018	5006	5008	0	5016	0	5022	0
1000041	2	194119	1000041	1010041	0	0	1000041	1000041	1000041	0	1000041	5020	5002	0	0	5023	5010	5003	0	5024
1000042	2	196484	0	1010042	0	1000042	1000042	1000042	0	1000042	1000042	0	5026	0	5008	5002	5019	0	5016	5011
1000043	2	197263	1000043	1010043	1000043	0	1000043	1000043	1000043	0	0	5019	5006	5018	0	5005	5020	5026	0	0
1000044	2	198718	1000044	1010044	1000044	0	0	1000044	0	1000044	1000044	5024	5014	5020	0	0	5008	0	5001	5005
1000045	2	277827	1000045	1010045	1000045	1000045	1000045	1000045	0	0	1000045	5005	5023	5004	5003	5002	5009	0	0	5025
1000046	2	290371	1000046	1010046	1000046	0	1000046	1000046	1000046	1000046	0	5015	5028	5026	0	5008	5011	4014	5009	0
1000047	2	302885	0	1010047	0	1000047	1000047	1000047	1000047	1000047	1000047	0	5002	0	5015	5012	5025	4019	5021	5020
1000048	2	322795	1000048	1010048	1000048	1000048	1000048	0	1000048	1000048	0	5014	5023	5016	5008	5020	0	5009	5004	0
1000049	2	336399	1000049	1010049	1000049	1000049	1000049	1000049	0	1000049	0	2001	5021	5009	5024	5001	5028	0	5020	0
1000050	2	349790	0	1010050	1000050	1000050	0	1000050	1000050	1000050	1000050	0	5004	5020	5018	0	5027	5013	5025	5012
1000051	2	362579	1000051	1010051	0	1000051	0	1000051	1000051	1000051	1000051	5016	5008	0	5005	0	5009	5017	5010	5007
1000052	2	364490	1000052	1010052	1000052	1000052	1000052	1000052	1000052	0	0	5010	5004	5028	5002	5018	5020	5008	0	0
1000053	2	366578	1000053	1010053	1000053	1000053	1000053	1000053	0	0	1000053	5001	5023	5019	4004	5002	5013	0	0	5021
1000054	2	369006	1000054	1010054	1000054	1000054	1000054	0	1000054	1000054	0	5021	5004	5028	5019	5014	0	5015	5005	0
1000055	2	371839	1000055	1010055	0	1000055	1000055	1000055	1000055	0	1000055	5009	5003	0	5027	5017	5010	5019	0	5024
1000056	2	373257	0	1010056	1000056	1000056	0	1000056	1000056	1000056	1000056	0	5004	5014	5006	0	5007	5020	5001	5008
1000057	2	389631	0	1010057	1000057	1000057	1000057	1000057	1000057	1000057	0	0	5015	5027	5026	5012	5022	5007	5005	0
1000058	2	390837	0	1010058	1000058	1000058	1000058	0	1000058	1000058	1000058	0	5018	5009	5002	5005	0	5004	5007	5024
1000059	2	391784	1000059	1010059	0	1000059	1000059	1000059	0	1000059	1000059	5013	5007	0	5023	5011	5026	0	5002	5009
1000060	2	393403	1000060	1010060	0	0	1000060	1000060	1000060	1000060	1000060	5023	5025	0	0	5011	5015	5016	5010	5012
1000061	2	394727	1000061	1010061	1000061	1000061	1000061	0	1000061	1000061	0	5021	5002	5003	5017	5026	0	5007	5028	0
1000062	2	396150	1000062	1010062	1000062	1000062	1000062	0	1000062	1000062	0	5025	5024	5008	5014	5005	0	5011	5027	0
1000063	2	396150	0	1010063	1000063	1000063	1000063	1000063	0	1000063	1000063	0	5009	5014	5004	5010	5025	0	5005	5019
1000064	2	397230	1000064	1010064	1000064	0	1000064	1000064	1000064	0	1000064	5019	5015	5016	0	5012	5011	5027	0	5001
1000065	2	398748	1000065	1010065	1000065	1000065	1000065	0	1000065	1000065	0	5002	5028	5020	5005	5023	0	5010	5014	0
1000066	2	400635	1000066	1010066	0	0	1000066	1000066	1000066	1000066	1000066	5007	5011	0	0	5015	5002	5018	5025	5014
1000067	2	401861	1000067	1010067	1000067	1000067	0	1000067	1000067	1000067	0	5006	5014	5013	5026	0	5023	5011	5027	0
