编号	名称	颜色方案	等级	宝石类型	属性类型	穿戴部位ID	值	特效方案	升级获得宝石	图标	描述	获取途径
id	name	quality	level	type	attType	partId	value	showeffect	getGem	icon	desc	getway
Int	String	Int	Int	Int	Int	Ints	Int	Int	Int	String	String	Ints
101	text_gemNameId_101	1	1	1	1	1|2|3|4|5|6	67	11	102	gem101.png	text_gemDescId_normal	1301|1302|603
102	text_gemNameId_102	2	2	1	1	1|2|3|4|5|6	190	12	103	gem102.png	text_gemDescId_normal	1301|1302|603
103	text_gemNameId_103	3	3	1	1	1|2|3|4|5|6	400	13	104	gem103.png	text_gemDescId_normal	1301|1302|603
104	text_gemNameId_104	4	4	1	1	1|2|3|4|5|6	740	14	105	gem104.png	text_gemDescId_normal	1301|1302|603
105	text_gemNameId_105	5	5	1	1	1|2|3|4|5|6	1280	15	106	gem105.png	text_gemDescId_normal	1301|1302|603
106	text_gemNameId_106	5	6	1	1	1|2|3|4|5|6	2230	15	107	gem106.png	text_gemDescId_normal	1301|1302|603
107	text_gemNameId_107	6	7	1	1	1|2|3|4|5|6	3930	16	108	gem107.png	text_gemDescId_normal	1301|1302|603
108	text_gemNameId_108	6	8	1	1	1|2|3|4|5|6	6930	16	109	gem108.png	text_gemDescId_normal	1301|1302|603
109	text_gemNameId_109	6	9	1	1	1|2|3|4|5|6	12100	16	110	gem109.png	text_gemDescId_normal	1301|1302|603
110	text_gemNameId_110	7	10	1	1	1|2|3|4|5|6	20600	17	111	gem110.png	text_gemDescId_normal	1301|1302|603
111	text_gemNameId_111	7	11	1	1	1|2|3|4|5|6	34200	17	112	gem111.png	text_gemDescId_normal	1301|1302|603
112	text_gemNameId_112	7	12	1	1	1|2|3|4|5|6	55100	17	0	gem112.png	text_gemDescId_max	1301|1302|603
201	text_gemNameId_201	1	1	2	2	1|2|3|4|5|6	42	11	202	gem201.png	text_gemDescId_normal	1301|1302|603
202	text_gemNameId_202	2	2	2	2	1|2|3|4|5|6	120	12	203	gem202.png	text_gemDescId_normal	1301|1302|603
203	text_gemNameId_203	3	3	2	2	1|2|3|4|5|6	250	13	204	gem203.png	text_gemDescId_normal	1301|1302|603
204	text_gemNameId_204	4	4	2	2	1|2|3|4|5|6	460	14	205	gem204.png	text_gemDescId_normal	1301|1302|603
205	text_gemNameId_205	5	5	2	2	1|2|3|4|5|6	800	15	206	gem205.png	text_gemDescId_normal	1301|1302|603
206	text_gemNameId_206	5	6	2	2	1|2|3|4|5|6	1400	15	207	gem206.png	text_gemDescId_normal	1301|1302|603
207	text_gemNameId_207	6	7	2	2	1|2|3|4|5|6	2460	16	208	gem207.png	text_gemDescId_normal	1301|1302|603
208	text_gemNameId_208	6	8	2	2	1|2|3|4|5|6	4330	16	209	gem208.png	text_gemDescId_normal	1301|1302|603
209	text_gemNameId_209	6	9	2	2	1|2|3|4|5|6	7540	16	210	gem209.png	text_gemDescId_normal	1301|1302|603
210	text_gemNameId_210	7	10	2	2	1|2|3|4|5|6	12900	17	211	gem210.png	text_gemDescId_normal	1301|1302|603
211	text_gemNameId_211	7	11	2	2	1|2|3|4|5|6	21400	17	212	gem211.png	text_gemDescId_normal	1301|1302|603
