关键字	变量值	说明
key	value	desc
String	String	Ignore
initGold	10000	初始金币
initFood	60	初始粮食
resetHour	5	每日重置时间点
foodInterval	6	粮草回复的间隔分钟数
foodMax	180	粮草回复的上限
maxEquipCount	200	最大装备数量
maxDragonGemCount	200	最大龙晶数量
dailyMakeRefresh	2	每日打造免费刷新次数
makeFreshCashCost	10	打造刷新消耗元宝
patrolSpeedUp	7200	加速巡逻的时间
patrolInterval	10	巡逻奖励的间隔分钟数
patrolMaxTime	86400	巡逻最大时间
patrolCost	50	加速巡逻消耗
patrolQualityWeight1	35	巡逻品质1装备权重
patrolQualityWeight2	35	巡逻品质2装备权重
patrolQualityWeight3	20	巡逻品质3装备权重
patrolQualityWeight4	8	巡逻品质4装备权重
patrolQualityWeight5	2	巡逻品质5装备权重
lordMaxHour	6	太守最大占领小时数
initHero	10000	初始武将
maxPlayerSkill	5	最多君主技能个数
freeTavernPerDay	3	每天免费招募次数
freeTavernInterval	10	普通招募免费间隔分钟数
advTavernInterval	24	高级招募免费间隔小时数
tavernCashCost	280	高级招募消耗元宝数
tenTavernDiscount	9	十连抽折扣
tavernOrangeCount	10	高级招募必得橙卡的次数
godShopRefreshCashCost	10	神将商店刷新消耗元宝数
godShopRefreshInterval	4	神将商店刷新时间间隔小时数
godShopSellCount	6	神将商店销售数量
godShopLevelLimit	10	神将商店开放等级
lordOpenLevel	1	太守开放等级
lordProductTime	1	太守产出时间间隔
lordCountryBalanceTime	20	太守国家俸禄发奖时间
countrySalaryTime	10-19	皇城争霸每日俸禄发放时段
lordReoccupyInterval	5	弃城后再次占领城池的分钟数
lordFightMaxTime	2	占领城池战斗最大分钟数
fightForceDiffPercent	0	战斗力差别百分比
mineRobMaxCount	3	每天最大掠夺成功次数
mineKeepMaxTime	240	每天占领金矿最大分钟数
mineSafeTime	5	金矿占领后的保护cd时长分钟
pvpFightMaxTime	2	PVP战斗最大分钟数
prepareFightMaxSeconds	30	战斗准备最大秒数
mineDeposit1	0	金矿掠夺保证金比例
mineDeposit2	20	金矿掠夺保证金比例
mineDeposit3	30	金矿掠夺保证金比例
mineDeposit4	40	金矿掠夺保证金比例
mineDeposit5	50	金矿掠夺保证金比例
mailMaxCount	100	邮箱私人邮件最大个数
expectFightForce	100000	机器人期望战斗力
fadeFactor	1000	机器人削弱系数
arenaMaxCount	5	竞技场每天免费挑战次数
arenaBalanceTime	21	竞技场结算时间小时
arenaReportCount	10	竞技场最大战报数
arenaAwardCount	1000	竞技场挑战胜利的军工奖励
arenaMailExpireDay	7	竞技场邮件过期天数
awardMailExpireDay	15	奖励邮件过期天数
towerAwardCount	100	爬塔币奖励
mailTitileMaxLength	20	邮件标题最大长度
mailContentMaxLength	200	邮件内容最大长度
maxEquipValume	2000	扩展后装备最大容量
maxDragonGemValume	2000	扩展后龙晶最大容量
countPerExtend	10	背包每次扩展的个数
extendCashCost	10	扩展背包消耗元宝数
thiefOpenLevel	20	山贼开放等级
thiefAppearInterval	3	山贼出现的时间间隔小时数
thiefMaxCount	4	山贼累计最多个数
towerShopLevelLimit	10	爬塔商店开放等级
towerShopRefreshCashCost	500	爬塔商店刷新消耗元宝数
towerShopRefreshInterval	2	爬塔商店刷新时间间隔小时数
towerShopSellCount	14	爬塔商店销售数量
arenaShopRefreshCashCost	10	竞技商店刷新消耗元宝数
arenaShopRefreshInterval	24	竞技商店刷新时间间隔小时数
arenaShopSellCount	12	竞技商店销售数量
arenaRankShopLeveLimit	10	竞技场排名商店开放等级
mysteryShopLevelLimit	1	神秘商店开放等级
mysteryShopRefreshCashCost	20	神秘商店刷新消耗元宝数
mysteryShopRefreshInterval	4	神秘商店刷新时间间隔小时数
mysteryShopSellCount	6	神秘商店销售数量
blackShopLevelLimit	40	黑店开放等级
blackShopRefreshInterval	4	黑店刷新时间间隔小时数
blackShopSellCount	6	黑店销售数量
blackShopRefreshCount	10	黑店每天最大刷新次数
blackShopOccurProb	30	黑店未开放时出现概率
blackShopVipLimit	4	黑店开放Vip限制
trailnSlotOpenLevel1	10	1号训练位开放等级
trailnSlotOpenLevel2	20	2号训练位开放等级
trailnSlotOpenLevel3	30	3号训练位开放等级
trailnSlotOpenLevel4	40	4号训练位开放等级
trailnSlotOpenLevel5	50	5号训练位开放等级
trainColdInterval	90	训练位冷却分钟数
boonDropId	1	红包奖励drop表id
chatLogCount	20	聊天记录最大条数
mercenaryTimeGoldInterval	5	佣兵发时间金币奖励时间间隔分钟
shoutCostId	300002	喊话消耗材料id
dailyFoodNoon	11-14	午间粮饷时间段
dailyFoodEvening	18-21	晚间粮饷时间段
shipperRefreshCash	30	押镖镖车刷新元宝消耗
shipperRobCount	2	押镖每日可抢夺次数
shipperDeliveryCount	2	押镖每日可运镖次数
shipperDeliveryTime	20	运镖时间（min)
shipperRobProtect	2	押镖每个镖车可被抢劫次数
shipperRobCD	1	掠夺冷却时间（min)
shipperRobProportion	0.2	押镖被掠夺资源比例
shipperNoon	12-14	午间运镖吉时段
shipperNight	18-20	晚间运镖吉时段
