等级	1级金矿产量	2级金矿产量	3级金矿产量	4级金矿产量	5级金矿产量	1小时奖励	2小时奖励	3小时奖励	4小时奖励	每级分配金矿间隔数	每个金矿最大人数
id	level1	level2	level3	level4	level5	hour1	hour2	hour3	hour4	initMineCount	mineUserMaxCount
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	2679	3214	3750	4286	4821	0.2	0.4	0.6	0	3	120
2	4018	4821	5625	6429	7232	0.2	0.4	0.6	0	3	120
3	6027	7232	8438	9643	10848	0.2	0.4	0.6	0	3	120
4	9041	10848	12657	14464	16273	0.2	0.4	0.6	0	2	120
5	13561	16273	18984	21696	24409	0.2	0.4	0.6	0	2	120
6	20341	24409	28477	32545	36613	0.2	0.4	0.6	0	1	120
7	30511	36613	42714	48818	54920	0.2	0.4	0.6	0	1	120
8	45766	54920	64071	73225	82379	0.2	0.4	0.6	0	1	120
9	68648	82379	96109	109838	123568	0.2	0.4	0.6	0	1	120
10	102973	123568	144163	164757	185352	0.2	0.4	0.6	0	1	120
