编号	数量	操作	操作参数	描述	描述1	图标	显示关联	可否预览	前往跳转
id	num	event	args	name	desc	icon	moduleopen	isPreview	goto
Int	Int2	String	Int	String	String	String	String	Int	String
1	1	playerLv	0	text_growhelp_strength_name_playerLv0	text_growhelp_strength_desc_playerLv	task_58.png	hero	1	user.xp:0
2	1	war_college	0	text_growhelp_strength_name_war_college0	text_growhelp_strength_desc_war_college	task_48.png	war_college	1	war_college
3	1	dragon	0	text_growhelp_strength_name_dragon0	text_growhelp_strength_desc_dragon	task_39.png	king_dragon	1	king_dragon
4	1	heroQuality	4	text_growhelp_strength_name_heroQuality4	text_growhelp_strength_desc_heroQuality	task_40.png	hero	1	heroList
4	2	heroQuality	5	text_growhelp_strength_name_heroQuality5	text_growhelp_strength_desc_heroQuality	task_41.png	hero	1	heroList
4	3	heroQuality	6	text_growhelp_strength_name_heroQuality6	text_growhelp_strength_desc_heroQuality	task_42.png	hero	1	heroList
5	1	equipQuality	1	text_growhelp_strength_name_equipQuality2	text_growhelp_strength_desc_equipQuality	task_33.png	equip	1	equip
5	2	equipQuality	2	text_growhelp_strength_name_equipQuality2	text_growhelp_strength_desc_equipQuality	task_33.png	equip	1	equip
5	3	equipQuality	3	text_growhelp_strength_name_equipQuality3	text_growhelp_strength_desc_equipQuality	task_34.png	equip	1	equip
5	4	equipQuality	4	text_growhelp_strength_name_equipQuality4	text_growhelp_strength_desc_equipQuality	task_35.png	equip	1	equip
5	5	equipQuality	5	text_growhelp_strength_name_equipQuality5	text_growhelp_strength_desc_equipQuality	task_36.png	equip	1	equip
5	6	equipQuality	6	text_growhelp_strength_name_equipQuality6	text_growhelp_strength_desc_equipQuality	task_37.png	equip	1	equip
5	7	equipQuality	7	text_growhelp_strength_name_equipQuality7	text_growhelp_strength_desc_equipQuality	task_38.png	equip	1	equip
6	1	heroLvUp	0	text_growhelp_strength_name_heroLvUp0	text_growhelp_strength_desc_heroLvUp	task_49.png	heroLvUp	1	heroLvUp
7	1	reborn	0	text_growhelp_strength_name_reborn0	text_growhelp_strength_desc_reborn	task_50.png	reborn	1	reborn
8	1	part	0	text_growhelp_strength_name_part0	text_growhelp_strength_desc_part	task_32.png	part	1	part
9	1	gem	0	text_growhelp_strength_name_gem0	text_growhelp_strength_desc_gem	task_30.png	part	1	part
10	1	sky	0	text_growhelp_strength_name_sky0	text_growhelp_strength_desc_sky	task_45.png	skyweapon	1	skyweapon
11	1	skySkill	0	text_growhelp_strength_name_skySkill0	text_growhelp_strength_desc_skySkill	task_43.png	skyweapon	0	skyweapon
12	1	destiny	0	text_growhelp_strength_name_destiny0	text_growhelp_strength_desc_destiny	task_9.png	destiny	1	destiny
13	1	equipImprove	0	text_growhelp_strength_name_equipUpgrade0	text_growhelp_strength_desc_equipUpgrade	task_29.png	equipImprove	1	equipImprove
14	1	skyGather	0	text_growhelp_strength_name_skyGather0	text_growhelp_strength_desc_skyGather	task_46.png	hero	1	skyshow
15	1	skyAwake	0	text_growhelp_strength_name_skyAwake0	text_growhelp_strength_desc_skyAwake	task_44.png	skyweapon	0	skyweapon
