城市ID	事件ID	事件类型	编号	物品	权重	说明	是否显示
city	event	type	id	award	weight	desc	show
Int1	Int2	String	Int	Award	Int	String	Int
1	1	produce	1	fragment.4203:2	8	<font color="#ffff00ff">【%s】</font>巡逻之时偶遇赵云在河边洗衣，上前相谈甚欢，获得<font color="#ffff00ff">赵云碎片x2</font>	1
1	2	produce	2	fragment.4202:2	8	<font color="#ffff00ff">【%s】</font>巡逻之时偶遇张飞正在喝酒吃肉，上前相谈甚欢，获得<font color="#ffff00ff">张飞碎片x2</font>	1
1	3	produce	3	material.300001:30	15	<font color="#ffff00ff"></font>小偷作祟被【%s】抓住，收刮后获得<font color="#ffff00ff">天命石x30</font>	1
1	4	produce	4	material.1:30	15	<font color="#ffff00ff"></font>野猪在居民家作祟，【%s】将其击败后获得<font color="#ffff00ff">突破石x30</font>	1
1	5	produce	5	material.200027:5	10	<font color="#ffff00ff">【%s】</font>发现贵族珠宝，充为军用，获得<font color="#ffff00ff">神器碎片x5</font>	1
1	6	produce	6	gem.101:2	11	<font color="#ffff00ff"></font>一只西域商队路过，【%s】收缴过路费，获得<font color="#ffff00ff">1级攻击石x2</font>	1
1	7	produce	7	gem.201:2	11	<font color="#ffff00ff"></font>百姓和睦，士兵训练认真，【%s】获得奖励<font color="#ffff00ff">1级物防石x2</font>	1
1	8	produce	8	gem.301:2	11	<font color="#ffff00ff"></font>江洋大盗四处作乱，【%s】将其抓捕后，获得<font color="#ffff00ff">1级法防石x2</font>	1
1	9	produce	9	gem.401:2	11	<font color="#ffff00ff">【%s】</font>帮助了商人渡船，获得<font color="#ffff00ff">1级生命石x2</font>	1
1	10	produce	10	user.gold:1167	0	<font color="#ffff00ff">【%s】</font>截获敌军重要情报，上报之后收到嘉奖，获得<font color="#ffff00ff">金币x1167</font>	1
1	11	mess	11	0	0	<font color="#ff0000ff">发生暴动！</font>敌军残党冲入城内烧杀抢掠，百姓惊恐万分，四散奔逃！</font>	1
1	12	repression	12	user.gold:150	0	<font color="#ffff00ff">【%s】</font>危乱之中您的好友挺身而出，帮您镇压了暴乱，获得<font color="#ffff00ff">金币x150</font>	1
2	1	produce	13	fragment.4407:2	8	<font color="#ffff00ff">【%s】</font>巡逻之时偶遇董卓，相谈甚欢，获得<font color="#ffff00ff">董卓碎片x2</font>	1
2	2	produce	14	fragment.4208:2	8	<font color="#ffff00ff">【%s】</font>巡逻之时偶遇刘备，相谈甚欢，获得<font color="#ffff00ff">刘备碎片x2</font>	1
2	3	produce	15	material.300001:35	15	<font color="#ffff00ff"></font>小偷作祟被【%s】抓住，收刮后获得<font color="#ffff00ff">天命石x35</font>	1
2	4	produce	16	material.1:35	15	<font color="#ffff00ff"></font>野猪在居民家作祟，【%s】将其击败后获得<font color="#ffff00ff">突破石x35</font>	1
2	5	produce	17	material.200027:6	10	<font color="#ffff00ff">【%s】</font>发现贵族珠宝，充为军用，获得<font color="#ffff00ff">神器碎片x6</font>	1
2	6	produce	18	gem.102:3	11	<font color="#ffff00ff"></font>一只西域商队路过，【%s】收缴过路费，获得<font color="#ffff00ff">2级攻击石x3</font>	1
