城市ID	技能等级	增加几率	升级需求的驻守时间	升级消耗
city	level	prob	need	costs
Int	Int2	Int	Int	Award
1	0	0	0	user.cash:0
1	1	20	10	user.cash:-50
1	2	30	20	user.cash:-100
1	3	40	30	user.cash:-200
1	4	50	40	user.cash:-500
1	5	60	50	user.cash:-1000
2	0	0	0	user.cash:0
2	1	20	20	user.cash:-50
2	2	30	30	user.cash:-100
2	3	40	40	user.cash:-200
2	4	50	50	user.cash:-500
2	5	60	60	user.cash:-1000
3	0	0	0	user.cash:0
3	1	20	30	user.cash:-50
3	2	30	40	user.cash:-100
3	3	40	50	user.cash:-200
3	4	50	60	user.cash:-500
3	5	60	70	user.cash:-1000
4	0	0	0	user.cash:0
4	1	20	40	user.cash:-50
4	2	30	50	user.cash:-100
4	3	40	60	user.cash:-200
4	4	50	70	user.cash:-500
4	5	60	80	user.cash:-1000
5	0	0	0	user.cash:0
5	1	20	50	user.cash:-50
5	2	30	60	user.cash:-100
5	3	40	70	user.cash:-200
5	4	50	80	user.cash:-500
5	5	60	90	user.cash:-1000
6	0	0	0	user.cash:0
6	1	20	60	user.cash:-50
6	2	30	70	user.cash:-100
6	3	40	80	user.cash:-200
6	4	50	90	user.cash:-500
6	5	60	100	user.cash:-1000
