索引ID	英雄模板ID	升至10星模板切换	消耗的本体关联	武将名字	兵种ID(等同于leigionType)	图鉴展示所需开服天数	上阵互斥ID	合成消耗类型	基础攻击	基础血量	基础武防	基础魔防	基础命中	基础闪避	基础暴击	基础韧性	分解产物	获取途径	试玩怪物id	商店描述（考虑废弃）	武将简介
id	heroTemplateId	templatedIdUltimate	selfCostId	heroName	soldierId	ShowHandbookLimit	mutexId	costType	baseAttack	baseHp	baseDef	baseMagDef	baseHit	baseDodge	baseCrit	baseResi	resolveAward	getway	trialMonsterId	desc	roleBrief
Int	Int	Int	Int	String	Int	String	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Award	Ints	Int	String	String
1001	1001	1001	0	text_heroNameId_1001	1	gameday.1	1001	0	0	0	0	0	0	0	0	0	user.soul:10	400|10201|603	0	购买后可获得武将	text_heroDesc_1001
1002	1002	1002	0	text_heroNameId_1002	2	gameday.1	1002	0	0	0	0	0	0	0	0	0	user.soul:10	400|10201|603	0	购买后可获得武将	text_heroDesc_1002
2001	2001	2001	0	text_heroNameId_2001	3	gameday.1	2001	0	0	0	0	0	0	0	0	0	user.soul:20	400|10201|603	0	购买后可获得武将	text_heroDesc_2001
2002	2002	2002	0	text_heroNameId_2002	2	gameday.1	2002	0	0	0	0	0	0	0	0	0	user.soul:20	400|10201|603	0	购买后可获得武将	text_heroDesc_2002
3001	3001	3001	0	text_heroNameId_3001	1	gameday.1	3001	0	0	0	0	0	0	0	0	0	user.soul:50	400|10201|603	0	购买后可获得武将	text_heroDesc_3001
3002	3002	3002	0	text_heroNameId_3002	2	gameday.1	3002	0	0	0	0	0	0	0	0	0	user.soul:50	400|10201|603	0	购买后可获得武将	text_heroDesc_3002
4003	4003	4003	0	text_heroNameId_5003	1	gameday.1	5003	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5003
4004	4004	4004	0	text_heroNameId_5004	2	gameday.1	5004	5	0	0	0	0	0	0	0	0	user.soul:200	400|10201|603	0	购买后可获得武将	text_heroDesc_5004
