序号	合成目标	条件限制	主英雄ID	消耗英雄1	消耗英雄2	消耗英雄3
id	goal	Limit	mainHero	cost1	cost2	cost3
Int	Award	String	Int	Ints	Ints	Ints
1	card.6029:1	gameday.29	5029	1|5029|1	1|5030|1	2|5|3
2	card.6021:1	gameday.22	5021	1|5021|1	1|5022|1	2|5|3
3	card.6027:1	gameday.1	5027	1|5027|1	1|5028|1	2|5|3
4	card.6005:1	gameday.1	5005	1|5005|1	1|5006|1	2|5|3
5	card.6001:1	gameday.1	5001	1|5001|1	1|5002|1	2|5|3
6	card.6003:1	gameday.1	5003	1|5003|1	1|5004|1	2|5|3
7	card.6011:1	gameday.1	5011	1|5011|1	1|5012|1	2|5|3
8	card.6017:1	gameday.1	5017	1|5017|1	1|5018|1	2|5|3
9	card.5003:1	gameday.1	4003	1|4003|3	2|3|4	2|4|4
10	card.5011:1	gameday.1	4011	1|4011|3	2|3|4	2|4|4
11	card.5017:1	gameday.1	4017	1|4017|3	2|3|4	2|4|4
12	card.6031:1	gameday.1	5031	1|5031|1	1|5032|1	2|5|3
13	card.6023:1	gameday.15	5023	1|5023|1	1|5024|1	2|5|3
14	card.6025:1	gameday.8	5025	1|5025|1	1|5026|1	2|5|3
15	card.6015:1	gameday.1	5015	1|5015|1	1|5016|1	2|5|3
16	card.6009:1	gameday.1	5009	1|5009|1	1|5010|1	2|5|3
17	card.6019:1	gameday.1	5019	1|5019|1	1|5020|1	2|5|3
18	card.6007:1	gameday.1	5007	1|5007|1	1|5008|1	2|5|3
19	card.6012:1	gameday.1	5012	1|5012|1	1|5013|1	2|5|3
20	card.10006:1	gameday.1	10005	1|5027|1	1|5028|1	2|5|3
21	card.5019:1	gameday.1	4019	1|4019|3	2|3|4	2|4|4
22	card.5007:1	gameday.1	4007	1|4007|3	2|3|4	2|4|4
23	card.5012:1	gameday.1	4012	1|4012|3	2|3|4	2|4|4
24	card.10005:1	gameday.1	10004	2|4|7	2|3|4	0
25	card.10004:1	gameday.1	10003	1|3001|1	1|3002|1	2|2|2
26	card.10003:1	gameday.1	10000	1|2001|1	1|2002|1	1|1001|1
27	card.6032:1	gameday.1	5032	1|5032|1	1|5031|1	2|5|3
28	card.6030:1	gameday.29	5030	1|5030|1	1|5029|1	2|5|3
29	card.6022:1	gameday.22	5022	1|5022|1	1|5022|1	2|5|3
30	card.6024:1	gameday.15	5024	1|5024|1	1|5023|1	2|5|3
31	card.6026:1	gameday.8	5026	1|5026|1	1|5025|1	2|5|3
32	card.6028:1	gameday.1	5028	1|5028|1	1|5027|1	2|5|3
33	card.6006:1	gameday.1	5006	1|5006|1	1|5005|1	2|5|3
34	card.6016:1	gameday.1	5016	1|5016|1	1|5015|1	2|5|3
35	card.6002:1	gameday.1	5002	1|5002|1	1|5001|1	2|5|3
36	card.6010:1	gameday.1	5010	1|5010|1	1|5009|1	2|5|3
37	card.6020:1	gameday.1	5020	1|5020|1	1|5019|1	2|5|3
38	card.6004:1	gameday.1	5004	1|5004|1	1|5003|1	2|5|3
39	card.6008:1	gameday.1	5008	1|5008|1	1|5007|1	2|5|3
40	card.6018:1	gameday.1	5018	1|5018|1	1|5017|1	2|5|3
41	card.6014:1	gameday.1	5014	1|5014|1	1|5013|1	2|5|3
42	card.6013:1	gameday.1	5013	1|5013|1	1|5014|1	2|5|3
43	card.5020:1	gameday.1	4020	1|4020|3	2|3|4	2|4|4
44	card.5004:1	gameday.1	4004	1|4004|3	2|3|4	2|4|4
45	card.5008:1	gameday.1	4008	1|4008|3	2|3|4	2|4|4
46	card.5018:1	gameday.1	4018	1|4018|3	2|3|4	2|4|4
47	card.5014:1	gameday.1	4014	1|4014|3	2|3|4	2|4|4
48	card.5013:1	gameday.1	4013	1|4013|3	2|3|4	2|4|4
