索引	英雄星级	条件限制	置换英雄	权重
id	star	limit	Award	weight
Int	Int	String	Award	Int
1	4	gameday.1	card.4003:1	100
2	4	gameday.1	card.4004:1	100
3	4	gameday.1	card.4007:1	100
4	4	gameday.1	card.4008:1	100
5	4	gameday.1	card.4011:1	100
6	4	gameday.1	card.4012:1	100
7	4	gameday.1	card.4013:1	100
8	4	gameday.1	card.4014:1	100
9	4	gameday.1	card.4017:1	100
10	4	gameday.1	card.4018:1	100
11	4	gameday.1	card.4019:1	100
12	4	gameday.1	card.4020:1	100
13	5	gameday.1	card.5001:1	100
14	5	gameday.1	card.5002:1	100
15	5	gameday.1	card.5003:1	100
16	5	gameday.1	card.5004:1	100
17	5	gameday.1	card.5005:1	100
18	5	gameday.1	card.5006:1	100
19	5	gameday.1	card.5007:1	100
20	5	gameday.1	card.5008:1	100
21	5	gameday.1	card.5009:1	100
22	5	gameday.1	card.5010:1	100
23	5	gameday.1	card.5011:1	100
24	5	gameday.1	card.5012:1	100
25	5	gameday.1	card.5013:1	100
26	5	gameday.1	card.5014:1	100
27	5	gameday.1	card.5015:1	100
28	5	gameday.1	card.5016:1	100
29	5	gameday.1	card.5017:1	100
30	5	gameday.1	card.5018:1	100
31	5	gameday.1	card.5019:1	100
32	5	gameday.1	card.5020:1	100
33	5	gameday.36	card.5031:1	20
34	5	gameday.36	card.5032:1	20
35	5	gameday.29	card.5029:1	20
36	5	gameday.29	card.5030:1	20
37	5	gameday.22	card.5021:1	20
38	5	gameday.22	card.5022:1	20
39	5	gameday.15	card.5023:1	20
40	5	gameday.15	card.5024:1	20
41	5	gameday.8	card.5025:1	20
42	5	gameday.8	card.5026:1	20
43	5	gameday.1	card.5027:1	20
44	5	gameday.1	card.5028:1	20
