等级	称号	品质	星数	升级条件（武将等级）	升级条件（武将突破）	升级条件（小兵进阶）	消耗道具数量
level	title	quality	star	conditionHeroLevel	conditionHeroTalent	conditionHeroSoldier	itemNum
Int	String	Int	Int	Int	Int	Int	Int
1	text_heroQualityTitle_1	0	0	10	1	0	0
2	text_heroQualityTitle_2	1	0	15	2	1	0
3	text_heroQualityTitle_2	1	1	20	2	1	0
4	text_heroQualityTitle_2	1	2	25	3	1	0
5	text_heroQualityTitle_2	1	3	30	3	2	0
6	text_heroQualityTitle_3	2	0	35	4	2	1
7	text_heroQualityTitle_3	2	1	40	4	3	2
8	text_heroQualityTitle_3	2	2	45	5	3	4
9	text_heroQualityTitle_3	2	3	50	5	4	6
10	text_heroQualityTitle_4	3	0	55	6	4	12
11	text_heroQualityTitle_4	3	1	60	6	5	18
12	text_heroQualityTitle_4	3	2	70	7	6	48
13	text_heroQualityTitle_4	3	3	80	8	7	60
14	text_heroQualityTitle_5	4	0	90	9	7	60
15	text_heroQualityTitle_5	4	1	100	10	8	80
16	text_heroQualityTitle_5	4	2	110	11	8	96
17	text_heroQualityTitle_5	4	3	120	12	9	100
18	text_heroQualityTitle_6	5	0	130	13	9	100
19	text_heroQualityTitle_6	5	1	140	14	10	100
20	text_heroQualityTitle_6	5	2	150	15	10	100
21	text_heroQualityTitle_6	5	3	0	0	0	0
