等级	定位	攻击	物防	法防	生命
level	ability	attack	defence	mdefence	hp
Int	Int2	Int	Int	Int	Int
1	1	0	0	0	0
1	2	0	0	0	0
1	3	0	0	0	0
1	4	0	0	0	0
2	1	39	24	24	475
2	2	39	24	24	475
2	3	39	24	24	475
2	4	39	24	24	475
3	1	90	56	56	1084
3	2	90	56	56	1084
3	3	90	56	56	1084
3	4	90	56	56	1084
4	1	154	96	96	1854
4	2	154	96	96	1854
4	3	154	96	96	1854
4	4	154	96	96	1854
5	1	250	156	156	3005
5	2	250	156	156	3005
5	3	250	156	156	3005
5	4	250	156	156	3005
6	1	366	228	228	4393
6	2	366	228	228	4393
6	3	366	228	228	4393
6	4	366	228	228	4393
7	1	526	329	329	6320
7	2	526	329	329	6320
7	3	526	329	329	6320
7	4	526	329	329	6320
8	1	712	445	445	8549
8	2	712	445	445	8549
8	3	712	445	445	8549
8	4	712	445	445	8549
9	1	954	596	596	11458
9	2	954	596	596	11458
9	3	954	596	596	11458
9	4	954	596	596	11458
10	1	1227	767	767	14729
10	2	1227	767	767	14729
10	3	1227	767	767	14729
10	4	1227	767	767	14729
11	1	1567	979	979	18815
11	2	1567	979	979	18815
11	3	1567	979	979	18815
11	4	1567	979	979	18815
12	1	1943	1214	1214	23318
12	2	1943	1214	1214	23318
12	3	1943	1214	1214	23318
12	4	1943	1214	1214	23318
13	1	2711	1694	1694	32535
13	2	2711	1694	1694	32535
13	3	2711	1694	1694	32535
13	4	2711	1694	1694	32535
14	1	3655	2284	2284	43869
14	2	3655	2284	2284	43869
14	3	3655	2284	2284	43869
14	4	3655	2284	2284	43869
15	1	4792	2995	2995	57509
15	2	4792	2995	2995	57509
15	3	4792	2995	2995	57509
15	4	4792	2995	2995	57509
16	1	6136	3835	3835	73642
16	2	6136	3835	3835	73642
16	3	6136	3835	3835	73642
16	4	6136	3835	3835	73642
17	1	7704	4815	4815	92451
17	2	7704	4815	4815	92451
17	3	7704	4815	4815	92451
17	4	7704	4815	4815	92451
18	1	9509	5943	5943	114115
18	2	9509	5943	5943	114115
18	3	9509	5943	5943	114115
18	4	9509	5943	5943	114115
19	1	11567	7229	7229	138812
19	2	11567	7229	7229	138812
19	3	11567	7229	7229	138812
19	4	11567	7229	7229	138812
20	1	13893	8683	8683	166716
20	2	13893	8683	8683	166716
20	3	13893	8683	8683	166716
20	4	13893	8683	8683	166716
21	1	16500	10312	10312	198000
21	2	16500	10312	10312	198000
21	3	16500	10312	10312	198000
21	4	16500	10312	10312	198000
