天赋ID	提升属性	提升属性1	影响对象（1自己，2全体）	类型（1固定值，2百分比）	属性后缀	描述
id	att1	att2	target	type	suffix	desc
Int	Int	Int	Int	Int	String	String
1	1	0	1	1	0	text_innateDesc_1
2	2	0	1	1	0	text_innateDesc_2
3	3	0	1	1	0	text_innateDesc_3
4	4	0	1	1	0	text_innateDesc_4
5	2	3	1	1	0	text_innateDesc_5
11	1	0	1	2	%	text_innateDesc_11
12	2	0	1	2	%	text_innateDesc_12
13	3	0	1	2	%	text_innateDesc_13
14	4	0	1	2	%	text_innateDesc_14
15	2	3	1	2	%	text_innateDesc_15
21	5	0	1	1	%	text_innateDesc_21
22	6	0	1	1	%	text_innateDesc_22
23	28	0	1	1	%	text_innateDesc_23
24	29	0	1	1	%	text_innateDesc_24
25	13	0	1	1	%	text_innateDesc_25
26	14	0	1	1	%	text_innateDesc_26
27	15	0	1	1	%	text_innateDesc_27
28	5	6	1	1	%	text_innateDesc_28
41	7	0	1	1	%	text_innateDesc_41
42	8	0	1	1	%	text_innateDesc_42
43	11	0	1	1	%	text_innateDesc_43
44	12	0	1	1	%	text_innateDesc_44
45	20	0	1	1	%	text_innateDesc_45
46	21	0	1	1	%	text_innateDesc_46
47	22	0	1	1	%	text_innateDesc_47
48	23	0	1	1	%	text_innateDesc_48
61	18	0	1	1	%	text_innateDesc_61
62	19	0	1	1	%	text_innateDesc_62
101	1	0	2	1	0	text_innateDesc_101
102	2	0	2	1	0	text_innateDesc_102
103	3	0	2	1	0	text_innateDesc_103
104	4	0	2	1	0	text_innateDesc_104
105	3	4	2	1	0	text_innateDesc_105
111	1	0	2	2	%	text_innateDesc_111
112	2	0	2	2	%	text_innateDesc_112
113	3	0	2	2	%	text_innateDesc_113
114	4	0	2	2	%	text_innateDesc_114
115	2	3	2	2	%	text_innateDesc_115
121	5	0	2	1	%	text_innateDesc_121
122	6	0	2	1	%	text_innateDesc_122
123	28	0	2	1	%	text_innateDesc_123
124	29	0	2	1	%	text_innateDesc_124
125	13	0	2	1	%	text_innateDesc_125
126	14	0	2	1	%	text_innateDesc_126
127	15	0	2	1	%	text_innateDesc_127
128	5	6	2	1	%	text_innateDesc_128
141	7	0	2	1	%	text_innateDesc_141
142	8	0	2	1	%	text_innateDesc_142
143	11	0	2	1	%	text_innateDesc_143
144	12	0	2	1	%	text_innateDesc_144
145	20	0	2	1	%	text_innateDesc_145
146	21	0	2	1	%	text_innateDesc_146
147	22	0	2	1	%	text_innateDesc_147
148	23	0	2	1	%	text_innateDesc_148
161	18	0	2	1	%	text_innateDesc_161
162	19	0	2	1	%	text_innateDesc_162
1001	0	0	0	0	0	0
1002	0	0	0	0	0	0
1003	0	0	0	0	0	0
