编号	名称	类别	资源类别	品质	颜色方案	星级	兵种角标	特效方案	背包类型	背包页签	排序	使用方式	使用类型	子类型	展示类型	使用效果	功能	合成、使用等级限制	合成生成道具	合成数量	使用、合成消耗	使用消耗1	是否可出售	出售价格	图标	描述	前往查看	是否显示加号	获取途径	商店快速购买索引
id	name	category	resource	quality	color	star	legionIcon	showeffect	bagType	bagTab	sort	useable	useType	subType	showgetwaytype	useEffect	module	levelLimit	mergeItem	mergeNum	cost	cost1	sellable	sell	icon	desc	goto	showGetway	getway	shopId
Int	String	String	String	Int	Int	Int	Int	Int	Stirng	Stirng	Int	Int	String	String	Int	String	String	Int	Award	Int	Award	Award	Int	Int	String	String	String	String	Ints	Ints
1	text_materialsNameId_1	material	material	0	0	0	0	0	item	normal	1000	0	0	0	0	0		1	0	0	0	0	0	0	levelupstone.png	text_materialsDescId_1	0	altar1	1802|601	0
2	text_materialsNameId_2	material	material	5	5	0	0	0	item	normal	1000	0	0	0	0	0		1	0	0	0	0	0	0	yongqizhizheng.png	text_materialsDescId_2	0	shop:101:2:3	0	0
3	text_materialsNameId_3	material	material	4	4	0	0	0	item	normal	1000	0	0	0	0	0		1	0	0	0	0	0	0	destinystone.png	text_materialsDescId_3	0	shop:101:6:3	0	0
4	text_materialsNameId_4	material	material	5	5	0	0	0	item	normal	1000	0	0	0	0	0		1	0	0	0	0	0	0	destinystone_high.png	text_materialsDescId_4	0	0	0	0
5	text_materialsNameId_5	material	material	7	7	0	0	17	item	normal	1000	0	0	0	0	0		1	0	0	0	0	0	0	sacredstone.png	text_materialsDescId_5	0	0	0	0
6	text_materialsNameId_6	material	material	4	4	0	0	0	item	normal	1000	0	0	0	0	0		1	0	0	0	0	0	0	soldiermedal.png	text_materialsDescId_6	0	0	0	0
11	text_materialsNameId_11	material	material	3	3	0	0	0	item	normal	1600	0	partexp	0	0	5		1	0	0	0	0	0	0	equip_refine_1.png	text_materialsDescId_11	0	0	0	11|12|13|14
12	text_materialsNameId_12	material	material	4	4	0	0	0	item	normal	1600	0	partexp	0	0	10		1	0	0	0	0	0	0	equip_refine_2.png	text_materialsDescId_12	0	0	0	12|11|13|14
13	text_materialsNameId_13	material	material	5	5	0	0	0	item	normal	1600	0	partexp	0	0	25		1	0	0	0	0	0	0	equip_refine_3.png	text_materialsDescId_13	0	0	0	13|11|12|14
14	text_materialsNameId_14	material	material	6	6	0	0	0	item	normal	1600	0	partexp	0	0	50		1	0	0	0	0	0	0	equip_refine_4.png	text_materialsDescId_14	0	0	0	14|11|12|13
21	text_materialsNameId_21	material	material	3	3	0	0	0	item	normal	1400	0	xp	0	0	600		1	0	0	0	0	0	0	exp1.png	text_materialsDescId_21	0	0	0	21|22|23
22	text_materialsNameId_22	material	material	4	4	0	0	0	item	normal	1400	0	xp	0	0	1200		1	0	0	0	0	0	0	exp2.png	text_materialsDescId_22	0	0	0	22|21|23
23	text_materialsNameId_23	material	material	5	5	0	0	0	item	normal	1400	0	xp	0	0	9000		1	0	0	0	0	0	0	exp3.png	text_materialsDescId_23	0	0	0	23|2122
31	text_materialsNameId_31	material	material	2	2	0	0	0	item	box	2000	1	explore	0	0	2		1	0	0	0	0	0	0	jiasuka_1.png	text_materialsDescId_31	0	0	0	0
32	text_materialsNameId_32	material	material	3	3	0	0	0	item	box	2000	1	explore	0	0	5		1	0	0	0	0	0	0	jiasuka_2.png	text_materialsDescId_32	0	0	0	0
33	text_materialsNameId_33	material	material	4	4	0	0	0	item	box	2000	1	explore	0	0	12		1	0	0	0	0	0	0	jiasuka_3.png	text_materialsDescId_33	0	0	0	0
34	text_materialsNameId_34	material	material	5	5	0	0	15	item	box	2000	1	explore	0	0	24		1	0	0	0	0	0	0	jiasuka_4.png	text_materialsDescId_34	0	0	0	0
41	text_materialsNameId_41	material	material	0	0	0	0	0	item	normal	1200	0	0	0	0	0		1	0	0	0	0	0	0	awakestone.png	text_materialsDescId_41	0	0	1803|801	0
42	text_materialsNameId_42	material	material	5	5	0	0	15	item	normal	1200	0	0	0	0	0		1	0	0	0	0	0	0	awakegodstone.png	text_materialsDescId_42	0	0	10401|801	0
50	text_materialsNameId_50	material	material	3	3	0	0	0	item	normal	1500	2	0	0	0	0		1	material.51:1	3	0	0	0	0	equip_paper_1.png	text_materialsDescId_50	0	0	0	0
51	text_materialsNameId_51	material	material	4	4	0	0	0	item	normal	1500	2	0	0	0	0		1	material.52:1	4	0	0	0	0	equip_paper_2.png	text_materialsDescId_51	0	0	0	0
52	text_materialsNameId_52	material	material	5	5	0	0	0	item	normal	1500	2	0	0	0	0		1	material.53:1	5	0	0	0	0	equip_paper_3.png	text_materialsDescId_52	0	0	0	0
53	text_materialsNameId_53	material	material	6	6	0	0	16	item	normal	1500	0	0	0	0	0		1	0	0	0	0	0	0	equip_paper_4.png	text_materialsDescId_53	0	0	0	0
61	text_materialsNameId_61	material	material	5	5	0	0	0	item	normal	1500	0	0	0	0	0		1	0	0	0	0	0	0	dragon_blood.png	text_materialsDescId_61	0	0	0	0
62	text_materialsNameId_62	material	material	6	6	0	0	16	item	normal	1500	0	0	0	0	0		1	0	0	0	0	0	0	forg_stone.png	text_materialsDescId_62	0	0	0	0
72	text_materialsNameId_72	material	material	2	2	0	0	0	item	normal	900	0	0	0	0	0		0	0	0	0	0	0	0	medal_2.png	text_materialsDescId_72	0	0	0	0
73	text_materialsNameId_73	material	material	3	3	0	0	0	item	normal	900	0	0	0	0	0		0	0	0	0	0	0	0	medal_3.png	text_materialsDescId_73	0	0	0	0
74	text_materialsNameId_74	material	material	4	4	0	0	0	item	normal	900	0	0	0	0	0		0	0	0	0	0	0	0	medal_4.png	text_materialsDescId_74	0	0	0	0
75	text_materialsNameId_75	material	material	5	5	0	0	0	item	normal	900	0	0	0	0	0		0	0	0	0	0	0	0	medal_5.png	text_materialsDescId_75	0	0	0	0
76	text_materialsNameId_76	material	material	6	6	0	0	16	item	normal	900	0	0	0	0	0		0	0	0	0	0	0	0	medal_6.png	text_materialsDescId_76	0	0	0	0
77	text_materialsNameId_77	material	material	7	7	0	0	17	item	normal	900	0	0	0	0	0		0	0	0	0	0	0	0	medal_7.png	text_materialsDescId_77	0	0	0	0
