道具组ID	组内ID	奖励	掉落开启限制	掉落开启参数	掉落关闭限制	掉落关闭参数	道具组内权重
groupId	id	award	openType	openValue	closeType	closeValue	weight
Int	Int2	Award	String	Strings	String	Strings	Int
10000009	1	card.1001:1	level	1	level	999	30
10000009	2	card.1002:1	level	1	level	999	30
10000009	3	card.2001:1	level	1	level	999	10
10000009	4	card.2002:1	level	1	level	999	10
10000009	5	card.3001:1	level	1	level	999	10
10000009	6	card.3002:1	level	1	level	999	10
10000010	1	card.1001:1	level	1	level	999	30
10000010	2	card.1002:1	level	1	level	999	30
10000010	3	card.2001:1	level	1	level	999	10
10000010	4	card.2002:1	level	1	level	999	10
10000010	5	card.3001:1	level	1	level	999	10
10000010	6	card.3002:1	level	1	level	999	10
10000011	1	card.1001:1	level	1	level	999	5
10000011	2	card.1002:1	level	1	level	999	5
10000011	3	card.2001:1	level	1	level	999	10
10000011	4	card.2002:1	level	1	level	999	10
10000011	5	card.3001:1	level	1	level	999	35
10000011	6	card.3002:1	level	1	level	999	35
10000012	1	card.4003:1	level	1	level	999	20
10000012	2	card.4011:1	level	1	level	999	20
10000012	3	card.4017:1	level	1	level	999	20
10000012	4	card.4019:1	level	1	level	999	20
10000012	5	card.4007:1	level	1	level	999	20
10000012	6	card.4012:1	level	1	level	999	20
10000012	7	card.4020:1	level	1	level	999	10
10000012	8	card.4004:1	level	1	level	999	10
10000012	9	card.4008:1	level	1	level	999	10
10000012	10	card.4018:1	level	1	level	999	10
10000012	11	card.4014:1	level	1	level	999	10
10000012	12	card.4013:1	level	1	level	999	10
10000013	1	card.5005:1	level	1	level	999	20
10000013	2	card.5001:1	level	1	level	999	20
10000013	3	card.5015:1	level	1	level	999	20
10000013	4	card.5009:1	level	1	level	999	20
10000013	5	card.5006:1	level	1	level	999	10
10000013	6	card.5016:1	level	1	level	999	10
10000013	7	card.5002:1	level	1	level	999	10
10000013	8	card.5010:1	level	1	level	999	10
10000013	9	card.5021:1	gameday	22	gameday	9999	2
10000013	10	card.5022:1	gameday	22	gameday	9999	1
10000013	11	card.5023:1	gameday	15	gameday	9999	2
10000013	12	card.5024:1	gameday	15	gameday	9999	1
10000013	13	card.5025:1	gameday	8	gameday	9999	2
10000013	14	card.5026:1	gameday	8	gameday	9999	1
10000013	15	card.5027:1	gameday	1	gameday	9999	2
10000013	16	card.5028:1	gameday	1	gameday	9999	1
10000013	17	card.5029:1	gameday	29	gameday	9999	2
10000013	18	card.5030:1	gameday	29	gameday	9999	1
10000013	19	card.5031:1	gameday	36	gameday	9999	2
10000013	20	card.5032:1	gameday	36	gameday	9999	1
10000016	1	card.4003:1	level	1	level	999	20
10000016	2	card.4011:1	level	1	level	999	20
10000016	3	card.4017:1	level	1	level	999	20
10000016	4	card.4019:1	level	1	level	999	20
10000016	5	card.4007:1	level	1	level	999	20
10000016	6	card.4012:1	level	1	level	999	10
10000016	7	card.4020:1	level	1	level	999	10
10000016	8	card.4004:1	level	1	level	999	10
10000016	9	card.4008:1	level	1	level	999	10
10000016	10	card.4018:1	level	1	level	999	10
10000001	1	fragment.1001:1	level	1	level	999	30
10000001	2	fragment.1002:1	level	1	level	999	30
10000001	3	fragment.2001:1	level	1	level	999	10
10000001	4	fragment.2002:1	level	1	level	999	10
10000001	5	fragment.3001:1	level	1	level	999	10
10000001	6	fragment.3002:1	level	1	level	999	10
10000002	1	fragment.4003:1	level	1	level	999	20
10000002	2	fragment.4011:1	level	1	level	999	20
10000002	3	fragment.4017:1	level	1	level	999	20
10000002	4	fragment.4019:1	level	1	level	999	20
10000002	5	fragment.4007:1	level	1	level	999	20
10000002	6	fragment.4012:1	level	1	level	999	20
10000002	7	fragment.4020:1	level	1	level	999	10
10000002	8	fragment.4004:1	level	1	level	999	10
10000002	9	fragment.4008:1	level	1	level	999	10
10000002	10	fragment.4018:1	level	1	level	999	10
10000002	11	fragment.4014:1	level	1	level	999	10
10000002	12	fragment.4013:1	level	1	level	999	10
10000003	1	fragment.5005:1	level	1	level	999	20
10000003	2	fragment.5001:1	level	1	level	999	20
10000003	3	fragment.5015:1	level	1	level	999	20
10000003	4	fragment.5009:1	level	1	level	999	20
10000003	5	fragment.5006:1	level	1	level	999	10
10000003	6	fragment.5016:1	level	1	level	999	10
10000003	7	fragment.5002:1	level	1	level	999	10
10000003	8	fragment.5010:1	level	1	level	999	10
2001	1	equip.10101.0:1	level	1	level	999	100
2001	2	equip.20101.0:1	level	1	level	999	100
2001	3	equip.30101.0:1	level	1	level	999	100
2001	4	equip.40101.0:1	level	1	level	999	100
2001	5	equip.50101.0:1	level	1	level	999	100
2001	6	equip.60101.0:1	level	1	level	999	100
2002	1	equip.10201.0:1	level	1	level	999	100
2002	2	equip.20201.0:1	level	1	level	999	100
2002	3	equip.30201.0:1	level	1	level	999	100
2002	4	equip.40201.0:1	level	1	level	999	100
2002	5	equip.50201.0:1	level	1	level	999	100
2002	6	equip.60201.0:1	level	1	level	999	100
2003	1	equip.10301.0:1	level	1	level	999	100
2003	2	equip.20301.0:1	level	1	level	999	100
2003	3	equip.30301.0:1	level	1	level	999	100
2003	4	equip.40301.0:1	level	1	level	999	100
2003	5	equip.50301.0:1	level	1	level	999	100
2003	6	equip.60301.0:1	level	1	level	999	100
2004	1	equip.10401.0:1	level	1	level	999	100
2004	2	equip.20401.0:1	level	1	level	999	100
2004	3	equip.30401.0:1	level	1	level	999	100
2004	4	equip.40401.0:1	level	1	level	999	100
2004	5	equip.50401.0:1	level	1	level	999	100
2004	6	equip.60401.0:1	level	1	level	999	100
2005	1	equip.10501.0:1	level	1	level	999	100
2005	2	equip.20501.0:1	level	1	level	999	100
2005	3	equip.30501.0:1	level	1	level	999	100
2005	4	equip.40501.0:1	level	1	level	999	100
2005	5	equip.50501.0:1	level	1	level	999	100
2005	6	equip.60501.0:1	level	1	level	999	100
2006	1	equip.10601.0:1	level	1	level	999	100
2006	2	equip.20601.0:1	level	1	level	999	100
2006	3	equip.30601.0:1	level	1	level	999	100
2006	4	equip.40601.0:1	level	1	level	999	100
2006	5	equip.50601.0:1	level	1	level	999	100
2006	6	equip.60601.0:1	level	1	level	999	100
2007	1	equip.10701.0:1	level	1	level	999	100
2007	2	equip.20701.0:1	level	1	level	999	100
2007	3	equip.30701.0:1	level	1	level	999	100
2007	4	equip.40701.0:1	level	1	level	999	100
2007	5	equip.50701.0:1	level	1	level	999	100
2007	6	equip.60701.0:1	level	1	level	999	100
3001	1	gem.101:1	level	1	level	999	100
3001	2	gem.201:1	level	1	level	999	100
3001	3	gem.301:1	level	1	level	999	100
3001	4	gem.401:1	level	1	level	999	100
3002	1	material.101151:1	level	1	level	999	100
3002	2	material.101152:1	level	1	level	999	90
3002	3	material.101153:1	level	1	level	999	80
3002	4	material.101154:1	level	1	level	999	70
3002	5	material.101155:1	level	1	level	999	59
3002	6	material.101156:1	level	1	level	999	1
20000001	1	rune.1001:1	level	1	level	999	2500
20000001	2	rune.2001:1	level	1	level	999	2500
20000001	3	rune.3001:1	level	1	level	999	2500
20000001	4	rune.4001:1	level	1	level	999	2500
20000002	1	rune.1002:1	level	1	level	999	2500
20000002	2	rune.2002:1	level	1	level	999	2500
20000002	3	rune.3002:1	level	1	level	999	2500
20000002	4	rune.4002:1	level	1	level	999	2500
20000003	1	rune.1003:1	level	1	level	999	2500
20000003	2	rune.2003:1	level	1	level	999	2500
20000003	3	rune.3003:1	level	1	level	999	2500
20000003	4	rune.4003:1	level	1	level	999	2500
20000004	1	rune.1004:1	level	1	level	999	2500
20000004	2	rune.2004:1	level	1	level	999	2500
20000004	3	rune.3004:1	level	1	level	999	2500
20000004	4	rune.4004:1	level	1	level	999	2500
20000005	1	rune.1005:1	level	1	level	999	2500
20000005	2	rune.2005:1	level	1	level	999	2500
20000005	3	rune.3005:1	level	1	level	999	2500
20000005	4	rune.4005:1	level	1	level	999	2500
20000006	1	rune.1006:1	level	1	level	999	2500
20000006	2	rune.2006:1	level	1	level	999	2500
20000006	3	rune.3006:1	level	1	level	999	2500
20000006	4	rune.4006:1	level	1	level	999	2500
20000007	1	rune.1007:1	level	1	level	999	2500
20000007	2	rune.2007:1	level	1	level	999	2500
20000007	3	rune.3007:1	level	1	level	999	2500
20000007	4	rune.4007:1	level	1	level	999	2500
30000001	1	user.vip_xp:60	level	1	level	999	10000
50000101	1	user.bindcash:10	level	1	level	999	1000
50000101	2	user.hero_exp:3000	level	1	level	999	3000
50000101	3	material.1:10	level	1	level	999	3000
50000101	4	user.gold:10000	level	1	level	999	3000
50000102	1	user.bindcash:10	level	1	level	999	1000
50000102	2	user.hero_exp:6000	level	1	level	999	3000
50000102	3	material.1:10	level	1	level	999	3000
50000102	4	user.gold:11000	level	1	level	999	3000
50000103	1	user.bindcash:10	level	1	level	999	1000
50000103	2	user.hero_exp:26000	level	1	level	999	3000
50000103	3	material.1:16	level	1	level	999	3000
50000103	4	user.gold:19000	level	1	level	999	3000
50000104	1	user.bindcash:10	level	1	level	999	1000
50000104	2	user.hero_exp:56000	level	1	level	999	3000
50000104	3	material.1:24	level	1	level	999	3000
50000104	4	user.gold:31000	level	1	level	999	3000
50000105	1	user.bindcash:10	level	1	level	999	1000
50000105	2	user.hero_exp:75000	level	1	level	999	3000
50000105	3	material.1:32	level	1	level	999	3000
50000105	4	user.gold:40000	level	1	level	999	3000
50000106	1	user.bindcash:10	level	1	level	999	1000
50000106	2	user.hero_exp:97000	level	1	level	999	3000
50000106	3	material.1:43	level	1	level	999	3000
50000106	4	user.gold:52000	level	1	level	999	3000
