章节ID	关数	名称	前置关卡	是否支线	战斗ID1	通关奖励1	战斗ID2	通关奖励2	战斗ID3	通关奖励3	坐标	章节奖励	索引ID
id	num	name	openCondition	isBranch	fightId1	award1	fightId2	award2	fightId3	award3	pos	appear	index
Int	Int2	String	Int	Int	Int	Award	Int	Award	Int	Award	Ints	String	Int
1	1	【主线】1-1	0	0	31001	user.soul:60	31002	user.soul:60	31003	user.soul:60	80|495	box	1
1	2	【主线】1-2	1	0	31004	user.soul:60	31005	user.soul:60	31006	user.soul:60	175|565	0	0
1	3	【主线】1-3	2	0	31007	user.soul:60	31008	user.soul:60	31009	user.soul:60	320|645	0	0
1	4	【主线】1-4	3	0	31010	user.soul:60	31011	user.soul:60	31012	user.soul:60	420|605	0	0
1	5	【主线】1-5	4	0	31013	user.soul:60	31014	user.soul:60	31015	user.soul:60	325|510	0	0
1	6	【主线】1-6	5	0	31016	user.soul:60	31017	user.soul:60	31018	user.soul:60	435|460	0	0
1	7	【主线】1-7	6	0	31019	user.soul:60	31020	user.soul:60	31021	user.soul:60	505|490	0	0
1	8	【主线】1-8	7	0	31022	user.soul:60	31023	user.soul:60	31024	user.soul:60	580|453	0	0
1	9	【主线】1-9	8	0	31025	user.soul:60	31026	user.soul:60	31027	user.soul:60	396|353	0	0
1	10	【主线】1-10	9	0	31028	user.soul:60	31029	user.soul:60	31030	user.soul:60	281|400	0	0
1	11	【主线】1-11	10	0	31031	user.soul:60	31032	user.soul:60	31033	user.soul:60	166|336	0	0
1	12	【主线】1-12	11	0	31034	user.soul:60	31035	user.soul:60	31036	user.soul:60	344|243	0	0
1	13	【主线】1-13	12	0	31037	user.soul:60	31038	user.soul:60	31039	user.soul:60	480|162	0	0
1	14	【主线】1-14	13	0	31040	user.soul:60	31041	user.soul:60	31042	user.soul:60	540|240	0	0
1	15	【主线】1-15	14	0	31043	user.soul:60	31044	user.soul:60	31045	user.soul:60	641|295	enhance	3
1	16	【主线】1-16	15	0	31046	user.soul:60	31047	user.soul:60	31048	user.soul:60	680|365	0	0
1	17	【主线】1-17	16	0	31049	user.soul:60	31050	user.soul:60	31051	user.soul:60	781|420	0	0
1	18	【主线】1-18	17	0	31052	user.soul:60	31053	user.soul:60	31054	user.soul:60	802|513	0	0
1	19	【主线】1-19	18	0	31055	user.soul:60	31056	user.soul:60	31057	user.soul:60	905|471	box	4
1	20	【主线】1-20	19	0	31058	user.soul:60	31059	user.soul:60	31060	user.soul:60	904|390	0	0
1	21	【主线】1-21	20	0	31061	user.soul:60	31062	user.soul:60	31063	user.soul:60	996|318	0	0
1	22	【主线】1-22	21	0	31064	user.soul:60	31065	user.soul:60	31066	user.soul:60	918|267	0	0
1	23	【主线】1-23	22	0	31067	user.soul:60	31068	user.soul:60	31069	user.soul:60	998|207	0	0
1	24	【主线】1-24	23	0	31070	user.soul:60	31071	user.soul:60	31072	user.soul:60	908|150	0	0
2	1	【主线】2-1	0	0	31073	user.soul:65	31074	user.soul:65	31075	user.soul:65	220|100	0	0
2	2	【主线】2-2	1	0	31076	user.soul:65	31077	user.soul:65	31078	user.soul:65	115|170	0	0
2	3	【主线】2-3	2	0	31079	user.soul:65	31080	user.soul:65	31081	user.soul:65	218|235	0	0
2	4	【主线】2-4	3	0	31082	user.soul:65	31083	user.soul:65	31084	user.soul:65	110|305	0	0
2	5	【主线】2-5	4	0	31085	user.soul:65	31086	user.soul:65	31087	user.soul:65	230|385	0	0
2	6	【主线】2-6	5	0	31088	user.soul:65	31089	user.soul:65	31090	user.soul:65	360|440	0	0
2	7	【主线】2-7	6	0	31091	user.soul:65	31092	user.soul:65	31093	user.soul:65	580|340	0	0
2	8	【主线】2-8	7	0	31094	user.soul:65	31095	user.soul:65	31096	user.soul:65	480|255	box	1
2	9	【主线】2-9	8	0	31097	user.soul:65	31098	user.soul:65	31099	user.soul:65	650|175	0	0
2	10	【主线】2-10	9	0	31100	user.soul:65	31101	user.soul:65	31102	user.soul:65	756|238	0	0
2	11	【主线】2-11	10	0	31103	user.soul:65	31104	user.soul:65	31105	user.soul:65	830|325	0	0
2	12	【主线】2-12	11	0	31106	user.soul:65	31107	user.soul:65	31108	user.soul:65	693|402	0	0
2	13	【主线】2-13	12	0	31109	user.soul:65	31110	user.soul:65	31111	user.soul:65	573|460	0	0
2	14	【主线】2-14	13	0	31112	user.soul:65	31113	user.soul:65	31114	user.soul:65	705|521	0	0
2	15	【主线】2-15	14	0	31115	user.soul:65	31116	user.soul:65	31117	user.soul:65	805|485	0	0
2	16	【主线】2-16	15	0	31118	user.soul:65	31119	user.soul:65	31120	user.soul:65	870|540	0	0
2	17	【主线】2-17	16	0	31121	user.soul:65	31122	user.soul:65	31123	user.soul:65	800|580	0	0
2	18	【主线】2-18	17	0	31124	user.soul:65	31125	user.soul:65	31126	user.soul:65	900|625	0	0
2	19	【支线】2-19	10	1	32001	user.soul:39	32002	user.soul:39	32003	user.soul:39	980|150	0	0
2	20	【支线】2-20	19	1	32004	user.soul:39	32005	user.soul:39	32006	user.soul:39	1110|265	0	0
