解锁星星数	奖励
star	awards
Int	Award
5	card.10001:1
30	fragment.4105:5,fragment.4305:5,fragment.4404:5
45	fragment.4105:10,fragment.4305:10,fragment.4404:10
60	fragment.4105:10,fragment.4305:10,fragment.4404:10
72	fragment.4105:10,fragment.4305:10,fragment.4404:10
84	fragment.4105:10,fragment.4305:10,fragment.4404:10
96	fragment.4105:10,fragment.4305:10,fragment.4404:10
114	card.10002:1
132	fragment.4104:15,fragment.4203:15,fragment.4303:15,fragment.4402:15
144	card.10003:1
156	fragment.4104:20,fragment.4203:20,fragment.4303:20,fragment.4402:20
168	card.10005:1
180	fragment.4104:20,fragment.4203:20,fragment.4303:20,fragment.4402:20
192	card.10006:1
204	fragment.4104:20,fragment.4203:20,fragment.4303:20,fragment.4402:20
216	card.10007:1
228	fragment.4105:25,fragment.4305:25,fragment.4404:25
240	fragment.4104:25,fragment.4203:25,fragment.4303:25,fragment.4402:25
252	fragment.4105:30,fragment.4305:30,fragment.4404:30
264	fragment.4105:35,fragment.4305:35,fragment.4404:35
276	fragment.4104:35,fragment.4203:35,fragment.4303:35,fragment.4402:35
288	fragment.4105:40,fragment.4208:40,fragment.4305:40,fragment.4404:40
300	fragment.5101:5,fragment.5201:5,fragment.5301:5,fragment.5401:5
312	fragment.5101:5,fragment.5201:5,fragment.5301:5,fragment.5401:5
324	fragment.5102:5,fragment.5202:5,fragment.5302:5,fragment.5402:5
336	fragment.5101:10,fragment.5201:10,fragment.5301:10,fragment.5401:10
348	fragment.5102:10,fragment.5202:10,fragment.5302:10,fragment.5402:10
360	fragment.5101:10,fragment.5201:10,fragment.5301:10,fragment.5401:10
372	fragment.5102:10,fragment.5202:10,fragment.5302:10,fragment.5402:10
384	fragment.5101:15,fragment.5201:15,fragment.5301:15,fragment.5401:15
396	fragment.5102:15,fragment.5202:15,fragment.5302:15,fragment.5402:15
408	fragment.5101:15,fragment.5201:15,fragment.5301:15,fragment.5401:15
420	fragment.5102:15,fragment.5202:15,fragment.5302:15,fragment.5402:15
432	fragment.5101:20,fragment.5201:20,fragment.5301:20,fragment.5401:20
444	fragment.5102:20,fragment.5202:20,fragment.5302:20,fragment.5402:20
456	fragment.5101:30,fragment.5201:30,fragment.5301:30,fragment.5401:30
468	fragment.5102:30,fragment.5202:30,fragment.5302:30,fragment.5402:30
480	fragment.5101:40,fragment.5201:40,fragment.5301:40,fragment.5401:40
492	fragment.5102:40,fragment.5202:40,fragment.5302:40,fragment.5402:40
504	fragment.5101:50,fragment.5201:50,fragment.5301:50,fragment.5401:50
516	fragment.5102:50,fragment.5202:50,fragment.5302:50,fragment.5402:50
528	fragment.5101:60,fragment.5201:60,fragment.5301:60,fragment.5401:60
540	fragment.5102:60,fragment.5202:60,fragment.5302:60,fragment.5402:60
552	fragment.5101:70,fragment.5201:70,fragment.5301:70,fragment.5401:70
564	fragment.5102:70,fragment.5202:70,fragment.5302:70,fragment.5402:70
576	fragment.5101:80,fragment.5201:80,fragment.5301:80,fragment.5401:80
588	fragment.5102:80,fragment.5202:80,fragment.5302:80,fragment.5402:80
600	fragment.5101:90,fragment.5201:90,fragment.5301:90,fragment.5401:90
612	fragment.5102:90,fragment.5202:90,fragment.5302:90,fragment.5402:90
624	fragment.5101:100,fragment.5201:100,fragment.5301:100,fragment.5401:100
636	fragment.5102:100,fragment.5202:100,fragment.5302:100,fragment.5402:100
648	fragment.5101:120,fragment.5201:120,fragment.5301:120,fragment.5401:120
660	fragment.5102:120,fragment.5202:120,fragment.5302:120,fragment.5402:120
