索引	音效
id	soundRes
String	String
GUIDE_STR_1	0
GUIDE_STR_2	0
GUIDE_STR_3	0
GUIDE_STR_4	0
GUIDE_STR_5	0
GUIDE_STR_6	0
GUIDE_STR_7	0
GUIDE_STR_8	0
GUIDE_STR_9	0
GUIDE_STR_10	0
GUIDE_STR_11	0
GUIDE_STR_12	0
GUIDE_STR_13	0
GUIDE_STR_14	0
GUIDE_STR_15	0
GUIDE_STR_16	0
GUIDE_STR_17	0
GUIDE_STR_18	0
GUIDE_STR_19	0
GUIDE_STR_20	0
GUIDE_STR_21	0
GUIDE_STR_22	0
GUIDE_STR_23	0
GUIDE_STR_24	0
GUIDE_STR_25	0
GUIDE_STR_26	0
GUIDE_STR_27	0
GUIDE_STR_28	0
GUIDE_STR_29	0
GUIDE_STR_30	0
GUIDE_STR_31	0
GUIDE_STR_32	0
GUIDE_STR_33	0
GUIDE_STR_34	0
GUIDE_STR_35	0
GUIDE_STR_36	0
GUIDE_STR_37	0
GUIDE_STR_38	0
GUIDE_STR_39	0
GUIDE_STR_40	0
GUIDE_STR_41	0
GUIDE_STR_42	0
GUIDE_STR_43	0
GUIDE_STR_44	0
GUIDE_STR_45	0
GUIDE_STR_46	0
GUIDE_STR_47	0
GUIDE_STR_48	0
GUIDE_STR_49	0
GUIDE_STR_50	0
GUIDE_STR_51	0
GUIDE_STR_52	0
GUIDE_STR_53	0
GUIDE_STR_54	0
GUIDE_STR_55	0
GUIDE_STR_56	0
GUIDE_STR_57	0
GUIDE_STR_58	0
GUIDE_STR_59	0
GUIDE_STR_60	0
GUIDE_STR_61	0
GUIDE_STR_62	0
GUIDE_STR_63	0
GUIDE_STR_64	0
GUIDE_STR_65	0
GUIDE_STR_66	0
GUIDE_STR_67	0
GUIDE_STR_68	0
GUIDE_STR_69	0
GUIDE_STR_71	0
GUIDE_STR_72	0
GUIDE_STR_73	0
GUIDE_STR_74	0
GUIDE_STR_75	0
GUIDE_STR_76	0
GUIDE_STR_77	0
GUIDE_STR_78	0
GUIDE_STR_79	0
GUIDE_STR_80	0
GUIDE_STR_81	0
GUIDE_STR_82	0
GUIDE_STR_83	0
GUIDE_STR_84	0
GUIDE_STR_85	0
GUIDE_STR_86	0
GUIDE_STR_87	0
GUIDE_STR_88	0
GUIDE_STR_89	0
GUIDE_STR_90	0
GUIDE_STR_91	0
GUIDE_STR_92	0
GUIDE_STR_93	0
GUIDE_STR_94	0
GUIDE_STR_95	0
GUIDE_STR_96	0
GUIDE_STR_97	0
GUIDE_STR_98	0
GUIDE_STR_99	0
GUIDE_STR_100	0
GUIDE_STR_101	0
GUIDE_STR_102	0
GUIDE_STR_103	0
GUIDE_STR_104	0
GUIDE_STR_105	0
GUIDE_STR_106	0
GUIDE_STR_107	0
GUIDE_STR_108	0
GUIDE_STR_109	0
GUIDE_STR_110	0
GUIDE_STR_111	0
GUIDE_STR_112	0
GUIDE_STR_113	0
GUIDE_STR_114	0
GUIDE_STR_115	0
GUIDE_TIPS_19	0
GUIDE_STR_116	0
GUIDE_STR_117	0
GUIDE_STR_118	0
GUIDE_STR_119	0
GUIDE_STR_120	0
GUIDE_STR_121	0
GUIDE_STR_122	0
GUIDE_STR_123	0
