类型	组内序号	文本标题	文本内容
type	id	title	content
Int	Int2	String	String
1	1	1.问：换了新设备后，怎样才能继续游戏？	答：您下载好并进入到游戏后，在登录界面输入您的账号和密码来登录进入游戏。请使用相同系统的设备。
1	2	2.问：忘记了游戏登录账号是否能够找回？	答：游戏登录账号是无法找回的，请务必牢记您的游戏登录账号。
1	3	3.问：账号被盗，密码被别人更改了怎么办？	答：当您的账号登录密码被更改时，请登录账号安全中心更改。
1	4	4.问：出现网络超时，无法登录游戏怎么办？	答：如果您出现网络超时无法登录时，请继续尝试链接；如若还是网络超时，请检查您的网络，或者及时与我们联系。
1	5	5.问：当登录游戏发现数据丢失了该怎么办？	答：如果遇到数据丢失的情况，首先请确认您所登录的服务器是否正确，因为各个服务器之间数据不互通，如果服务器正确依然存在该问题，请及时与我们联系，联系时请尽量提供游戏ID，登录账号等信息，我们将尽最大的努力帮助您。
1	6	6.问：当游戏出现闪退怎么办？	答：当您遇到游戏闪退时，请先关闭设备后台的所有进程后再尝试重新进入游戏，如果还是出现闪退，请尝试重启设备再次尝试或者向客服人员提供您的设备型号反映闪退问题。
1	7	7.问：当发现作弊的玩家该怎么办？	答：我们致力于为玩家们提供一个公平的游戏环境，禁止任何玩家利用游戏中的bug破坏游戏的平衡。当您发现有玩家作弊时，请务必及时给我们反馈，我们将对作弊玩家予以严肃的处理。
2	1	1.问：当遇到有玩家在聊天频道发送广告或诈骗信息时该怎么办？	答：您可以通过联系客服进行反馈。并截图该玩家的ID和一些证据向客服进行举报。
3	1	1.问：如何成为VIP玩家？	答：当您购买金钻达到一定数量后，即可成为VIP玩家，购买的金钻越多，则VIP等级越高，享受的特权也越多。另外在游戏内还可以通过完成每日任务提升您的VIP等级。
3	2	2.问：首次充值有什么奖励？	答：首次充值可获得折扣巨大的首充礼包，获得巨大的能力提升！
3	3	3.问：当遇到充值时已经付款，但道具没有到账问题时，该如何处理？	答：当您发现付款成功但未收到道具时，请先尝试重启游戏。若尝试无果，及时与我们联系。
3	4	4.问：为什么充值成功后，扣除的金额会出现变动？	答：充值扣除的金额是游戏平台根据当前您所在国家货币的汇率兑换收取的，所以会因为汇率的波动而变动。
