类型	组内序号	文本标题	文本内容
type	id	title	content
Int	Int2	String	String
1	1	总览	冒险的地图分为普通、精英、困难、噩梦和地狱五个难度，每个难度下包含多个关卡，不同难度的关卡均有特色掉落。
1	2	解锁区域	当一个区域的关卡全部通过后，可解锁下一个新的区域供您探索。
1	3	关卡事件	冒险过程中，当您通关某些特定关卡时，将会触发意想不到的有趣事件。
1	4	关卡掉落	您可以在关卡详情中查阅当前关卡可能掉落的物品，成功通过关卡时，您将有机会获得该关卡掉落的道具。
2	1	战前布阵	通常站在前排的英雄比后排的英雄更容易遭受攻击，合理考虑不同兵种英雄的站位，才能让每位英雄的能力得到充分发挥。
2	2	胜负判定	进攻发起方需要在限定时间内击杀敌方所有单位才能获得战斗胜利，超过限定时间将判定为进攻发起方战败。
2	3	攻击	攻击越高，进行攻击时对敌人造成的伤害越高。
2	4	护甲	护甲越高，遭到敌人普通攻击时受到的伤害越低。
2	5	技防	技防越高，遭到敌人技能攻击时受到的伤害越低。
2	6	生命	生命越多，在战斗中存活时间越长。
2	7	命中几率	提升普通攻击命中敌方的几率。
2	8	闪避几率	提升躲避敌方普通攻击的几率。
2	9	暴击几率	提升普通攻击对敌方造成暴击伤害的几率。
2	10	抗暴几率	降低受到敌方普通攻击时被暴击的几率。
2	11	暴击伤害	提升触发暴击时对目标造成的暴击伤害。
2	12	暴击减伤	降低受到来自敌方暴击伤害时受到的暴击伤害。
2	13	护甲穿透	提升护甲穿透可在战斗中忽视敌方一定护甲。
2	14	技防穿透	提升技防穿透可在战斗中忽视敌方一定技防。
2	15	负面抗性	降低受到负面效果的生效概率和持续时间。
2	16	治疗加成	提升受到治疗的效果。
2	17	初始怒气	提升开始时英雄的初始怒气值。
2	18	移动速度	提升单位的机动能力。
2	19	攻击速度	提升每次普通攻击的时间间隔。
2	20	技能暴击率	提升技能触发暴击的几率。
2	21	怒气回复速度	提升单位时间内英雄怒气回复的速度。
2	22	伤害加成	提升对敌方造成的伤害。
2	23	伤害减免	降低来自敌方的伤害。
2	24	技能伤害加成	提升技能对敌方造成的伤害。
2	25	技能伤害减免	降低来自敌方的技能伤害。
2	26	PvP伤害加成	与玩家战斗时，提升对敌方造成的伤害。
2	27	PvP伤害减免	与玩家战斗时，降低来自敌方的伤害。
3	1	战斗掉落	在冒险关卡、村庄争夺及特定活动中有概率获得英雄碎片。
3	2	商店购买	通过在英雄商店消耗一定资源获取英雄碎片。
3	3	酒馆招募	在酒馆中通过使用爱心、号角、金币、钻石和朗姆酒等道具进行招募可快速获取新的英雄以及英雄碎片。
4	1	英雄升级	通过消耗经验药水和金币来提升英雄的等级。
4	2	英雄突破	当英雄达到指定等级时，可通过消耗一定量的突破石来提升英雄的品阶。
4	3	英雄部队	当解锁精英关卡后，可对英雄部队进行升级，率领部队征战天下。
4	4	英雄天命	当英雄达到指定等级时，可通过消耗一定量的天命石提升英雄的天命等级和技能等级。
4	5	穿戴装备	给英雄穿戴装备来提升英雄的战斗力，装备的等级和品质越高，给英雄增加的战斗力越多。
4	6	部位觉醒	觉醒英雄部位，获得奇异的能力。
4	7	镶嵌和升级宝石	通过镶嵌宝石，能提高英雄的战斗力，升级宝石可以提高宝石的属性，使英雄战斗力更高。
5	1	装备品质	装备分为普通、杰出、稀有、史诗、神话、远古、创世七种品质，装备品质越高，对英雄的加成也越高。
5	2	装备强化	可消耗同星级装备进行强化，强化后装备星级提升、属性提升，不同品质装备最高星级不同。
5	3	装备精炼	装备品质越高，装备精炼等级上限越高。精炼装备需要消耗精炼石。
6	1	获得巨龙	通关特定关卡时，会获得巨龙的加入，巨龙可在战斗中起到决定性的作用。
6	2	龙晶获得和镶嵌	通过每天参与龙晶矿洞，获得一定数量龙晶，低级龙晶可以通过合成升级为高级龙晶。龙晶可镶嵌在巨龙身上，提高巨龙战斗力。
6	3	巨龙升级	巨龙身上镶嵌的龙晶达到特定等级后，可提升巨龙等阶，巨龙升阶后能力将获得大幅提升。
