Key	文本内容
key	text
String	String
text_nil	暂无
text_rollNoticeHtmStr_1	<font color="#ffffffff" size="20">恭喜领主</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">在酒馆中招募到英雄</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">，实力大幅提升！</font>
text_rollNoticeHtmStr_2	<font color="#ffffffff" size="20">恭喜领主</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">合成英雄</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">，实力大幅提升！</font>
text_rollNoticeHtmStr_3	<font color="#ffffffff" size="20">恭喜</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">击败了</font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20">，登基成为国王！</font>
text_rollNoticeHtmStr_4	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">击败了</font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20">成为</font><font color="#ff3300ff" size="20">竞技场霸主</font><font color="#ffffffff" size="20">，所向披靡，千古流芳</font>
text_rollNoticeHtmStr_5	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">击败了</font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20">成为竞技场第</font><font color="#ff3300ff" size="20"><s3></font><font color="#ffffffff" size="20">名，名字已响彻大陆！</font>
text_rollNoticeHtmStr_6	<font color="#ffffffff" size="20">恭喜</font><font color="#ff3300ff" size="20"><s1></font><font color="#ffffffff" size="20">服</font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20">在王者之战中夺冠，称霸大陆，举世无敌！</font>
text_rollNoticeHtmStr_7	<font color="#ffffffff" size="20">恭喜</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">使用朗姆酒兑换出5星英雄</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">。</font>
