索引	音效	内容
id	soundRes	text
String	String	String
GUIDE_STR_1	0	让我们来击败掠夺者吧！
GUIDE_STR_2	0	噢，我早说过，带女人上船会遭来厄运
GUIDE_STR_3	0	我们好像已经来到了先知口中的神土
GUIDE_STR_4	0	请殿下指挥清点战船，我等前去探路
GUIDE_STR_5	0	点击打开英雄界面
GUIDE_STR_6	0	让英雄上阵一起战斗吧
GUIDE_STR_7	0	呕~讨厌湿漉漉的触手！
GUIDE_STR_8	0	为英雄穿戴装备
GUIDE_STR_9	0	推荐装备是当前最好的！
GUIDE_STR_10	0	点击这里可查看克制关系哦！
GUIDE_STR_11	0	左右滑动查看其它兵种
GUIDE_STR_12	0	战斗时兵种克制更容易取胜！
GUIDE_STR_13	0	骑兵会绕后，攻击后方英雄
GUIDE_STR_14	0	点击叹号查看敌将信息
GUIDE_STR_15	0	点击查看英雄评级
GUIDE_STR_16	0	点击按钮提升领主品质
GUIDE_STR_17	0	使用经验药水，提升同伴等级
GUIDE_STR_18	0	点击提升英雄等级
GUIDE_STR_19	0	酒馆去喝一杯，看看能不能遇到更多伙伴~
GUIDE_STR_20	0	点击单次招募免费抽取英雄
GUIDE_STR_21	0	殿下，前方便是希望，我们跟它拼了！
GUIDE_STR_22	0	获得星星印记可使能力得到大幅提升！
GUIDE_STR_23	0	继续前往搜集印记吧！
GUIDE_STR_24	0	开启2倍加速，缩短战斗时间！
GUIDE_STR_25	0	开启3倍加速，缩短战斗时间！
GUIDE_STR_26	0	哇哦，我感觉身体在燃烧！
GUIDE_STR_27	0	传说中的英雄都喜欢这里的美酒~
GUIDE_STR_28	0	这位帅哥是我的，大家都别抢！
GUIDE_STR_29	0	点击此处可查看伙伴羁绊情况
GUIDE_STR_30	0	搜集英雄可激活图鉴缘分
GUIDE_STR_31	0	一起来看看主城任务
GUIDE_STR_32	0	点击领取任务奖励
GUIDE_STR_33	0	每日完成任务均可获得爵位经验和丰厚奖励
GUIDE_STR_34	0	看看石板中记录着什么
GUIDE_STR_35	0	一起来看看巨龙篇
GUIDE_STR_36	0	嘻，火龙就在前方不远
GUIDE_STR_37	0	巨龙将在战斗中起到巨大的作用
GUIDE_STR_38	0	挑战怪物提升挂机奖励
GUIDE_STR_39	0	点击领取挂机收益
GUIDE_STR_40	0	记得常来领取奖励
GUIDE_STR_41	0	巨龙可为全体英雄提供属性增幅
GUIDE_STR_42	0	在战场中可主动操纵巨龙释放技能
GUIDE_STR_43	0	点击派遣巨龙上阵
GUIDE_STR_44	0	战斗中每秒可获得2点能量
GUIDE_STR_45	0	能量集齐后可召唤巨龙！
GUIDE_STR_46	0	拖拽可手动释放
GUIDE_STR_47	0	解救古老的村庄可获得神书
GUIDE_STR_48	0	每本书都包含惊人的力量
GUIDE_STR_49	0	宝物可为全体英雄来带属性加成
GUIDE_STR_50	0	集齐多件宝物可激活主角缘分
GUIDE_STR_51	0	满足指定条件即可挑战章鱼获得宝物
GUIDE_STR_52	0	每天都能进行免费祭祀
GUIDE_STR_53	0	开启宝箱需要消耗钥匙
GUIDE_STR_54	0	开启王者宝箱则需要传说中的王者钥匙
GUIDE_STR_55	0	探险可获得更多的宝箱和钥匙
GUIDE_STR_56	0	长按骰子进行移动
GUIDE_STR_57	0	收集齐4枚碎片即可获得王者宝箱
GUIDE_STR_58	0	我们开始了一次伟大的冒险
GUIDE_STR_59	0	去寻找一片神奇的土地
GUIDE_STR_60	0	我们受到了暴风雨的袭击
GUIDE_STR_61	0	脱离了船队，驶入了神秘海域
GUIDE_STR_62	0	我们在陌生海域遭遇了巨型章鱼
GUIDE_STR_63	0	当我们以为已经一无所有的时候
GUIDE_STR_64	0	抵达了一片神奇的土地
GUIDE_STR_65	0	神龙的出现，诞生了不同的信仰
GUIDE_STR_66	0	人们为了彼此之间的信仰而战火不断
GUIDE_STR_67	0	传说中，若能得到全部神龙的力量
GUIDE_STR_68	0	便可平息战火，称霸世界
GUIDE_STR_69	0	点击查看解锁详情
GUIDE_STR_71	0	让我们快来看看英雄的天赋吧
GUIDE_STR_72	0	开启英雄突破可大幅提升英雄战力
GUIDE_STR_73	0	领主可点击强化按钮进行装备强化
GUIDE_STR_74	0	消耗金币可强化当前装备
GUIDE_STR_75	0	龙晶矿洞中储藏着大量龙晶，这里是挖掘起点
GUIDE_STR_76	0	高亮的矿格可以被挖掘，每次消耗1个矿镐
GUIDE_STR_77	0	这里是宝藏，可获得龙晶和丰厚奖励
GUIDE_STR_78	0	拯救它，他会帮助你
GUIDE_STR_79	0	挖掘全部宝藏可获取终极宝箱，一起来看看
GUIDE_STR_80	0	点击进入英雄等级界面
GUIDE_STR_81	0	使用龙晶可提升技能强度并解锁技能天赋
GUIDE_STR_82	0	让我们快来看看龙晶的获取途径
GUIDE_STR_83	0	让我们来镶嵌龙晶提升巨龙技能
GUIDE_STR_84	0	快来选择所需镶嵌的龙晶
GUIDE_STR_85	0	点击进化按钮升级巨龙技能
GUIDE_STR_86	0	可在此处查看已拥有的全部龙晶
GUIDE_STR_87	0	可将选中的低级龙晶合成为高级龙晶
GUIDE_STR_88	0	也可以选择龙晶进行转换
GUIDE_STR_89	0	转换龙晶有概率产出同级发光龙晶
GUIDE_STR_90	0	这里会展示您的当前官职与税收
GUIDE_STR_91	0	点击挑战更高官职
GUIDE_STR_92	0	获得该官职可获取更高的税收与薪资
GUIDE_STR_93	0	每解锁一个村庄都将开启该村庄的地块争夺
GUIDE_STR_94	0	战队队长可夺取村庄奖励
GUIDE_STR_95	0	同时也可单人前往地块争夺，获取英雄碎片
GUIDE_STR_96	0	快来争夺地块获取丰富奖励吧
GUIDE_STR_97	0	 这里有新的挑战等着你
GUIDE_STR_98	0	这里将掉落神之魂晶
GUIDE_STR_99	0	挑战噩梦关卡需要消耗高级体力
GUIDE_STR_100	0	装备精炼已开启，点击进入精炼界面
GUIDE_STR_101	0	装备精炼可提升基础属性并新增一条特殊属性
GUIDE_STR_102	0	让我们试试精炼装吧
GUIDE_STR_103	0	提升天命可大幅提升英雄属性和技能强度
