编号	类型	描述
id	type	str
Int	String	String
1	军团战说明	<font color="#8a4c0fff" size="24"><line>『赛程简介』</font><font color="#8a4c0fff" size="20"><line> ※军团战每周进行2轮战斗。<line> ※第一轮备战阶段：周一18:30~周二20:30<line> ※第一轮战斗阶段：周二20:30~周三20:30<line> ※第二轮备战阶段：周四18:30~周五20:30<line> ※第二轮战斗阶段：周五20:30~周六20:30<line> ※每轮战斗阶段结束后即进入休战阶段，等待下一轮军团战开启。<line> ※军团战为跨服玩法，在休战阶段根据军团段位匹配对手。</font><font color="#8a4c0fff" size="24"><line><line>『参战条件』</font><font color="#8a4c0fff" size="20"><line> ※军团等级≥1<line> ※军团人数≥10<line> ※进入备战阶段时，满足参战条件的军团可参与本轮军团战。<line> ※进入备战阶段后，加入军团的成员不可参加本轮军团战。</font><font color="#8a4c0fff" size="24"><line><line>『备战阶段』</font><font color="#8a4c0fff" size="20"><line> ※团长、副团长可点击城池部署己方防御阵型。<line> ※每位军团成员最多可被部署驻防2次（不可在相同城池）。<line> ※每个城池均有隐蔽中的驻防位，隐蔽驻防位在遭到攻击前不会暴露。<line> ※每位军团成员可在备战阶段自由选择城池进行修筑。<line> ※备战阶段可使用魔法卡提升城池修筑速度。</font><font color="#8a4c0fff" size="24"><line><line>『战斗阶段』</font><font color="#8a4c0fff" size="20"><line> ※在战斗阶段中，每位军团成员有4次攻击次数。<line> ※城池守军人数为1时，城池着火，可以绕过城池通行。<line> ※城池守军人数为0时，城池沦陷，点击城池可领取攻陷奖励。</font><font color="#8a4c0fff" size="24"><line><line>『胜负判定』</font><font color="#8a4c0fff" size="20"><line> ※在战斗阶段中，攻陷敌方城池可获得己方军团战积分增长。<line> ※若战斗阶段结束时，双方军团战积分相同，则军团总战力高的一方获胜。</font><font color="#8a4c0fff" size="24"><line><line>『奖励获取途径』</font><font color="#8a4c0fff" size="20"><line> ※备战阶段参与修筑己方城池。<line> ※战斗阶段向敌方单位发起进攻。<line> ※战斗阶段攻陷敌方城池。<line> ※战斗结束后，依据军团段位和胜负情况发放本轮军团战结算奖励。</font>
2	王城争霸说明	<font color="#8a4c0fff" size="24"><line>『争夺规则』</font><font color="#8a4c0fff" size="20"><line> ※玩家每日有3次免费发起爵位挑战的机会。<line> ※最高可向比自身高1级爵位的玩家发起挑战。<line> ※若挑战胜利，将与被挑战目标爵位互换。<line> ※若挑战失败，则双方爵位不发生变化。</font><font color="#8a4c0fff" size="24"><line><line>『奖励规则』</font><font color="#8a4c0fff" size="20"><line> ※每个爵位均有爵位税收和爵位薪资。<line> ※每日12:00至21:00期间每小时根据玩家所处爵位累积1次爵位税收。<line> ※每日22:00根据玩家当前所处的爵位发放爵位薪资和今日累积的爵位税收至玩家邮箱。</font>
5	王者之战说明	<font color="#8a4c0fff" size="24">『赛事周期』</font><font color="#8a4c0fff" size="20"><line> ※积分赛：周一17:30~周四17:30<line> ※晋级16强赛：周四 18:00~19:00<line> ※晋级8强赛：周五 18:00~19:00<line> ※晋级4强赛：周五 19:30~20:30<line> ※半决赛：周六 18:00~19:00<line> ※决赛：周六 19:30~20:30</font><font color="#8a4c0fff" size="24"><line><line>『积分赛规则』</font><font color="#8a4c0fff" size="20"><line> ※积分赛期间，每日均可免费向对手发起10次挑战。<line> ※玩家可点击刷新按钮更换匹配到的对手。<line> ※战胜积分比自己高的玩家可获得更多的积分，击败积分比自己低的玩家只能获得少量的积分。<line> ※积分赛结束时，将根据积分排名发放奖励至参赛者邮箱，积分排名前32的玩家将获得晋级赛参赛资格。</font><font color="#8a4c0fff" size="24"><line><line>『晋级赛规则』</font><font color="#8a4c0fff" size="20"><line> ※晋级赛共5轮，参赛者两两对战进行淘汰，直到决赛结束。<line> ※每轮比赛分为布阵阶段和战斗阶段。<line> ※未能进入晋级赛的玩家可在每轮比赛开始前对1名参赛者进行支持。<line> ※进入晋级赛的玩家可在布阵阶段进行赛前进行阵容调整，没有布阵玩家则使用之前的阵容进行比赛。<line> ※晋级赛结束时，将根据赛果发放终极奖励至参赛者邮箱。</font><font color="#8a4c0fff" size="24"><line><line>『膜拜规则』</font><font color="#8a4c0fff" size="20"><line> ※玩家每日可对崇拜的大佬进行1次膜拜。</font>
8	龙晶矿洞说明	<font color="#8a4c0fff" size="24"><line>『玩法规则』</font><font color="#8a4c0fff" size="20"><line> ※每日5点重置矿区。<line> ※需要从起点开始挖矿，只能挖开相邻的土壤。<line> ※挖开土壤需要消耗1个矿锄，金刚石无法被挖掘。<line> ※拖动炸药至空地可直接炸开一横排土壤。<line> ※拖动雷管至空地可直接炸开一竖列土壤。 </font><font color="#8a4c0fff" size="24"><line><line>『矿区宝藏』</font><font color="#8a4c0fff" size="20"><line> ※矿区中存在10个宝藏。<line> ※挖光所有宝藏可打开终极宝箱，获得极品道具。<line> ※挖开宝藏可能发现：龙晶矿、宝藏守护者、秘宝。<line> ※龙晶矿：点击直接获得龙晶碎片。<line> ※宝藏守护者：击败守护者可能掉落整个龙晶。<line> ※秘宝：每个秘宝最多可开启3次，有几率获取高级龙晶。</font>
10	勇者之塔说明	<font color="#8a4c0fff" size="24"><line>『玩法规则』</font><font color="#8a4c0fff" size="20"><line> ※每层固定奖励符文精华、金币。<line> ※每隔5层有1个符文随机宝箱，每次挑战均可领取。<line> ※挑战本层成功后，即可进入下一层挑战。</font><font color="#8a4c0fff" size="24"><line><line>『重置楼层』</font><font color="#8a4c0fff" size="20"><line> ※每日最多可进行3次挑战楼层重置。<line> ※每次重置将回到1层。<line> ※每次重置后，可选择自动扫荡至历史最高层获得丰厚奖励。 </font>
15	酒馆招募	<font color="#8a4c0fff" size="24"><line>『平凡的招募』</font><font color="#8a4c0fff" size="20"><line> ※可通过消耗金币或平凡招募道具进行招募。<line> ※每日消耗金币进行招募有次数上限。<line> ※每次招募可获得朗姆酒和4星英雄碎片，随机赠送经验药水、1~3星英雄碎片、1~3星英雄、4星英雄。<line> ※每日可进行3次免费招募。</font><font color="#8a4c0fff" size="24"><line><line>『奢华的招募』</font><font color="#8a4c0fff" size="20"><line> ※可通过消耗钻石、奢华招募道具或爱心进行招募。<line> ※每次招募可获得朗姆酒和5星英雄碎片，随机赠送1~3星英雄、4星英雄碎片、4星英雄、5星英雄。<line> ※每招募10次必定赠送1名4星英雄。<line> ※每48小时可进行1次免费招募。</font><font color="#8a4c0fff" size="24"><line><line>『限时招募』</font><font color="#8a4c0fff" size="20"><line> ※每隔6小时，酒馆都将迎来新的限时英雄。<line> ※可消耗钻石立即刷新限时英雄。<line> ※可消耗朗姆酒直接获得限时英雄。<line> ※传说曾有强大的远古英雄来到这里。</font>
16	秘境矿洞说明	<font color="#8a4c0fff" size="24"><line>『玩法规则』</font><font color="#8a4c0fff" size="20"><line> ※每日5点玩法重置。<line> ※每日可进行27次探索。<line> ※每次探索均可获得一枚食物硬币置入九宫格。<line> ※每9枚硬币可填充1个完整的九宫格，获取玩法积分。<line> ※通过点击重置硬币，组合出特定的排序，可获得高额的玩法积分。<line> ※每日玩法积分达到900分可领取每日积分宝箱。<line> ※每周累计玩法积分可激活周成就领取丰厚奖励。</font><font color="#8a4c0fff" size="24"><line><line>『奇遇事件』</font><font color="#8a4c0fff" size="20"><line> ※玩家在探索过程中有几率触发奇遇。<line> ※神秘宝藏：直接获得少量觉醒石。<line> ※商人：商人将为您将来带超值的折扣道具。</font>
38	军团领地说明	<font color="#8a4c0fff" size="24"><line>『基础规则』</font><font color="#8a4c0fff" size="20"><line> ※每移动1格消耗2点行动力。<line> ※与玩家战斗后将根据战损情况消耗耐力值，耐力值耗尽将回到军团城。<line> ※访问2个石碑后可通过军团城左侧的传送门前往其他领地进行掠夺。<line> ※领地内共4个资源点，每被敌人掠夺1次降低3%产量。<line> ※领地玩法每周一5:00重置（包括领地内获得的特殊道具）。</font><font color="#8a4c0fff" size="24"><line><line>『领地BOSS规则』</font><font color="#8a4c0fff" size="20"><line> ※每日18:45~21:00期间均可挑战领地BOSS。<line> ※每个BOSS首次挑战免费，可组织军团成员抢夺敌方BOSS伤害归属。<line> ※系统将于21:15发放军团归属奖励与个人伤害排名奖励。</font>
