关键字	中文
Id	Text
String	String
ROLE_TITLE_TX1	当前：
ROLE_TITLE_TX2	提升至
ROLE_TITLE_SKILL	技能
ROLE_TITLE_TALENT	天赋
STR_TUPOINFO	注：提升英雄突破等级可激活天赋
STR_SKILLINFO	注：天命提升技能等级
ROLE_TAB_TEXT_1	装备
ROLE_TAB_TEXT_2	缘分
ROLE_TAB_TEXT_3	突破
ROLE_TAB_TEXT_4	部队
ROLE_TAB_TEXT_5	天命
ROLE_TAB_TEXT_6	头衔
ROLE_TAB_TEXT_7	等级
ROLE_TAB_TEXT_8	%s%d段
ROLE_TAB_TEXT_9	英雄被授予头衔：
ROLE_TAB_TEXT_10	装备套装
ROLE_STR_ATT1	攻击
ROLE_STR_ATT2	生命
ROLE_STR_ATT3	护甲
ROLE_STR_ATT4	技防
ROLE_STR_ATTR_DEFENSE	防御
ROLE_SOLIDER_SUIT	【%d件：%s+%d】
ROLE_SOLIDER_TEXT	兵种提升
ROLE_SOLIDER_JIE	%d阶%d星
ROLE_SOLIDER_INFO	(小兵继承英雄全部属性)
ROLE_SOLIDER_INFO3	升 星
ROLE_SOLIDER_INFO4	一键装备
ROLE_SOLIDER_INFO5	升星成功
ROLE_SOLIDER_INFO6	升阶成功
ROLE_SOLIDER_INFO7	穿戴成功
ROLE_SOLIDER_INFO8	无可穿戴装备
ROLE_SOLIDER_INFO9	材料不足
ROLE_SOLIDER_INF10	阶
ROLE_SOLIDER_INF11	当前兵
ROLE_SOLIDER_INF12	部队%d阶解锁
ROLE_TM_TITLE	天命+%d
ROLE_TM_ADD_STR	增加
ROLE_TM_INFO	技能提升
ROLE_TM_INFO1	消耗：
ROLE_TM_INFO2	提升概率：
ROLE_TM_INFO3	天命值
ROLE_TM_INFO4	材料不足
ROLE_TM_LVUP_FAIL	升级异常
ROLE_TM_MAX_LEVEL	已提升至最大等级
LIMIT_MAT_OUT_OF_TIME	限时道具已过期
ROLE_TM_PROBABILITY1	极低
ROLE_TM_PROBABILITY2	较低
ROLE_TM_PROBABILITY3	中
ROLE_TM_PROBABILITY4	较高
ROLE_TM_PROBABILITY5	极高
ROLE_TF_TITLE	天赋详情
ROLE_TF_INFO	注:突破解锁天赋
ROLE_TUPO_TITLE	突破+%d
ROLE_TUPO_INFO	解锁天赋
ROLE_TUPO_INFO1	需要%d级
ROLE_TUPO_INFO2	突  破
ROLE_TUPO_INFO3	一键突破
ROLE_TUPO_INFO4	已解锁全部天赋
ROLE_TUPO_INFO5	选择突破次数：
ROLE_TUPO_INFO6	消耗以下材料，
ROLE_TUPO_INFO7	突破至+%d
ROLE_RISESTAR_TITLE	%s%d星
ROLE_RISESTAR_INFO	激活觉醒属性：
ROLE_RISESTAR_INFO1	头衔可激活部位觉醒属性
ROLE_RISESTAR_INFO2	等级达到Lv.%d
ROLE_RISESTAR_INFO3	突破至+%d
ROLE_RISESTAR_INFO4	部队%d阶
ROLE_RISESTAR_INFO5	进阶
ROLE_RISESTAR_INFO6	前往
ROLE_RISESTAR_INFO7	晋级
ROLE_RISESTAR_INFO8	一键晋级
ROLE_RISESTAR_INFO9	未达到晋级条件
ROLE_RISESTAR_INF10	选择晋级次数
ROLE_RISESTAR_INFO11	头衔晋级
ROLE_RISESTAR_INFO12	晋级条件：
ROLE_RISESTAR_INFO13	晋级所需%s不足
ROLE_RISESTAR_INFO14	%d阶
SKILLUPGRADE_DESC_1	英雄全属性提升
ROLE_LV_TITLE	升级所需经验
ROLE_LV_DESC	升级所需经验：
ROLE_LV_DESC1	升 级
ROLE_LV_DESC2	升5级
ROLE_LV_DESC3	长按可连续使用经验药水
ROLE_LV_DESC4	已满级
ROLE_LV_DESC5	等级不能超过领主
ROLE_LV_DESC6	当前经验药水数量无法使%s提升一级
ROLE_LVUP_FAIL	升级异常
ROLE_EQUIP_TIP1	装备
ROLE_EQUIP_TIP2	部位
ROLE_EQUIP_SELECT_TITLE	装备穿戴
ROLE_EQUIP_SELECT_TITLE1	装备更换
ROLE_EQUIP_SELECT_INFO1	暂无可穿戴装备
ROLE_EQUIP_SUIT_INFO	暂无穿戴装备
ROLE_EQUIP_SUIT_LOSE	失去
ROLE_EQUIP_SUIT_GET	激活
ROLE_EQUIP_SUIT_NUM	件：
ROLE_MASTER_TITLE1	觉醒大师
ROLE_MASTER_TITLE2	镶嵌大师
ROLE_MASTER_INFO1	%s个部位觉醒至%d星(%s)
ROLE_MASTER_INFO2	每个部位镶嵌%d颗%d级宝石(%s)
ROLE_SUIT_INFO1	%d件
ROLE_EQUIPREBUILD_TITLE	装备改造
ROLE_EQUIPREBUILD_INFO1	全身强化%d级
ROLE_EQUIPREBUILD_INFO2	全身精炼+%d
ROLE_EQUIPREBUILD_INFO3	可强化至%d级
ROLE_EQUIPREBUILD_INFO4	领主每提升1级强化上限+%d
ROLE_EQUIPREBUILD_INFO5	最高精炼至+%d
ROLE_EQUIPREBUILD_INFO6	强化等级已达上限
ROLE_EQUIPREBUILD_INFO7	精炼等级已达上限
ROLE_EQUIPREBUILD_INFO8	一键强化
ROLE_EQUIPREBUILD_INFO9	一键精炼
ROLE_EQUIPREBUILD_INF10	本次强化结果预览：
ROLE_EQUIPREBUILD_INF11	本次精炼结果预览：
ROLE_EQUIPREBUILD_INF12	需要消耗材料：
ROLE_EQUIPREBUILD_INF13	强化成功
ROLE_EQUIPREBUILD_INF14	精炼成功
ROLE_EQUIP_ATTRIBUTE	装备属性
ROLE_EQUIPREBUILD_BTNTX1	强化5级
ROLE_EQUIPREBUILD_BTNTX2	精炼5阶
ROLE_EQUIPREBUILD_WINDOW_TITLE_1	装备强化
ROLE_EQUIPREBUILD_WINDOW_TITLE_2	装备精炼
ROLE_GEM_CONFIRM_TITLE	宝石详情
ROLE_GEM_CONFIRM_TITLE1	宝石升级
ROLE_GEM_CONFIRM_INFO1	一键晋级
ROLE_GEM_CONFIRM_INFO2	卸下
ROLE_GEM_CONFIRM_INFO3	升级
ROLE_GEM_CONFIRM_INFO4	更换
ROLE_GEM_CONFIRM_INFO5	消耗背包内宝石
ROLE_GEM_CONFIRM_INFO6	可合成数量：
ROLE_GEM_CONFIRM_INFO7	3颗低级可合成1颗高级
ROLE_GEM_CONFIRM_INFO8	选择合成数量：
ROLE_GEM_CONFIRM_INFO9	消耗背包内宝石：
ROLE_GEM_CONFIRM_INFO10	分解产物：
ROLE_GEM_CONFIRM_INFO11	分解操作无法逆转
ROLE_DESTINY_TITLE	宝物缘分
ROLE_DESTINY_TITLE1	上阵羁绊
ROLE_DESTINY_TITLE2	图鉴缘分
ROLE_DESTINY_INFO1	获取指定宝物激活属性
