类型	组内序号	文本标题	文本内容
type	id	title	content
Int	Int2	String	String
1	1	總覽	冒險的地圖分為普通、精英、困難、噩夢和地獄五個難度，每個難度下包含多個關卡，不同難度的關卡均有特色掉落。
1	2	解鎖區域	當一個區域的關卡全部通過後，可解鎖下一個新的區域供您探索。
1	3	關卡事件	冒險過程中，當您通關某些特定關卡時，將會觸發意想不到的有趣事件。
1	4	關卡掉落	您可以在關卡詳情中查閱當前關卡可能掉落的物品，成功通過關卡時，您將有機會獲得該關卡掉落的道具。
2	1	戰前佈陣	通常站在前排的英雄比後排的英雄更容易遭受攻擊，合理考慮不同兵種英雄的站位，才能讓每位英雄的能力得到充分發揮。
2	2	勝負判定	進攻發起方需要在限定時間內擊殺敵方所有單位才能獲得戰鬥勝利，超過限定時間將判定為進攻發起方戰敗。
2	3	攻擊	攻擊越高，進行攻擊時對敵人造成的傷害越高。
2	4	護甲	護甲越高，遭到敵人普通攻擊時受到的傷害越低。
2	5	技防	技防越高，遭到敵人技能攻擊時受到的傷害越低。
2	6	生命	生命越多，在戰鬥中存活時間越長。
2	7	命中機率	提升普通攻擊命中敵方的機率。
2	8	閃避機率	提升躲避敵方普通攻擊的機率。
2	9	暴擊機率	提升普通攻擊對敵方造成暴擊傷害的機率。
2	10	抗暴機率	降低受到敵方普通攻擊時被暴擊的機率。
2	11	暴擊傷害	提升觸發暴擊時對目標造成的暴擊傷害。
2	12	暴擊減傷	降低受到來自敵方暴擊傷害時受到的暴擊傷害。
2	13	護甲穿透	提升護甲穿透可在戰鬥中忽視敵方一定護甲。
2	14	技防穿透	提升技防穿透可在戰鬥中忽視敵方一定技防。
2	15	負面抗性	降低受到負面效果的生效概率和持續時間。
2	16	治療加成	提升受到治療的效果。
2	17	初始怒氣	提升開始時英雄的初始怒氣值。
2	18	移動速度	提升單位的機動能力。
2	19	攻擊速度	提升每次普通攻擊的時間間隔。
2	20	技能暴擊率	提升技能觸發暴擊的機率。
2	21	怒氣回復速度	提升單位時間內英雄怒氣回復的速度。
2	22	傷害加成	提升對敵方造成的傷害。
2	23	傷害減免	降低來自敵方的傷害。
2	24	技能傷害加成	提升技能對敵方造成的傷害。
2	25	技能傷害減免	降低來自敵方的技能傷害。
2	26	PvP傷害加成	與玩家戰鬥時，提升對敵方造成的傷害。
2	27	PvP傷害減免	與玩家戰鬥時，降低來自敵方的傷害。
3	1	戰鬥掉落	在冒險關卡、村莊爭奪及特定活動中有概率獲得英雄碎片。
3	2	商店購買	通過在英雄商店消耗一定資源獲取英雄碎片。
3	3	酒館招募	在酒館中通過使用愛心、號角、金幣、鑽石和朗姆酒等道具進行招募可快速獲取新的英雄以及英雄碎片。
4	1	英雄升級	通過消耗經驗藥水和金幣來提升英雄的等級。
4	2	英雄突破	當英雄達到指定等級時，可通過消耗一定量的突破石來提升英雄的品階。
4	3	英雄部隊	當解鎖精英關卡後，可對英雄部隊進行升級，率領部隊征戰天下。
4	4	英雄天命	當英雄達到指定等級時，可通過消耗一定量的天命石提升英雄的天命等級和技能等級。
4	5	穿戴裝備	給英雄穿戴裝備來提升英雄的戰鬥力，裝備的等級和品質越高，給英雄增加的戰鬥力越多。
4	6	部位覺醒	覺醒英雄部位，獲得奇異的能力。
4	7	鑲嵌和升級寶石	通過鑲嵌寶石，能提高英雄的戰鬥力，升級寶石可以提高寶石的屬性，使英雄戰鬥力更高。
5	1	裝備品質	裝備分為普通、傑出、稀有、史詩、神話、遠古、創世七種品質，裝備品質越高，對英雄的加成也越高。
5	2	裝備強化	可消耗同星級裝備進行強化，強化後裝備星級提升、屬性提升，不同品質裝備最高星級不同。
5	3	裝備精煉	裝備品質越高，裝備精煉等級上限越高。精煉裝備需要消耗精煉石。
6	1	獲得巨龍	通關特定關卡時，會獲得巨龍的加入，巨龍可在戰鬥中起到決定性的作用。
6	2	龍晶獲得和鑲嵌	通過每天參與龍晶礦洞，獲得一定數量龍晶，低級龍晶可以通過合成升級為高級龍晶。龍晶可鑲嵌在巨龍身上，提高巨龍戰鬥力。
6	3	巨龍升級	巨龍身上鑲嵌的龍晶達到特定等級後，可提升巨龍等階，巨龍升階後能力將獲得大幅提升。
