Key	文本内容
key	text
String	String
text_nil	暫無
text_rollNoticeHtmStr_1	<font color="#ffffffff" size="20">恭喜領主</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">在酒館中招募到英雄</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">，實力大幅提升！</font>
text_rollNoticeHtmStr_2	<font color="#ffffffff" size="20">恭喜領主</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">合成英雄</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">，實力大幅提升！</font>
text_rollNoticeHtmStr_3	<font color="#ffffffff" size="20">恭喜</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">擊敗了</font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20">，登基成為國王！</font>
text_rollNoticeHtmStr_4	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">擊敗了</font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20">成為</font><font color="#ff3300ff" size="20">競技場霸主</font><font color="#ffffffff" size="20">，所向披靡，千古流芳</font>
text_rollNoticeHtmStr_5	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">擊敗了</font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20">成為競技場第</font><font color="#ff3300ff" size="20"><s3></font><font color="#ffffffff" size="20">名，名字已響徹大陸！</font>
text_rollNoticeHtmStr_6	<font color="#ffffffff" size="20">恭喜</font><font color="#ff3300ff" size="20"><s1></font><font color="#ffffffff" size="20">服</font><font color="#ffcc00ff" size="20"><s2></font><font color="#ffffffff" size="20">在王者之戰中奪冠，稱霸大陸，舉世無敵！</font>
text_rollNoticeHtmStr_7	<font color="#ffffffff" size="20">恭喜</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">使用朗姆酒兌換出5星英雄</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">。</font>
