索引	音效	内容
id	soundRes	text
String	String	String
GUIDE_STR_1	0	讓我們來擊敗掠奪者吧！
GUIDE_STR_2	0	噢，我早說過，帶女人上船會遭來厄運
GUIDE_STR_3	0	我們好像已經來到了先知口中的神土
GUIDE_STR_4	0	請殿下指揮清點戰船，我等前去探路
GUIDE_STR_5	0	點擊打開英雄介面
GUIDE_STR_6	0	讓英雄上陣一起戰鬥吧
GUIDE_STR_7	0	嘔~討厭濕漉漉的觸手！
GUIDE_STR_8	0	為英雄穿戴裝備
GUIDE_STR_9	0	推薦裝備是當前最好的！
GUIDE_STR_10	0	點擊這裡可查看克制關係哦！
GUIDE_STR_11	0	左右滑動查看其它兵種
GUIDE_STR_12	0	戰鬥時兵種克制更容易取勝！
GUIDE_STR_13	0	騎兵會繞後，攻擊後方英雄
GUIDE_STR_14	0	點擊嘆號查看敵將信息
GUIDE_STR_15	0	點擊查看英雄評級
GUIDE_STR_16	0	點擊按鈕提升領主品質
GUIDE_STR_17	0	使用經驗藥水，提升同伴等級
GUIDE_STR_18	0	點擊提升英雄等級
GUIDE_STR_19	0	酒館去喝一杯，看看能不能遇到更多夥伴~
GUIDE_STR_20	0	點擊單次招募免費抽取英雄
GUIDE_STR_21	0	殿下，前方便是希望，我們跟它拼了！
GUIDE_STR_22	0	獲得星星印記可使能力得到大幅提升！
GUIDE_STR_23	0	繼續前往搜集印記吧！
GUIDE_STR_24	0	開啟2倍加速，縮短戰鬥時間！
GUIDE_STR_25	0	開啟3倍加速，縮短戰鬥時間！
GUIDE_STR_26	0	哇哦，我感覺身體在燃燒！
GUIDE_STR_27	0	傳說中的英雄都喜歡這裡的美酒~
GUIDE_STR_28	0	這位帥哥是我的，大家都別搶！
GUIDE_STR_29	0	點擊此處可查看夥伴羈絆情況
GUIDE_STR_30	0	搜集英雄可激活圖鑒緣分
GUIDE_STR_31	0	一起來看看主城任務
GUIDE_STR_32	0	點擊領取任務獎勵
GUIDE_STR_33	0	每日完成任務均可獲得爵位經驗和豐厚獎勵
GUIDE_STR_34	0	看看石板中記錄著什麼
GUIDE_STR_35	0	一起來看看巨龍篇
GUIDE_STR_36	0	嘻，火龍就在前方不遠
GUIDE_STR_37	0	巨龍將在戰鬥中起到巨大的作用
GUIDE_STR_38	0	挑戰怪物提升掛機獎勵
GUIDE_STR_39	0	點擊領取掛機收益
GUIDE_STR_40	0	記得常來領取獎勵
GUIDE_STR_41	0	巨龍可為全體英雄提供屬性增幅
GUIDE_STR_42	0	在戰場中可主動操縱巨龍釋放技能
GUIDE_STR_43	0	點擊派遣巨龍上陣
GUIDE_STR_44	0	戰鬥中每秒可獲得2點能量
GUIDE_STR_45	0	能量集齊後可召喚巨龍！
GUIDE_STR_46	0	拖拽可手動釋放
GUIDE_STR_47	0	解救古老的村莊可獲得神書
GUIDE_STR_48	0	每本書都包含驚人的力量
GUIDE_STR_49	0	寶物可為全體英雄來帶屬性加成
GUIDE_STR_50	0	集齊多件寶物可激活主角緣分
GUIDE_STR_51	0	滿足指定條件即可挑戰章魚獲得寶物
GUIDE_STR_52	0	每天都能進行免費祭祀
GUIDE_STR_53	0	開啟寶箱需要消耗鑰匙
GUIDE_STR_54	0	開啟王者寶箱則需要傳說中的王者鑰匙
GUIDE_STR_55	0	探險可獲得更多的寶箱和鑰匙
GUIDE_STR_56	0	長按骰子進行移動
GUIDE_STR_57	0	收集齊4枚碎片即可獲得王者寶箱
GUIDE_STR_58	0	我們開始了一次偉大的冒險
GUIDE_STR_59	0	去尋找一片神奇的土地
GUIDE_STR_60	0	我們受到了暴風雨的襲擊
GUIDE_STR_61	0	脫離了船隊，駛入了神秘海域
GUIDE_STR_62	0	我們在陌生海域遭遇了巨型章魚
GUIDE_STR_63	0	當我們以為已經一無所有的時候
GUIDE_STR_64	0	抵達了一片神奇的土地
GUIDE_STR_65	0	神龍的出現，誕生了不同的信仰
GUIDE_STR_66	0	人們為了彼此之間的信仰而戰火不斷
GUIDE_STR_67	0	傳說中，若能得到全部神龍的力量
GUIDE_STR_68	0	便可平息戰火，稱霸世界
GUIDE_STR_69	0	點擊查看解鎖詳情
GUIDE_STR_71	0	讓我們快來看看英雄的天賦吧
GUIDE_STR_72	0	開啟英雄突破可大幅提升英雄戰力
GUIDE_STR_73	0	領主可點擊強化按鈕進行裝備強化
GUIDE_STR_74	0	消耗金幣可強化當前裝備
GUIDE_STR_75	0	龍晶礦洞中儲藏著大量龍晶，這裡是挖掘起點
GUIDE_STR_76	0	高亮的礦格可以被挖掘，每次消耗1個礦鎬
GUIDE_STR_77	0	這裡是寶藏，可獲得龍晶和豐厚獎勵
GUIDE_STR_78	0	拯救它，他會幫助你
GUIDE_STR_79	0	挖掘全部寶藏可獲取終極寶箱，一起來看看
GUIDE_STR_80	0	點擊進入英雄等級介面
GUIDE_STR_81	0	使用龍晶可提升技能強度並解鎖技能天賦
GUIDE_STR_82	0	讓我們快來看看龍晶的獲取途徑
GUIDE_STR_83	0	讓我們來鑲嵌龍晶提升巨龍技能
GUIDE_STR_84	0	快來選擇所需鑲嵌的龍晶
GUIDE_STR_85	0	點擊進化按鈕升級巨龍技能
GUIDE_STR_86	0	可在此處查看已擁有的全部龍晶
GUIDE_STR_87	0	可將選中的低級龍晶合成為高級龍晶
GUIDE_STR_88	0	也可以選擇龍晶進行轉換
GUIDE_STR_89	0	轉換龍晶有概率產出同級發光龍晶
GUIDE_STR_90	0	這裡會展示您的當前官職與稅收
GUIDE_STR_91	0	點擊挑戰更高官職
GUIDE_STR_92	0	獲得該官職可獲取更高的稅收與薪資
GUIDE_STR_93	0	每解鎖一個村莊都將開啟該村莊的地塊爭奪
GUIDE_STR_94	0	戰隊隊長可奪取村莊獎勵
GUIDE_STR_95	0	同時也可單人前往地塊爭奪，獲取英雄碎片
GUIDE_STR_96	0	快來爭奪地塊獲取豐富獎勵吧
GUIDE_STR_97	0	 這裡有新的挑戰等著你
GUIDE_STR_98	0	這裡將掉落神之魂晶
GUIDE_STR_99	0	挑戰噩夢關卡需要消耗高級體力
