编号	类型	描述
id	type	str
Int	String	String
1	軍團戰說明	<font color="#8a4c0fff" size="24"><line>『賽程簡介』</font><font color="#8a4c0fff" size="20"><line> ※軍團戰每周進行2輪戰鬥。<line> ※第一輪備戰階段：周一18:30~周二20:30<line> ※第一輪戰鬥階段：周二20:30~周三20:30<line> ※第二輪備戰階段：周四18:30~周五20:30<line> ※第二輪戰鬥階段：周五20:30~周六20:30<line> ※每輪戰鬥階段結束後即進入休戰階段，等待下一輪軍團戰開啟。<line> ※軍團戰為跨服玩法，在休戰階段根據軍團段位匹配對手。</font><font color="#8a4c0fff" size="24"><line><line>『參戰條件』</font><font color="#8a4c0fff" size="20"><line> ※軍團等級≥1<line> ※軍團人數≥10<line> ※進入備戰階段時，滿足參戰條件的軍團可參與本輪軍團戰。<line> ※進入備戰階段後，加入軍團的成員不可參加本輪軍團戰。</font><font color="#8a4c0fff" size="24"><line><line>『備戰階段』</font><font color="#8a4c0fff" size="20"><line> ※團長、副團長可點擊城池部署己方防禦陣型。<line> ※每位軍團成員最多可被部署駐防2次（不可在相同城池）。<line> ※每個城池均有隱蔽中的駐防位，隱蔽駐防位在遭到攻擊前不會暴露。<line> ※每位軍團成員可在備戰階段自由選擇城池進行修築。<line> ※備戰階段可使用魔法卡提升城池修築速度。</font><font color="#8a4c0fff" size="24"><line><line>『戰鬥階段』</font><font color="#8a4c0fff" size="20"><line> ※在戰鬥階段中，每位軍團成員有4次攻擊次數。<line> ※城池守軍人數為1時，城池著火，可以繞過城池通行。<line> ※城池守軍人數為0時，城池淪陷，點擊城池可領取攻陷獎勵。</font><font color="#8a4c0fff" size="24"><line><line>『勝負判定』</font><font color="#8a4c0fff" size="20"><line> ※在戰鬥階段中，攻陷敵方城池可獲得己方軍團戰積分增長。<line> ※若戰鬥階段結束時，雙方軍團戰積分相同，則軍團總戰力高的一方獲勝。</font><font color="#8a4c0fff" size="24"><line><line>『獎勵獲取途徑』</font><font color="#8a4c0fff" size="20"><line> ※備戰階段參與修築己方城池。<line> ※戰鬥階段向敵方單位發起進攻。<line> ※戰鬥階段攻陷敵方城池。<line> ※戰鬥結束後，依據軍團段位和勝負情況發放本輪軍團戰結算獎勵。</font>
2	王城爭霸說明	<font color="#8a4c0fff" size="24"><line>『爭奪規則』</font><font color="#8a4c0fff" size="20"><line> ※玩家每日有3次免費發起爵位挑戰的機會。<line> ※最高可向比自身高1級爵位的玩家發起挑戰。<line> ※若挑戰勝利，將與被挑戰目標爵位互換。<line> ※若挑戰失敗，則雙方爵位不發生變化。</font><font color="#8a4c0fff" size="24"><line><line>『獎勵規則』</font><font color="#8a4c0fff" size="20"><line> ※每個爵位均有爵位稅收和爵位薪資。<line> ※每日12:00至21:00期間每小時根據玩家所處爵位累積1次爵位稅收。<line> ※每日22:00根據玩家當前所處的爵位發放爵位薪資和今日累積的爵位稅收至玩家郵箱。</font>
5	王者之戰說明	<font color="#8a4c0fff" size="24">『賽事周期』</font><font color="#8a4c0fff" size="20"><line> ※積分賽：周一17:30~周四17:30<line> ※晉級16強賽：周四 18:00~19:00<line> ※晉級8強賽：周五 18:00~19:00<line> ※晉級4強賽：周五 19:30~20:30<line> ※半決賽：周六 18:00~19:00<line> ※決賽：周六 19:30~20:30</font><font color="#8a4c0fff" size="24"><line><line>『積分賽規則』</font><font color="#8a4c0fff" size="20"><line> ※積分賽期間，每日均可免費向對手發起10次挑戰。<line> ※玩家可點擊刷新按鈕更換匹配到的對手。<line> ※戰勝積分比自己高的玩家可獲得更多的積分，擊敗積分比自己低的玩家只能獲得少量的積分。<line> ※積分賽結束時，將根據積分排名發放獎勵至參賽者郵箱，積分排名前32的玩家將獲得晉級賽參賽資格。</font><font color="#8a4c0fff" size="24"><line><line>『晉級賽規則』</font><font color="#8a4c0fff" size="20"><line> ※晉級賽共5輪，參賽者兩兩對戰進行淘汰，直到決賽結束。<line> ※每輪比賽分為佈陣階段和戰鬥階段。<line> ※未能進入晉級賽的玩家可在每輪比賽開始前對1名參賽者進行支持。<line> ※進入晉級賽的玩家可在佈陣階段進行賽前進行陣容調整，沒有佈陣玩家則使用之前的陣容進行比賽。<line> ※晉級賽結束時，將根據賽果發放終極獎勵至參賽者郵箱。</font><font color="#8a4c0fff" size="24"><line><line>『膜拜規則』</font><font color="#8a4c0fff" size="20"><line> ※玩家每日可對崇拜的大佬進行1次膜拜。</font>
8	龍晶礦洞說明	<font color="#8a4c0fff" size="24"><line>『玩法規則』</font><font color="#8a4c0fff" size="20"><line> ※每日5點重置礦區。<line> ※需要從起點開始挖礦，只能挖開相鄰的土壤。<line> ※挖開土壤需要消耗1個礦鋤，金剛石無法被挖掘。<line> ※拖動炸藥至空地可直接炸開一橫排土壤。<line> ※拖動雷管至空地可直接炸開一豎列土壤。 </font><font color="#8a4c0fff" size="24"><line><line>『礦區寶藏』</font><font color="#8a4c0fff" size="20"><line> ※礦區中存在10個寶藏。<line> ※挖光所有寶藏可打開終極寶箱，獲得極品道具。<line> ※挖開寶藏可能發現：龍晶礦、寶藏守護者、秘寶。<line> ※龍晶礦：點擊直接獲得龍晶碎片。<line> ※寶藏守護者：擊敗守護者可能掉落整個龍晶。<line> ※秘寶：每個秘寶最多可開啟3次，有機率獲取高級龍晶。</font>
10	勇者之塔說明	<font color="#8a4c0fff" size="24"><line>『玩法規則』</font><font color="#8a4c0fff" size="20"><line> ※每層固定獎勵符文精華、金幣。<line> ※每隔5層有1個符文隨機寶箱，每次挑戰均可領取。<line> ※挑戰本層成功後，即可進入下一層挑戰。</font><font color="#8a4c0fff" size="24"><line><line>『重置樓層』</font><font color="#8a4c0fff" size="20"><line> ※每日最多可進行3次挑戰樓層重置。<line> ※每次重置將回到1層。<line> ※每次重置後，可選擇自動掃蕩至歷史最高層獲得豐厚獎勵。 </font>
15	酒館招募	<font color="#8a4c0fff" size="24"><line>『平凡的招募』</font><font color="#8a4c0fff" size="20"><line> ※可通過消耗金幣或平凡招募道具進行招募。<line> ※每日消耗金幣進行招募有次數上限。<line> ※每次招募可獲得朗姆酒和4星英雄碎片，隨機贈送經驗藥水、1~3星英雄碎片、1~3星英雄、4星英雄。<line> ※每日可進行3次免費招募。</font><font color="#8a4c0fff" size="24"><line><line>『奢華的招募』</font><font color="#8a4c0fff" size="20"><line> ※可通過消耗鑽石、奢華招募道具或愛心進行招募。<line> ※每次招募可獲得朗姆酒和5星英雄碎片，隨機贈送1~3星英雄、4星英雄碎片、4星英雄、5星英雄。<line> ※每招募10次必定贈送1名4星英雄。<line> ※每48小時可進行1次免費招募。</font><font color="#8a4c0fff" size="24"><line><line>『限時招募』</font><font color="#8a4c0fff" size="20"><line> ※每隔6小時，酒館都將迎來新的限時英雄。<line> ※可消耗鑽石立即刷新限時英雄。<line> ※可消耗朗姆酒直接獲得限時英雄。<line> ※傳說曾有強大的遠古英雄來到這裡。</font>
16	秘境礦洞說明	<font color="#8a4c0fff" size="24"><line>『玩法規則』</font><font color="#8a4c0fff" size="20"><line> ※每日5點玩法重置。<line> ※每日可進行27次探索。<line> ※每次探索均可獲得一枚食物硬幣置入九宮格。<line> ※每9枚硬幣可填充1個完整的九宮格，獲取玩法積分。<line> ※通過點擊重置硬幣，組合出特定的排序，可獲得高額的玩法積分。<line> ※每日玩法積分達到900分可領取每日積分寶箱。<line> ※每周累計玩法積分可激活周成就領取豐厚獎勵。</font><font color="#8a4c0fff" size="24"><line><line>『奇遇事件』</font><font color="#8a4c0fff" size="20"><line> ※玩家在探索過程中有機率觸發奇遇。<line> ※神秘寶藏：直接獲得少量覺醒石。<line> ※商人：商人將為您將來帶超值的折扣道具。</font>
38	軍團領地說明	<font color="#8a4c0fff" size="24"><line>『基礎規則』</font><font color="#8a4c0fff" size="20"><line> ※每移動1格消耗2點行動力。<line> ※與玩家戰鬥後將根據戰損情況消耗耐力值，耐力值耗盡將回到軍團城。<line> ※訪問2個石碑後可通過軍團城左側的傳送門前往其他領地進行掠奪。<line> ※領地內共4個資源點，每被敵人掠奪1次降低3%產量。<line> ※領地玩法每周一5:00重置（包括領地內獲得的特殊道具）。</font><font color="#8a4c0fff" size="24"><line><line>『領地BOSS規則』</font><font color="#8a4c0fff" size="20"><line> ※每日18:45~21:00期間均可挑戰領地BOSS。<line> ※每個BOSS首次挑戰免費，可組織軍團成員搶奪敵方BOSS傷害歸屬。<line> ※系統將於21:15發放軍團歸屬獎勵與個人傷害排名獎勵。</font>
