关键字	中文
Id	Text
String	String
ROLE_TITLE_TX1	當前：
ROLE_TITLE_TX2	提升至
ROLE_TITLE_SKILL	技能
ROLE_TITLE_TALENT	天賦
STR_TUPOINFO	注：提升英雄突破等級可激活天賦
STR_SKILLINFO	注：天命提升技能等級
ROLE_TAB_TEXT_1	裝備
ROLE_TAB_TEXT_2	緣分
ROLE_TAB_TEXT_3	突破
ROLE_TAB_TEXT_4	部隊
ROLE_TAB_TEXT_5	天命
ROLE_TAB_TEXT_6	頭銜
ROLE_TAB_TEXT_7	等級
ROLE_TAB_TEXT_8	%s%d段
ROLE_TAB_TEXT_9	英雄被授予頭銜：
ROLE_TAB_TEXT_10	裝備套裝
ROLE_STR_ATT1	攻擊
ROLE_STR_ATT2	生命
ROLE_STR_ATT3	護甲
ROLE_STR_ATT4	技防
ROLE_STR_ATTR_DEFENSE	防禦
ROLE_SOLIDER_SUIT	【%d件：%s+%d】
ROLE_SOLIDER_TEXT	兵種提升
ROLE_SOLIDER_JIE	%d階%d星
ROLE_SOLIDER_INFO	(小兵繼承英雄全部屬性)
ROLE_SOLIDER_INFO3	升 星
ROLE_SOLIDER_INFO4	一鍵裝備
ROLE_SOLIDER_INFO5	升星成功
ROLE_SOLIDER_INFO6	升階成功
ROLE_SOLIDER_INFO7	穿戴成功
ROLE_SOLIDER_INFO8	無可穿戴裝備
ROLE_SOLIDER_INFO9	材料不足
ROLE_SOLIDER_INF10	階
ROLE_SOLIDER_INF11	當前兵
ROLE_SOLIDER_INF12	部隊%d階解鎖
ROLE_TM_TITLE	天命+%d
ROLE_TM_ADD_STR	增加
ROLE_TM_INFO	技能提升
ROLE_TM_INFO1	消耗：
ROLE_TM_INFO2	提升概率：
ROLE_TM_INFO3	天命值
ROLE_TM_INFO4	材料不足
ROLE_TM_LVUP_FAIL	升級異常
ROLE_TM_MAX_LEVEL	已提升至最大等級
LIMIT_MAT_OUT_OF_TIME	限時道具已過期
ROLE_TM_PROBABILITY1	極低
ROLE_TM_PROBABILITY2	較低
ROLE_TM_PROBABILITY3	中
ROLE_TM_PROBABILITY4	較高
ROLE_TM_PROBABILITY5	極高
ROLE_TF_TITLE	天賦詳情
ROLE_TF_INFO	注:突破解鎖天賦
ROLE_TUPO_TITLE	突破+%d
ROLE_TUPO_INFO	解鎖天賦
ROLE_TUPO_INFO1	需要%d級
ROLE_TUPO_INFO2	突  破
ROLE_TUPO_INFO3	一鍵突破
ROLE_TUPO_INFO4	已解鎖全部天賦
ROLE_TUPO_INFO5	選擇突破次數：
ROLE_TUPO_INFO6	消耗以下材料，
ROLE_TUPO_INFO7	突破至+%d
ROLE_RISESTAR_TITLE	%s%d星
ROLE_RISESTAR_INFO	激活覺醒屬性：
ROLE_RISESTAR_INFO1	頭銜可激活部位覺醒屬性
ROLE_RISESTAR_INFO2	等級達到Lv.%d
ROLE_RISESTAR_INFO3	突破至+%d
ROLE_RISESTAR_INFO4	部隊%d階
ROLE_RISESTAR_INFO5	進階
ROLE_RISESTAR_INFO6	前往
ROLE_RISESTAR_INFO7	晉級
ROLE_RISESTAR_INFO8	一鍵晉級
ROLE_RISESTAR_INFO9	未達到晉級條件
ROLE_RISESTAR_INF10	選擇晉級次數
ROLE_RISESTAR_INFO11	頭銜晉級
ROLE_RISESTAR_INFO12	晉級條件：
ROLE_RISESTAR_INFO13	晉級所需%s不足
ROLE_RISESTAR_INFO14	%d階
SKILLUPGRADE_DESC_1	英雄全屬性提升
ROLE_LV_TITLE	升級所需經驗
ROLE_LV_DESC	升級所需經驗：
ROLE_LV_DESC1	升 級
ROLE_LV_DESC2	升5級
ROLE_LV_DESC3	長按可連續使用經驗藥水
ROLE_LV_DESC4	已滿級
ROLE_LV_DESC5	等級不能超過領主
ROLE_LV_DESC6	當前經驗藥水數量無法使%s提升一級
ROLE_LVUP_FAIL	升級異常
ROLE_EQUIP_TIP1	裝備
ROLE_EQUIP_TIP2	部位
ROLE_EQUIP_SELECT_TITLE	裝備穿戴
ROLE_EQUIP_SELECT_TITLE1	裝備更換
ROLE_EQUIP_SELECT_INFO1	暫無可穿戴裝備
ROLE_EQUIP_SUIT_INFO	暫無穿戴裝備
ROLE_EQUIP_SUIT_LOSE	失去
ROLE_EQUIP_SUIT_GET	激活
ROLE_EQUIP_SUIT_NUM	件：
ROLE_MASTER_TITLE1	覺醒大師
ROLE_MASTER_TITLE2	鑲嵌大師
ROLE_MASTER_INFO1	%s個部位覺醒至%d星(%s)
ROLE_MASTER_INFO2	每個部位鑲嵌%d顆%d級寶石(%s)
ROLE_SUIT_INFO1	%d件
ROLE_EQUIPREBUILD_TITLE	裝備改造
ROLE_EQUIPREBUILD_INFO1	全身強化%d級
ROLE_EQUIPREBUILD_INFO2	全身精煉+%d
ROLE_EQUIPREBUILD_INFO3	可強化至%d級
ROLE_EQUIPREBUILD_INFO4	領主每提升1級強化上限+%d
ROLE_EQUIPREBUILD_INFO5	最高精煉至+%d
ROLE_EQUIPREBUILD_INFO6	強化等級已達上限
ROLE_EQUIPREBUILD_INFO7	精煉等級已達上限
ROLE_EQUIPREBUILD_INFO8	一鍵強化
ROLE_EQUIPREBUILD_INFO9	一鍵精煉
ROLE_EQUIPREBUILD_INF10	本次強化結果預覽：
ROLE_EQUIPREBUILD_INF11	本次精煉結果預覽：
ROLE_EQUIPREBUILD_INF12	需要消耗材料：
ROLE_EQUIPREBUILD_INF13	強化成功
ROLE_EQUIPREBUILD_INF14	精煉成功
ROLE_EQUIP_ATTRIBUTE	裝備屬性
ROLE_EQUIPREBUILD_BTNTX1	強化5級
ROLE_EQUIPREBUILD_BTNTX2	精煉5階
ROLE_EQUIPREBUILD_WINDOW_TITLE_1	裝備強化
ROLE_EQUIPREBUILD_WINDOW_TITLE_2	裝備精煉
ROLE_GEM_CONFIRM_TITLE	寶石詳情
ROLE_GEM_CONFIRM_TITLE1	寶石升級
ROLE_GEM_CONFIRM_INFO1	一鍵晉級
ROLE_GEM_CONFIRM_INFO2	卸下
ROLE_GEM_CONFIRM_INFO3	升級
ROLE_GEM_CONFIRM_INFO4	更換
ROLE_GEM_CONFIRM_INFO5	消耗背包內寶石
ROLE_GEM_CONFIRM_INFO6	可合成數量：
ROLE_GEM_CONFIRM_INFO7	3顆低級可合成1顆高級
ROLE_GEM_CONFIRM_INFO8	選擇合成數量：
ROLE_GEM_CONFIRM_INFO9	消耗背包內寶石：
ROLE_GEM_CONFIRM_INFO10	分解產物：
ROLE_GEM_CONFIRM_INFO11	分解操作無法逆轉
ROLE_DESTINY_TITLE	寶物緣分
ROLE_DESTINY_TITLE1	上陣羈絆
