变量名	变量值	说明
key	value	desc
String	String	Ignore
legionOpenLevel	1	军团开启等级
legionListLimit	20	军团列表数量限制
legionNameMax	6	军团名长度限制
legionNoticeMax	50	军团公告长度限制
legionIconNum	15	军团图标限制
legionCreateVip	2	军团建立VIP等级限制
legionApplicantLimit	20	军团申请列表长度限制
legionLogLimit	30	军团日志限制条数
memberApplicantLimit	5	个人申请军团数限制
joinTimeLimit	0	离开军团后加入下一军团限制
deputyLimit	2	军团副团长个数限制
adviserLimit	5	军团军师个数限制
activeDayLimit	7	军团成员活跃度保存天数
leigionWishOpenLevel	2	军团许愿开放等级
leigionWishTimes	1	军团许愿可许愿的次数（每周重置）
leigionWishRecordNum	30	军团许愿记录条数
legionBoonOpenLevel	1	军团红包开放等级
legionGoldTreeOpenLevel	1	军团摇钱树开放等级
legionMercenaryOpenLevel	3	军团佣兵开放等级
legionTrialOpenLevel	3	军团试炼开放等级
legionTrialMaxCount	2	军团试炼每天最大次数
boonDropId	2000	红包奖励drop表id
shakeGoldTreeInterval	10	摇摇钱树间隔分钟数
shakeGoldTreeCount	3	每天摇摇钱树最大次数
goldTreeResetInterval	3	摇钱树充值时间间隔小时数
mercenaryTimeGoldInterval	10	佣兵发时间金币奖励时间间隔分钟
legionCopyFightLimit	2	军团副本每日战斗次数
legionCopyFightReward	2000	军团副本攻打军团币奖励
legionCopyPassReward	500	军团副本通关军团币奖励
legionCastleAttackCount	5	军团城池掠夺次数
legionCastleRescueCount	5	军团城池解救次数
legionCopyOpenLevel	1	军团副本开启需求的军团等级
legionDfOpenLevel	2	军团领地开启需求的军团等级
legionWarMinJoinLevel	4	军团战最小参战军团等级
legionWarWinScore	10	军团战胜利得分
legionWarLoseScore	5	军团战失败扣分
legionWarDispatchNum	2	军团战每个玩家可被增派的次数
legionWarAddCityBufNum	3	军团战每个玩家可增筑次数
legionWarMinJoinMembers	20	军团战军团参战最少人数
legionWarShowMinJoinLevel	4	军团战界面显示最小军团等级
legionWarAttackNum	4	军团战每个玩家可攻击次数
legionWarCombatLockTime	30	军团战布阵时间
legionCreateCost	500	创建军团消耗
legionTrialLevel1	1.4	军团试炼难度1系数
legionTrialLevel2	1.5	军团试炼难度2系数
legionTrialLevel3	1.5	军团试炼难度3系数
legionTrialLevel4	1.5	军团试炼难度4系数
legionTrialLevel5	1.5	军团试炼难度5系数
legionWarWinAndLost	1.8	军团战胜负奖励比
legionMercenaryOpenLevelLimit	5	军团每个玩家的等级与佣兵等级差限制
legionKickPlayerCostDonateValue	300	军团踢掉当日活跃用户军团建设值消耗
legionExitTimeLimit	43200	多少秒内无法退出军团
legionLastActiveTime	300	玩家最后活动时间300秒内为在线
legionHeadLeaveTimeLimit	48	军团长离开超过48小时后团员可以弹劾
legionHeadNotOnlineTimeLimit	24	弹劾后军团长24小时内军团长仍未上线，则则弹劾发起人担任军团长
legionHeadSendInvitationTime	600	军团长或副军团长发送邀请冷却时间（秒数）
legionBuild	1	军团建设开放等级
