等级	升级需求军团等级	BOSS阵型池	军团参与奖励	首杀奖励	挑战奖励	最后一击奖励
level	legionLimit	formation	award_join	award_firstkill	award_challenge	award_lastshot
Int	Int	Ints	Award	Award	Award	Award
1	1	2003000	material.101401:1	user.legion:130	user.legion:100	user.bindcash:20
2	1	2003000	material.101402:1	user.legion:160	user.legion:100	user.bindcash:20
3	1	2003000	material.101403:1	user.legion:200	user.legion:100	user.bindcash:20
4	1	2003000	material.101404:1	user.legion:230	user.legion:100	user.bindcash:20
5	2	2003000	material.101405:1	user.legion:270	user.legion:100	user.bindcash:20
6	2	2003000	material.101406:1	user.legion:300	user.legion:100	user.bindcash:20
7	2	2003000	material.101407:1	user.legion:340	user.legion:100	user.bindcash:20
8	2	2003000	material.101408:1	user.legion:380	user.legion:100	user.bindcash:20
9	2	2003000	material.101409:1	user.legion:420	user.legion:100	user.bindcash:20
10	3	2003000	material.101410:1	user.legion:460	user.legion:100	user.bindcash:20
11	3	2003000	material.101411:1	user.legion:500	user.legion:100	user.bindcash:20
12	3	2003000	material.101412:1	user.legion:540	user.legion:100	user.bindcash:20
13	3	2003000	material.101413:1	user.legion:590	user.legion:100	user.bindcash:20
14	3	2003000	material.101414:1	user.legion:630	user.legion:100	user.bindcash:20
15	4	2003000	material.101415:1	user.legion:680	user.legion:100	user.bindcash:20
16	4	2003000	material.101416:1	user.legion:720	user.legion:100	user.bindcash:20
17	4	2003000	material.101417:1	user.legion:770	user.legion:100	user.bindcash:20
18	4	2003000	material.101418:1	user.legion:820	user.legion:100	user.bindcash:20
19	4	2003000	material.101419:1	user.legion:870	user.legion:100	user.bindcash:20
20	5	2003000	material.101420:1	user.legion:920	user.legion:100	user.bindcash:20
21	5	2003000	material.101421:1	user.legion:970	user.legion:100	user.bindcash:20
22	5	2003000	material.101422:1	user.legion:1000	user.legion:100	user.bindcash:20
23	5	2003000	material.101423:1	user.legion:1100	user.legion:100	user.bindcash:20
24	5	2003000	material.101424:1	user.legion:1100	user.legion:100	user.bindcash:20
25	6	2003000	material.101425:1	user.legion:1200	user.legion:100	user.bindcash:20
26	6	2003000	material.101426:1	user.legion:1200	user.legion:100	user.bindcash:20
27	6	2003000	material.101427:1	user.legion:1300	user.legion:100	user.bindcash:20
28	6	2003000	material.101428:1	user.legion:1400	user.legion:100	user.bindcash:20
29	6	2003000	material.101429:1	user.legion:1400	user.legion:100	user.bindcash:20
30	7	2003000	material.101430:1	user.legion:1500	user.legion:100	user.bindcash:20
31	7	2003000	material.101431:1	user.legion:1500	user.legion:100	user.bindcash:20
32	7	2003000	material.101432:1	user.legion:1600	user.legion:100	user.bindcash:20
33	7	2003000	material.101433:1	user.legion:1700	user.legion:100	user.bindcash:20
34	7	2003000	material.101434:1	user.legion:1700	user.legion:100	user.bindcash:20
35	8	2003000	material.101435:1	user.legion:1800	user.legion:100	user.bindcash:20
36	8	2003000	material.101436:1	user.legion:1900	user.legion:100	user.bindcash:20
37	8	2003000	material.101437:1	user.legion:1900	user.legion:100	user.bindcash:20
38	8	2003000	material.101438:1	user.legion:2000	user.legion:100	user.bindcash:20
39	8	2003000	material.101439:1	user.legion:2100	user.legion:100	user.bindcash:20
40	9	2003000	material.101440:1	user.legion:2200	user.legion:100	user.bindcash:20
41	9	2003000	material.101441:1	user.legion:2200	user.legion:100	user.bindcash:20
42	9	2003000	material.101442:1	user.legion:2300	user.legion:100	user.bindcash:20
43	9	2003000	material.101443:1	user.legion:2400	user.legion:100	user.bindcash:20
44	9	2003000	material.101444:1	user.legion:2400	user.legion:100	user.bindcash:20
45	10	2003000	material.101445:1	user.legion:2500	user.legion:100	user.bindcash:20
46	10	2003000	material.101446:1	user.legion:2600	user.legion:100	user.bindcash:20
47	10	2003000	material.101447:1	user.legion:2700	user.legion:100	user.bindcash:20
48	10	2003000	material.101448:1	user.legion:2800	user.legion:100	user.bindcash:20
49	10	2003000	material.101449:1	user.legion:2800	user.legion:100	user.bindcash:20
50	11	2003000	material.101450:1	user.legion:2900	user.legion:100	user.bindcash:20
51	11	2003000	material.101451:1	user.legion:3000	user.legion:100	user.bindcash:20
52	11	2003000	material.101452:1	user.legion:3100	user.legion:100	user.bindcash:20
53	11	2003000	material.101453:1	user.legion:3200	user.legion:100	user.bindcash:20
54	11	2003000	material.101454:1	user.legion:3300	user.legion:100	user.bindcash:20
55	12	2003000	material.101455:1	user.legion:3300	user.legion:100	user.bindcash:20
56	12	2003000	material.101456:1	user.legion:3400	user.legion:100	user.bindcash:20
57	12	2003000	material.101457:1	user.legion:3500	user.legion:100	user.bindcash:20
58	12	2003000	material.101458:1	user.legion:3600	user.legion:100	user.bindcash:20
59	12	2003000	material.101459:1	user.legion:3700	user.legion:100	user.bindcash:20
60	13	2003000	material.101460:1	user.legion:3800	user.legion:100	user.bindcash:20
