建筑ID	建筑等级	需求主城等级	升至本级需求常规建筑等级	升至本级需求建筑等级	升至本级建筑消耗	参数
id	level	condition1	needBuild	needLevel	cost	value
Int1	Int2	Int	Ints	Int	Award	Ints
1	1	1	0	0	user.mine_1:-140,user.mine_2:-140	5
1	2	2	4	1	user.mine_1:-420,user.mine_2:-440	10
1	3	3	4	2	user.mine_1:-850,user.mine_2:-940	15
1	4	4	4	3	user.mine_1:-1720,user.mine_2:-2000	20
1	5	5	4	4	user.mine_1:-2320,user.mine_2:-2820	25
1	6	6	4	5	user.mine_1:-2950,user.mine_2:-3720	30
1	7	7	4	6	user.mine_1:-3580,user.mine_2:-4690	35
1	8	8	4	7	user.mine_1:-4240,user.mine_2:-5750	40
1	9	9	4	8	user.mine_1:-4910,user.mine_2:-6880	45
1	10	10	4	9	user.mine_1:-5590,user.mine_2:-8090	50
2	1	1	0	0	user.mine_1:-140,user.mine_2:-140	-5
2	2	2	4	1	user.mine_1:-420,user.mine_2:-440	-10
2	3	3	4	2	user.mine_1:-850,user.mine_2:-940	-15
2	4	4	4	3	user.mine_1:-1720,user.mine_2:-2000	-20
2	5	5	4	4	user.mine_1:-2320,user.mine_2:-2820	-25
2	6	6	4	5	user.mine_1:-2950,user.mine_2:-3720	-30
2	7	7	4	6	user.mine_1:-3580,user.mine_2:-4690	-35
2	8	8	4	7	user.mine_1:-4240,user.mine_2:-5750	-40
2	9	9	4	8	user.mine_1:-4910,user.mine_2:-6880	-45
2	10	10	4	9	user.mine_1:-5590,user.mine_2:-8090	-50
3	1	1	0	0	user.mine_1:-140,user.mine_2:-140	-5
3	2	2	4	1	user.mine_1:-420,user.mine_2:-440	-10
3	3	3	4	2	user.mine_1:-850,user.mine_2:-940	-15
3	4	4	4	3	user.mine_1:-1720,user.mine_2:-2000	-20
3	5	5	4	4	user.mine_1:-2320,user.mine_2:-2820	-25
3	6	6	4	5	user.mine_1:-2950,user.mine_2:-3720	-30
3	7	7	4	6	user.mine_1:-3580,user.mine_2:-4690	-35
3	8	8	4	7	user.mine_1:-4240,user.mine_2:-5750	-40
3	9	9	4	8	user.mine_1:-4910,user.mine_2:-6880	-45
3	10	10	4	9	user.mine_1:-5590,user.mine_2:-8090	-50
4	1	1	1|2|3	1	user.mine_1:-270,user.mine_2:-270	12|6
4	2	2	1|2|3	2	user.mine_1:-830,user.mine_2:-880	10|8
4	3	3	1|2|3	3	user.mine_1:-1690,user.mine_2:-1880	8|9
4	4	4	1|2|3	4	user.mine_1:-3440,user.mine_2:-3990	6.6|11
4	5	5	1|2|3	5	user.mine_1:-4650,user.mine_2:-5630	6|12
4	6	6	1|2|3	6	user.mine_1:-5890,user.mine_2:-7430	5.4|14
4	7	7	1|2|3	7	user.mine_1:-7170,user.mine_2:-9380	4.8|15
4	8	8	1|2|3	8	user.mine_1:-8470,user.mine_2:-11490	4|18
4	9	9	1|2|3	9	user.mine_1:-9810,user.mine_2:-13760	3.5|21
4	10	10	1|2|3	10	user.mine_1:-11190,user.mine_2:-16180	3|24
5	1	1	0	0	user.mine_1:-140,user.mine_3:-140	6
5	2	2	8	1	user.mine_1:-420,user.mine_3:-440	7
5	3	3	8	2	user.mine_1:-850,user.mine_3:-940	8
5	4	4	8	3	user.mine_1:-1720,user.mine_3:-2000	9
5	5	5	8	4	user.mine_1:-2320,user.mine_3:-2820	10
5	6	6	8	5	user.mine_1:-2950,user.mine_3:-3720	11
5	7	7	8	6	user.mine_1:-3580,user.mine_3:-4690	12
5	8	8	8	7	user.mine_1:-4240,user.mine_3:-5750	13
5	9	9	8	8	user.mine_1:-4910,user.mine_3:-6880	14
5	10	10	8	9	user.mine_1:-5590,user.mine_3:-8090	15
6	1	1	0	0	user.mine_1:-140,user.mine_3:-140	5
