城池ID	NPC名称	UI缩放	UI偏移x	UI偏移y	eff缩放	eff偏移x	eff偏移y	战斗特效位置	积分	守军	修筑人数上限	暗格数量	攻陷奖励	战胜奖励	战败奖励	增驻等级上限	增驻1级需要经验	增驻2级需要经验	增驻3级需要经验	增驻4级需要经验	增驻5级需要经验	资源路径	名字路径	缩放	BUFF图标	城池增筑效果类型0级	城池增筑效果类型1级	城池增筑效果类型2级	城池增筑效果类型3级	城池增筑效果类型4级	城池增筑效果类型5级	城池增筑值0级	城池增筑值1级	城池增筑值2级	城池增筑值3级	城池增筑值4级	城池增筑值5级
id	name	ui_scale	ui_x	ui_y	eff_scale	eff_x	eff_y	fight_y	score	arm	peopleNumLimit	darkArm	award	award1	award2	maxBufLevel	buf1Xp	buf2Xp	buf3Xp	buf4Xp	buf5Xp	urlb	urlr	scale	buffIcon	atts0	atts1	atts2	atts3	atts4	atts5	value0	value1	value2	value3	value4	value5
Int	String	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Award	Award	Award	Int	Int	Int	Int	Int	Int	String	String	Int	Strings	Ints	Ints	Ints	Ints	Ints	Ints	Ints	Ints	Ints	Ints	Ints	Ints
1	text_legionWar_buildName1	1	0	0	1	0	0	0	12	8	8	4	user.legionwar:240,material.100002:1	user.legionwar:100	user.legionwar:60	5	4300	5700	7100	8600	10000	city_b_7.png	city_r_7.png	1	soldier2_2|soldier1_1|skill_zhujue_02|soldier1_2|skill_judunshouwei_02|soldier1_3	11|12|1|2|3|4	11|12|1|2|3|4	11|12|1|2|3|4	11|12|1|2|3|4	11|12|1|2|3|4	11|12|1|2|3|4	0|0|0|0|0|0	800|800|3|3|3|5	1700|1700|6|6|6|10	2900|2900|12|12|12|20	4400|4400|18|18|18|30	6000|6000|24|24|24|40
2	text_legionWar_buildName2	1	0	0	1	0	0	0	8	6	7	3	user.legionwar:120,user.bindcash:20	user.legionwar:100	user.legionwar:60	5	3700	4900	6100	7300	8500	city_b_6.png	city_r_6.png	1	soldier2_2|soldier1_1|skill_zhujue_02|soldier2_1	11|12|1|22	11|12|1|22	11|12|1|22	11|12|1|22	11|12|1|22	11|12|1|22	0|0|0|0	700|700|3|300	1500|1500|6|600	2500|2500|12|1200	3700|3700|18|1800	5200|5200|24|2400
3	text_legionWar_buildName3	1	0	0	1	0	0	0	8	6	7	3	user.legionwar:120,user.bindcash:20	user.legionwar:100	user.legionwar:60	5	3700	4900	6100	7300	8500	city_b_6.png	city_r_6.png	1	soldier2_2|soldier1_1|skill_zhujue_02|soldier2_1	11|12|1|22	11|12|1|22	11|12|1|22	11|12|1|22	11|12|1|22	11|12|1|22	0|0|0|0	700|700|3|300	1500|1500|6|600	2500|2500|12|1200	3700|3700|18|1800	5200|5200|24|2400
4	text_legionWar_buildName4	1	0	0	1	0	0	0	4	4	4	1	user.legionwar:40,material.100001:1	user.legionwar:100	user.legionwar:60	5	2400	3200	4000	4800	5600	city_b_2.png	city_r_2.png	1	soldier2_2|soldier1_1|soldier1_3	11|12|4	11|12|4	11|12|4	11|12|4	11|12|4	11|12|4	0|0|0	400|400|3	1000|1000|7	1600|1600|12	2400|2400|18	3400|3400|25
5	text_legionWar_buildName5	1	0	0	1	0	0	0	6	4	6	2	user.legionwar:60,user.bindcash:10	user.legionwar:100	user.legionwar:60	5	3200	4300	5400	6400	7500	city_b_3.png	city_r_3.png	1	soldier2_2|soldier1_1|soldier1_3|skill_meidusha_01	11|12|4|21	11|12|4|21	11|12|4|21	11|12|4|21	11|12|4|21	11|12|4|21	0|0|0|0	600|600|3|200	1300|1300|7|400	2200|2200|12|700	3300|3300|18|1100	4500|4500|25|1500
6	text_legionWar_buildName6	1	0	0	1	0	0	0	4	4	4	1	user.legionwar:40,material.100001:1	user.legionwar:100	user.legionwar:60	5	2400	3200	4000	4800	5600	city_b_2.png	city_r_2.png	1	soldier2_2|soldier1_1|soldier1_3	11|12|4	11|12|4	11|12|4	11|12|4	11|12|4	11|12|4	0|0|0	400|400|3	1000|1000|7	1600|1600|12	2400|2400|18	3400|3400|25
7	text_legionWar_buildName7	1	0	0	1	0	0	0	6	5	5	2	user.legionwar:60,user.sky_book:100	user.legionwar:100	user.legionwar:60	5	2900	3800	4800	5700	6700	city_b_4.png	city_r_4.png	1	soldier2_2|soldier1_1|skill_zhujue_02	11|12|1	11|12|1	11|12|1	11|12|1	11|12|1	11|12|1	0|0|0	500|500|2	1200|1200|4	2000|2000|7	2900|2900|11	4000|4000|15
8	text_legionWar_buildName8	1	0	0	1	0	0	0	6	5	5	2	user.legionwar:60,user.sky_book:100	user.legionwar:100	user.legionwar:60	5	2900	3800	4800	5700	6700	city_b_4.png	city_r_4.png	1	soldier2_2|soldier1_1|skill_zhujue_02	11|12|1	11|12|1	11|12|1	11|12|1	11|12|1	11|12|1	0|0|0	500|500|2	1200|1200|4	2000|2000|7	2900|2900|11	4000|4000|15
