等级	君主升级经验	君至本级后体力回复量	可觉醒部位数	英雄升级消耗	英雄升级消耗返还	搜寻任务刷新消耗钻石	巨龙技能基础攻击（重要）	出战武将数量	战队雕像赏赐掉落ID	领地金币堆	领地经验药水堆	技能槽位数量	训练馆产出经验	金矿产出	训练经验	君主经验（暂时不用）	拥军时间金币奖励	佣兵雇佣金币奖励	小兵技能升级消耗	祭坛奖励倍率1	祭坛奖励倍率2	祭坛奖励倍率3	祭坛奖励倍率4	群雄支持荣誉令牌奖励	皇城争霸挑战奖励	矿镐恢复上限	世界聊天次数上限1	功能开启展示	新手引导标识	我要变强_领主等级	我要变强_觉醒等级
level	exp	lvAwardFood	partAwake	roleUpGradeCost	roleUpGradeReturn	exploreTask	dragonAtk	heroNum	teamStatueAward	dfGold	dfHeroExp	skillNum	trainingExp	mineOutputFactor	trainExp	duplicateXp	mercenaryTimeGold	mercenaryHireGold	soldierskilllevelupcost	altar1	altar2	altar3	altar4	goldAward	positionAward	diggingMax	worldChatCount	moduleopen	guideIndex	sr_playerLv	sr_destinyLv
Int	Int	Int	Int	Award	Award	Int	Int	Int	Int	Award	Award	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Award	Int	Int	Strings	Int	Int	Int
1	240	0	0	user.gold:-140,user.hero_exp:-40	user.gold:0,user.hero_exp:0	10	2000	5	7401	user.gold:740	user.hero_exp:320	1	4000	4	450	18	1	36	90	100	100	100	100	100	user.salary:50	240	0	exploreMonster|altar1|altar4	0	60	1
2	380	0	0	user.gold:-220,user.hero_exp:-60	user.gold:140,user.hero_exp:40	10	2000	5	7401	user.gold:740	user.hero_exp:350	1	4000	4	600	20	1	36	133	100	100	100	100	100	user.salary:50	240	0	exploreMonster|altar1|altar4	0	60	1
3	530	0	0	user.gold:-300,user.hero_exp:-80	user.gold:360,user.hero_exp:100	10	2000	5	7401	user.gold:740	user.hero_exp:370	1	4000	4	750	20	2	72	174	100	100	100	100	100	user.salary:50	240	0	altar1|altar4|legion	0	60	1
4	690	0	0	user.gold:-350,user.hero_exp:-110	user.gold:660,user.hero_exp:180	10	2000	5	7401	user.gold:750	user.hero_exp:400	1	4000	4	910	20	2	72	214	100	100	100	100	100	user.salary:50	240	0	altar1|altar4|legion	0	60	1
5	870	0	0	user.gold:-370,user.hero_exp:-150	user.gold:1010,user.hero_exp:290	10	2000	5	7401	user.gold:750	user.hero_exp:460	2	4000	4	1060	20	3	108	252	100	100	100	100	100	user.salary:50	240	0	altar1|altar4|legion	0	60	1
6	1100	0	0	user.gold:-450,user.hero_exp:-190	user.gold:1380,user.hero_exp:440	10	2000	5	7401	user.gold:750	user.hero_exp:480	2	4000	4	1210	20	3	108	289	100	100	100	100	100	user.salary:50	240	0	altar4|legion|altar2	0	60	1
7	1300	0	0	user.gold:-530,user.hero_exp:-230	user.gold:1830,user.hero_exp:630	10	2000	5	7401	user.gold:750	user.hero_exp:500	2	4000	4	1360	20	4	144	324	100	100	100	100	100	user.salary:50	240	0	altar4|legion|altar2	0	60	1
8	1500	0	0	user.gold:-620,user.hero_exp:-270	user.gold:2360,user.hero_exp:860	10	2000	5	7401	user.gold:760	user.hero_exp:530	2	4000	4	1500	20	4	144	358	100	100	100	100	100	user.salary:50	240	0	altar4|legion|altar2	0	60	1
9	1700	0	0	user.gold:-700,user.hero_exp:-320	user.gold:2980,user.hero_exp:1130	10	2000	5	7401	user.gold:760	user.hero_exp:550	2	4000	4	1700	20	5	180	390	100	100	100	100	100	user.salary:50	240	0	altar4|legion|altar2	0	60	1
10	1900	0	0	user.gold:-800,user.hero_exp:-380	user.gold:3680,user.hero_exp:1450	10	2000	5	7401	user.gold:760	user.hero_exp:600	2	4000	4	1800	20	5	180	421	100	100	100	100	100	user.salary:50	240	60	altar4|legion|altar2	0	60	1
11	2200	0	0	user.gold:-890,user.hero_exp:-440	user.gold:4480,user.hero_exp:1830	10	2000	5	7401	user.gold:770	user.hero_exp:620	2	4000	4	2000	20	6	216	450	100	100	100	100	100	user.salary:50	240	60	legion|altar2|team	0	60	1
12	2500	0	0	user.gold:-990,user.hero_exp:-500	user.gold:5370,user.hero_exp:2270	10	2000	5	7401	user.gold:770	user.hero_exp:650	2	4000	4	2100	20	6	216	478	100	100	100	100	100	user.salary:50	240	60	legion|altar2|team	0	60	1
13	2700	0	0	user.gold:-1100,user.hero_exp:-570	user.gold:6360,user.hero_exp:2770	10	2000	5	7401	user.gold:770	user.hero_exp:670	2	4000	4	2300	20	7	252	504	100	100	100	100	100	user.salary:50	240	60	legion|altar2|team	0	60	1
14	3000	0	0	user.gold:-1200,user.hero_exp:-640	user.gold:7460,user.hero_exp:3340	10	2000	5	7401	user.gold:780	user.hero_exp:700	2	4000	4	2400	20	7	252	529	100	100	100	100	100	user.salary:50	240	60	legion|altar2|team	0	60	1
15	3400	0	0	user.gold:-1300,user.hero_exp:-750	user.gold:8660,user.hero_exp:3980	10	2000	6	7401	user.gold:780	user.hero_exp:760	3	4000	4	2600	20	7	252	552	100	100	100	100	100	user.salary:50	240	60	legion|altar2|team	0	60	1
16	3700	0	0	user.gold:-1400,user.hero_exp:-830	user.gold:9960,user.hero_exp:4730	10	2400	6	7401	user.gold:780	user.hero_exp:780	3	4000	4	2700	20	8	288	574	100	100	100	100	100	user.salary:50	240	60	altar2|team|mine_digging	0	60	1
17	4000	0	0	user.gold:-1600,user.hero_exp:-920	user.gold:11360,user.hero_exp:5560	10	2400	6	7401	user.gold:790	user.hero_exp:800	3	4000	4	2900	240	8	288	594	100	100	100	100	100	user.salary:50	240	60	altar2|team|mine_digging	0	60	1
18	4400	0	0	user.gold:-1700,user.hero_exp:-1000	user.gold:12960,user.hero_exp:6480	10	2400	6	7401	user.gold:790	user.hero_exp:830	3	4000	4	3000	245	9	324	613	100	100	100	100	100	user.salary:50	240	60	altar2|team|mine_digging	0	60	1
19	4800	0	0	user.gold:-1800,user.hero_exp:-1100	user.gold:14660,user.hero_exp:7480	10	2400	6	7401	user.gold:790	user.hero_exp:850	3	4000	4	3200	250	9	324	630	100	100	100	100	100	user.salary:50	240	60	altar2|team|mine_digging	0	60	1
20	5200	0	0	user.gold:-2100,user.hero_exp:-1300	user.gold:16460,user.hero_exp:8580	10	2400	6	7401	user.gold:800	user.hero_exp:910	4	5000	8	3300	255	10	360	646	100	100	100	100	100	user.salary:50	240	70	altar2|team|mine_digging	0	60	1
21	5600	0	0	user.gold:-2300,user.hero_exp:-1400	user.gold:18560,user.hero_exp:9880	10	2850	6	7401	user.gold:800	user.hero_exp:940	4	5500	8	3500	265	10	360	1089	100	100	100	100	100	user.salary:50	240	70	altar2|team|mine_digging	0	60	1
22	6000	0	0	user.gold:-2400,user.hero_exp:-1500	user.gold:20860,user.hero_exp:11280	10	2800	6	7401	user.gold:800	user.hero_exp:960	4	6100	8	3600	275	11	396	1116	100	100	100	100	100	user.salary:50	240	70	altar2|team|mine_digging	0	60	1
23	6500	0	0	user.gold:-2600,user.hero_exp:-1600	user.gold:23260,user.hero_exp:12780	10	2800	6	7401	user.gold:800	user.hero_exp:980	4	6700	8	3800	285	11	396	1139	100	100	100	100	100	user.salary:50	240	70	altar2|team|mine_digging	0	60	1
24	6900	0	0	user.gold:-2700,user.hero_exp:-1800	user.gold:25860,user.hero_exp:14380	10	2800	6	7401	user.gold:810	user.hero_exp:1000	4	7400	8	3900	295	12	432	1160	100	100	100	100	100	user.salary:50	240	70	altar2|team|mine_digging	0	60	1
25	7400	0	0	user.gold:-2900,user.hero_exp:-1900	user.gold:28560,user.hero_exp:16180	10	2800	7	7401	user.gold:810	user.hero_exp:1000	4	8100	8	4100	305	12	432	1176	100	100	100	100	100	user.salary:50	260	70	altar2|team|mine_digging	0	60	1
