关键字	英文
Id	Text
String	String
ROLE_TITLE_TX1	Current:
ROLE_TITLE_TX2	Increase to
ROLE_TITLE_SKILL	Skill
ROLE_TITLE_TALENT	Talent
STR_TUPOINFO	Note: Increase hero transcend level to activate talents.
STR_SKILLINFO	Note: Fate increases skill level.
ROLE_TAB_TEXT_1	Gear
ROLE_TAB_TEXT_2	Destiny
ROLE_TAB_TEXT_3	Transcend
ROLE_TAB_TEXT_4	Troops
ROLE_TAB_TEXT_5	Fate
ROLE_TAB_TEXT_6	Title
ROLE_TAB_TEXT_7	Level
ROLE_TAB_TEXT_8	%s tier %d
ROLE_TAB_TEXT_9	Title granted to the hero:
ROLE_TAB_TEXT_10	Gear Set
ROLE_STR_ATT1	Attack
ROLE_STR_ATT2	HP
ROLE_STR_ATT3	Armor
ROLE_STR_ATT4	Skill DEF
ROLE_STR_ATTR_DEFENSE	DEF
ROLE_SOLIDER_SUIT	[%d pieces: %s + %d]
ROLE_SOLIDER_TEXT	Troop Upgrade
ROLE_SOLIDER_JIE	Rank %d, %d stars
ROLE_SOLIDER_INFO	(Troops get all of hero stats)
ROLE_SOLIDER_INFO3	Star Up
ROLE_SOLIDER_INFO4	Quick Equip
ROLE_SOLIDER_INFO5	Star Up Successful
ROLE_SOLIDER_INFO6	Advance Successful
ROLE_SOLIDER_INFO7	Equip Successful
ROLE_SOLIDER_INFO8	No gear to equip
ROLE_SOLIDER_INFO9	Not enough materials
ROLE_SOLIDER_INF10	Rank
ROLE_SOLIDER_INF11	Current Troops
ROLE_SOLIDER_INF12	Unlocks at troop rank %d
ROLE_TM_TITLE	Fate +%d
ROLE_TM_ADD_STR	Increase
ROLE_TM_INFO	Skill Upgrade
ROLE_TM_INFO1	Cost:
ROLE_TM_INFO2	Upgrade Rate:
ROLE_TM_INFO3	Fate
ROLE_TM_INFO4	Not enough materials
ROLE_TM_LVUP_FAIL	Level Up Error
ROLE_TM_MAX_LEVEL	Already at max level
LIMIT_MAT_OUT_OF_TIME	Timed Item has expired
ROLE_TM_PROBABILITY1	Very low
ROLE_TM_PROBABILITY2	Low
ROLE_TM_PROBABILITY3	Medium
ROLE_TM_PROBABILITY4	Quite High
ROLE_TM_PROBABILITY5	Very high
ROLE_TF_TITLE	Talent Details
ROLE_TF_INFO	Note: Transcend to unlock talents
ROLE_TUPO_TITLE	Transcend +%d
ROLE_TUPO_INFO	Unlock talents
ROLE_TUPO_INFO1	Requires Lv.%d
ROLE_TUPO_INFO2	Transcend
ROLE_TUPO_INFO3	Quick Transcend
ROLE_TUPO_INFO4	All talents are already unlocked
ROLE_TUPO_INFO5	Select transcend amount:
ROLE_TUPO_INFO6	Consumes the following materials,
ROLE_TUPO_INFO7	Transcend to +%d
ROLE_RISESTAR_TITLE	%s%d stars
ROLE_RISESTAR_INFO	Activating awakening stats:
ROLE_RISESTAR_INFO1	Title activates gear slot awakening stats
ROLE_RISESTAR_INFO2	Reach Lv.%d
ROLE_RISESTAR_INFO3	Transcend to +%d
ROLE_RISESTAR_INFO4	Troops rank %d
ROLE_RISESTAR_INFO5	Advance
ROLE_RISESTAR_INFO6	Go
ROLE_RISESTAR_INFO7	Promote
ROLE_RISESTAR_INFO8	Quick Promote
ROLE_RISESTAR_INFO9	Promote requirements not met
ROLE_RISESTAR_INF10	Select times to promote
ROLE_RISESTAR_INFO11	Title Promotion
ROLE_RISESTAR_INFO12	Promotion requirements:
ROLE_RISESTAR_INFO13	You don\'t have enough %s to promote
ROLE_RISESTAR_INFO14	Rank %d
SKILLUPGRADE_DESC_1	Increases all hero stats
ROLE_LV_TITLE	EXP to level up
ROLE_LV_DESC	EXP to level up:
ROLE_LV_DESC1	Level Up
ROLE_LV_DESC2	Level Up 5
ROLE_LV_DESC3	Tap and hold to keep using EXP Potions
ROLE_LV_DESC4	Max level
ROLE_LV_DESC5	Level cannot exceed lord level
ROLE_LV_DESC6	You don\'t have enough EXP Potions to level up %s
ROLE_LVUP_FAIL	Level Up Error
ROLE_EQUIP_TIP1	Gear
ROLE_EQUIP_TIP2	Slot
ROLE_EQUIP_SELECT_TITLE	Equip Gear
ROLE_EQUIP_SELECT_TITLE1	Change Gear
ROLE_EQUIP_SELECT_INFO1	No gear to equip
ROLE_EQUIP_SUIT_INFO	No equipped gear
ROLE_EQUIP_SUIT_LOSE	Lose
ROLE_EQUIP_SUIT_GET	Activate
ROLE_EQUIP_SUIT_NUM	Pieces:
ROLE_MASTER_TITLE1	Awakening Master
ROLE_MASTER_TITLE2	Inlay Master
ROLE_MASTER_INFO1	Awaken %s slots to %d stars (%s).
ROLE_MASTER_INFO2	Inlay each gear slot with %d Lv.%d gems (%s).
ROLE_SUIT_INFO1	%d pieces
ROLE_EQUIPREBUILD_TITLE	Gear Modification
ROLE_EQUIPREBUILD_INFO1	Enhance all gears to Lv.%d
ROLE_EQUIPREBUILD_INFO2	Refine all gears to +%d
ROLE_EQUIPREBUILD_INFO3	Can enhance to Lv.%d
ROLE_EQUIPREBUILD_INFO4	Enhance cap increases by %d for each lord level.
ROLE_EQUIPREBUILD_INFO5	Refine to a max of +%d
ROLE_EQUIPREBUILD_INFO6	Max enhance level reached
ROLE_EQUIPREBUILD_INFO7	Max refine level reached
ROLE_EQUIPREBUILD_INFO8	Quick Enhance
ROLE_EQUIPREBUILD_INFO9	Quick Refine
ROLE_EQUIPREBUILD_INF10	Enhance results preview:
ROLE_EQUIPREBUILD_INF11	Refine results preview:
ROLE_EQUIPREBUILD_INF12	Required materials:
ROLE_EQUIPREBUILD_INF13	Enhance Successful
ROLE_EQUIPREBUILD_INF14	Refine Successful
ROLE_EQUIP_ATTRIBUTE	Gear Stats
ROLE_EQUIPREBUILD_BTNTX1	Enhance 5
ROLE_EQUIPREBUILD_BTNTX2	Refine 5
ROLE_EQUIPREBUILD_WINDOW_TITLE_1	Enhance Gear
ROLE_EQUIPREBUILD_WINDOW_TITLE_2	Refine Gear
ROLE_GEM_CONFIRM_TITLE	Gem Details
ROLE_GEM_CONFIRM_TITLE1	Gem Upgrade
ROLE_GEM_CONFIRM_INFO1	Quick Promote
ROLE_GEM_CONFIRM_INFO2	Remove
ROLE_GEM_CONFIRM_INFO3	Upgrade
ROLE_GEM_CONFIRM_INFO4	Switch
ROLE_GEM_CONFIRM_INFO5	Consume gems in bag
ROLE_GEM_CONFIRM_INFO6	Amount can be crafted:
ROLE_GEM_CONFIRM_INFO7	3 small gems can be crafted into 1 large gem
ROLE_GEM_CONFIRM_INFO8	Select craft amount:
ROLE_GEM_CONFIRM_INFO9	Consume gems in bag:
