请求索引	唯一标识	消费名字	消费名字1	消费名字2	名称
modAct	index	costName1	costName2	costName3	name
String	String	String	String	String	String
activity_buy_gift_bag	3010	新人装备包			礼包
activity_buy_gift_bag	3020	新人军械包			礼包
activity_buy_gift_bag	3030	新人龙晶包			礼包
activity_buy_gift_bag	3040	新人精炼包			礼包
activity_buy_gift_bag	3050	新人觉醒包			礼包
activity_buy_gift_bag	3060	新人宝石包			礼包
activity_buy_gift_bag	3070	新人圣武包			礼包
activity_buy_gift_bag	3080	新人天命包			礼包
activity_buy_gift_bag	3090	新人圣翼包			礼包
activity_buy_gift_bag	3100	新人圣骑包			礼包
shop_buy	1011	珍品商店-神奇经验药水			商店
shop_buy	1012	珍品商店-装备碎片宝箱			商店
shop_buy	1013	珍品商店-竞技场门票			商店
shop_buy	1014	珍品商店-突破石			商店
shop_buy	1015	珍品商店-极品精炼石			商店
shop_buy	1016	珍品商店-勇气之证			商店
shop_buy	1017	珍品商店-圣武进阶石			商店
shop_buy	1018	珍品商店-圣翼进阶石			商店
shop_buy	1019	珍品商店-圣骑进阶石			商店
shop_buy	10110	珍品商店-炸药			商店
shop_buy	10111	珍品商店-雷管			商店
shop_buy	10112	珍品商店-占地凭证			商店
shop_buy	10113	珍品商店-龙血			商店
shop_buy	10114	珍品商店-喇叭			商店
shop_buy	1021	VIP商店-富豪钱袋			商店
shop_buy	1022	VIP商店-体力			商店
shop_buy	1023	VIP商店-突破石			商店
shop_buy	1024	VIP商店-低级龙晶包			商店
shop_buy	1025	VIP商店-5小时加速卡			商店
shop_buy	1026	VIP商店-低级符文宝箱			商店
shop_buy	1027	VIP商店-觉醒石			商店
shop_buy	1028	VIP商店-高级精炼石			商店
shop_buy	1029	VIP商店-高级宝石袋			商店
shop_buy	10210	VIP商店-王城铁骑			商店
shop_buy	10211	VIP商店-星纹卷轴			商店
shop_buy	10212	VIP商店-天命石			商店
shop_buy	10213	VIP商店-高级龙晶包			商店
shop_buy	10214	VIP商店-月亮神石			商店
shop_buy	10215	VIP商店-极品精炼石			商店
shop_buy	10216	VIP商店-太阳神石			商店
shop_buy	0	英雄商店			商店
activity_get_openseven_reward	91	第一天特价抢购			七天乐
activity_get_openseven_reward	92	第二天特价抢购			七天乐
activity_get_openseven_reward	93	第三天特价抢购			七天乐
activity_get_openseven_reward	94	第四天特价抢购			七天乐
activity_get_openseven_reward	95	第五天特价抢购			七天乐
activity_get_openseven_reward	96	第六天特价抢购			七天乐
activity_get_openseven_reward	97	第七天特价抢购			七天乐
new_legion_create	0	创建联盟			联盟
new_legion_build	2	联盟高级建设			联盟
new_legion_build	3	联盟至尊建设			联盟
new_legion_boss_inspire	2	联盟boss中级鼓舞			联盟
new_legion_boss_inspire	3	联盟boss高级鼓舞			联盟
new_legion_boss_challenge	0	挑战联盟boss花费			联盟
territorywar_buy_action_point	0	领地购买行动力			领地
territorywar_attack_boss	0	领地挑战boss花费			领地
territorywar_open_box	0	领地高级密匣开启			领地
territorywar_go_back	0	领地付费传送			领地
country_buy	0	皇城争霸购买挑战次数			皇城争霸
tower_reset_num	0	勇者之塔重置关卡			勇者之塔
tavern_single_tavern	0	单次高级招募			酒馆
tavern_ten_tavern	0	十次高级招募			酒馆
tavern_refresh_hero	0	酒馆刷新英雄			酒馆
altar_pray	2	单次体力祭祀			祭坛
altar_one_key	2	一键体力祭祀			祭坛
altar_pray	1	单次金币祭祀			祭坛
altar_one_key	1	一键金币祭祀			祭坛
altar_pray	4	单次宝石袋祭祀			祭坛
altar_one_key	4	一键宝石袋祭祀			祭坛
altar_pray	3	单次天命石祭祀			祭坛
altar_one_key	3	一键天命石祭祀			祭坛
auto_fight_speed_up_hook	0	大本营加速挂机			大本营
auto_fight_refresh_task	0	大本营刷新探索任务			大本营
auto_fight_up_star	0	大本营提升探索星级			大本营
digging_buy_tool	0	龙晶矿洞购买矿锄			龙晶矿洞
digging_open_box	0	龙晶矿洞打开宝箱			龙晶矿洞
trial_reset_explore_coin	0	秘境矿洞硬币重置			秘境矿洞
trial_buy_shop_item	0	秘境矿洞奇遇购买			秘境矿洞
trial_reset_monster_star	0	秘境矿洞刷新奇遇星级			秘境矿洞
clan_create	0	创建小队			小队
clan_reset_task	0	重置小队任务			小队
clan_refresh_task	0	小队刷新已激活任务			小队
battle_reset_battle	0	征战刷新关卡挑战次数			征战
user_get_vip_reward	0	VIP0特权礼包购买			VIP
user_get_vip_reward	1	VIP1特权礼包购买			VIP
user_get_vip_reward	2	VIP2特权礼包购买			VIP
user_get_vip_reward	3	VIP3特权礼包购买			VIP
user_get_vip_reward	4	VIP4特权礼包购买			VIP
user_get_vip_reward	5	VIP5特权礼包购买			VIP
user_get_vip_reward	6	VIP6特权礼包购买			VIP
user_get_vip_reward	7	VIP7特权礼包购买			VIP
user_get_vip_reward	8	VIP8特权礼包购买			VIP
user_get_vip_reward	9	VIP9特权礼包购买			VIP
user_get_vip_reward	10	VIP10特权礼包购买			VIP
user_get_vip_reward	11	VIP11特权礼包购买			VIP
user_get_vip_reward	12	VIP12特权礼包购买			VIP
user_get_vip_reward	13	VIP13特权礼包购买			VIP
user_get_vip_reward	14	VIP14特权礼包购买			VIP
user_get_vip_reward	15	VIP15特权礼包购买			VIP
hero_exchange_card 	0	酒馆英雄置换			酒馆
