编号	弹窗类型(1:游戏版本更新内容弹窗,2:游戏线下活动内容弹窗,3#游戏内开启活动弹窗,4#游戏内功能型弹窗（挂机）)	相关弹出描述	是否显示弹窗(0:不显示，1：显示)	弹窗显示优先级	弹窗显示子优先级	程序操作界面类型	default界面对应的类型	是否需要时间控制	是否索引activities表	开启时间	结束时间	开启开服天数	持续时间	外部链接
id	popType	name	isShow	popPriority	popSubPriority	key	defaultKey	isNeedTimeControl	activityKey	startTime	endTime	gameDayOpen	keepDay	url
Int	Int	String	Int	Int	Int	String	String	Int	String	Time	Time	Int	Int	String
1	1	版本1弹窗	0	12	4	default	0	1	0	0	0	0	0	0
2	2	线下活动1弹窗	0	11	3	default	0	1	0	0	0	0	0	0
3	3	橙升红广告	1	14	13	default	hero_compose	0	0	0	0	8	3	0
4	3	红升金广告	1	15	14	default	hero_compose_2	0	0	0	0	8	3	0
5	3	七天乐	1	4	1	default	open_seven	1	open_seven	0	0	0	0	0
6	3	每日充值	0	6	2	default	daily_recharge	1	daily_recharge	0	0	0	0	0
7	3	单笔充值	0	5	5	default	single_recharge	1	single_recharge	0	0	0	0	0
8	3	积分兑换	0	7	6	default	exchange_points	1	exchange_points	0	0	0	0	0
9	3	今日双倍	0	8	7	default	todaydouble	1	todaydouble	0	0	0	0	0
10	3	酒馆招募限时	0	9	8	default	tavern_recruit	1	tavern_recruit	0	0	0	0	0
11	3	招财龙	1	2	9	default	lucky_dragon	1	lucky_dragon	0	0	0	0	0
12	3	首充	0	3	10	default	first_pay	1	first_pay	0	0	0	0	0
13	3	酒馆招募等级	0	10	11	default	tavern_recruit_level	1	tavern_recruit_level	0	0	0	0	0
14	3	特权	1	13	12	default	perks	1	perks	0	0	0	0	0
15	4	挂机	0	1	0	hook	0	0	0	0	0	0	0	0
