索引ID	类型	组内权重	对应掉落ID
id	cnt	weight	lootId
Int1	Int2	Int	Int
1	1	10	601
2	1	10	602
3	1	10	603
4	1	10	604
5	1	10	605
6	1	10	606
7	1	10	607
8	1	10	608
9	2	6	609
10	2	6	610
11	2	6	611
12	2	6	612
13	2	6	613
14	2	6	614
15	2	6	615
16	2	6	616
17	2	6	617
18	2	6	618
19	2	6	619
20	2	6	620
21	2	6	621
22	2	6	622
23	2	6	623
24	2	6	624
25	2	6	625
26	2	6	626
27	2	6	627
28	2	6	628
29	2	6	629
30	2	6	630
31	2	6	631
32	2	6	632
33	2	6	633
34	2	6	634
35	2	6	635
36	2	6	636
37	2	6	637
38	2	6	638
39	2	6	639
40	2	6	640
41	2	6	641
42	2	6	642
43	2	6	643
44	2	6	644
