组ID	序号	需求开服天数Min	需求开服天数Max	是否大奖	奖励	每日库存	抽取需求能量	抽取消耗能量	刷出权重	抽取权重
groupId	num	dayLimitMin	dayLimitMax	isBig	award	store	limitPower	costPower	refreshWeight	awardWeight
Int	Int2	Int	Int	Int	Award	Int	Int	Int	Int	Int
1	1	1	7	1	user.bindcash:100	0	6000	5000	235	235
1	2	1	7	0	user.bindcash:100	1	50	10	325	325
1	3	1	7	0	user.bindcash:100	0	50	10	325	325
1	4	1	7	0	user.bindcash:100	0	50	10	325	325
1	5	1	7	0	user.bindcash:100	0	50	10	325	325
2	1	1	7	0	user.bindcash:100	0	50	10	325	325
2	2	1	7	0	user.bindcash:100	0	50	10	325	325
2	3	1	7	0	user.bindcash:100	0	50	10	325	325
2	4	1	7	0	user.bindcash:100	0	50	10	325	325
2	5	1	7	0	user.bindcash:100	0	50	10	325	325
3	1	1	7	0	user.bindcash:100	0	50	10	325	325
3	2	1	7	0	user.bindcash:100	0	50	10	325	325
3	3	1	7	0	user.bindcash:100	0	50	10	325	325
3	4	1	7	0	user.bindcash:100	0	50	10	325	325
3	5	1	7	0	user.bindcash:100	0	50	10	325	325
4	1	1	7	0	user.bindcash:100	0	50	10	325	325
4	2	1	7	0	user.bindcash:100	0	50	10	325	325
4	3	1	7	0	user.bindcash:100	0	50	10	325	325
4	4	1	7	0	user.bindcash:100	0	50	10	325	325
4	5	1	7	0	user.bindcash:100	0	50	10	325	325
5	1	1	7	0	user.bindcash:100	0	50	10	325	325
5	2	1	7	0	user.bindcash:100	0	50	10	325	325
5	3	1	7	0	user.bindcash:100	0	50	10	325	325
5	4	1	7	0	user.bindcash:100	0	50	10	325	325
5	5	1	7	0	user.bindcash:100	0	50	10	325	325
6	1	1	7	0	user.bindcash:100	0	50	10	325	325
6	2	1	7	0	user.bindcash:100	0	50	10	325	325
6	3	1	7	0	user.bindcash:100	0	50	10	325	325
6	4	1	7	0	user.bindcash:100	0	50	10	325	325
6	5	1	7	0	user.bindcash:100	0	50	10	325	325
7	1	1	7	0	user.bindcash:100	0	50	10	325	325
7	2	1	7	0	user.bindcash:100	0	50	10	325	325
7	3	1	7	0	user.bindcash:100	0	6000	5000	235	235
7	4	1	7	0	user.bindcash:100	1	50	10	325	325
7	5	1	7	0	user.bindcash:100	0	50	10	325	325
7	6	1	7	0	user.bindcash:100	0	50	10	325	325
8	1	1	7	0	user.bindcash:100	0	50	10	325	325
8	2	1	7	0	user.bindcash:100	0	50	10	325	325
8	3	1	7	0	user.bindcash:100	0	50	10	325	325
8	4	1	7	0	user.bindcash:100	0	50	10	325	325
8	5	1	7	0	user.bindcash:100	0	50	10	325	325
8	6	1	7	0	user.bindcash:100	0	50	10	325	325
11	1	1	7	0	user.bindcash:100	0	50	10	325	325
11	2	1	7	0	user.bindcash:100	0	50	10	325	325
11	3	1	7	0	user.bindcash:100	0	50	10	325	325
11	4	1	7	0	user.bindcash:100	0	50	10	325	325
11	5	1	7	0	user.bindcash:100	0	50	10	325	325
12	1	1	7	0	user.bindcash:100	0	50	10	325	325
12	2	1	7	0	user.bindcash:100	0	50	10	325	325
12	3	1	7	0	user.bindcash:100	0	50	10	325	325
12	4	1	7	0	user.bindcash:100	0	50	10	325	325
12	5	1	7	0	user.bindcash:100	0	50	10	325	325
13	1	1	7	0	user.bindcash:100	0	50	10	325	325
13	2	1	7	0	user.bindcash:100	0	50	10	325	325
13	3	1	7	0	user.bindcash:100	0	50	10	325	325
13	4	1	7	0	user.bindcash:100	0	50	10	325	325
13	5	1	7	0	user.bindcash:100	0	50	10	325	325
14	1	1	7	0	user.bindcash:100	0	50	10	325	325
14	2	1	7	0	user.bindcash:100	0	50	10	325	325
14	3	1	7	0	user.bindcash:100	0	50	10	325	325
14	4	1	7	0	user.bindcash:100	0	50	10	325	325
14	5	1	7	0	user.bindcash:100	0	50	10	325	325
15	1	1	7	0	user.bindcash:100	0	50	10	325	325
15	2	1	7	0	user.bindcash:100	0	50	10	325	325
15	3	1	7	0	user.bindcash:100	0	6000	5000	235	235
15	4	1	7	0	user.bindcash:100	1	50	10	325	325
15	5	1	7	0	user.bindcash:100	0	50	10	325	325
16	1	1	7	0	user.bindcash:100	0	50	10	325	325
16	2	1	7	0	user.bindcash:100	0	50	10	325	325
16	3	1	7	0	user.bindcash:100	0	50	10	325	325
16	4	1	7	0	user.bindcash:100	0	50	10	325	325
16	5	1	7	0	user.bindcash:100	0	50	10	325	325
17	1	1	7	0	user.bindcash:100	0	50	10	325	325
17	2	1	7	0	user.bindcash:100	0	50	10	325	325
17	3	1	7	0	user.bindcash:100	0	50	10	325	325
17	4	1	7	0	user.bindcash:100	0	50	10	325	325
17	5	1	7	0	user.bindcash:100	0	50	10	325	325
17	6	1	7	0	user.bindcash:100	0	50	10	325	325
18	1	1	7	0	user.bindcash:100	0	50	10	325	325
18	2	1	7	0	user.bindcash:100	0	50	10	325	325
18	3	1	7	0	user.bindcash:100	0	50	10	325	325
18	4	1	7	0	user.bindcash:100	0	50	10	325	325
18	5	1	7	0	user.bindcash:100	0	50	10	325	325
18	6	1	7	0	user.bindcash:100	0	50	10	325	325
