格子ID	位置
id	pos
Int	Ints
1	11|11 
2	28|13 
3	10|9  
4	18|17 
5	27|16 
6	16|16 
7	15|15 
8	18|13 
9	27|12 
10	28|16 
11	23|16 
12	12|5  
13	16|7  
14	19|17 
15	14|13 
16	23|12 
17	15|14 
18	9|14  
19	9|12  
20	9|11  
21	13|6  
22	16|11 
23	13|12 
24	25|11 
25	11|4  
26	16|4  
27	21|15 
28	24|12 
29	12|13 
30	8|14  
31	17|17 
32	27|15 
33	10|7  
34	6|11  
35	6|14  
36	17|13 
37	15|10 
38	13|9  
39	11|10 
40	8|9   
41	13|11 
42	6|9   
43	14|4  
44	19|16 
45	12|3  
46	10|11 
47	14|8  
48	16|9  
49	19|12 
50	12|7  
51	14|16 
52	7|8   
53	23|15 
54	14|12 
55	7|11  
56	18|16 
57	17|6  
58	18|12 
59	11|3  
60	11|6  
61	14|9  
62	12|6  
63	12|16 
64	8|12  
65	24|15 
66	19|11 
67	15|2  
68	16|13 
69	12|12 
70	9|6   
71	13|14 
72	15|6  
73	6|12  
74	25|14 
75	20|17 
76	15|13 
77	17|16 
78	12|15 
79	18|11 
80	10|14 
81	27|14 
82	16|14 
83	12|9  
84	10|10 
85	19|15 
86	17|14 
87	14|15 
88	23|14 
89	14|11 
90	26|16 
91	9|10  
92	26|11 
93	9|13  
94	13|8  
95	13|10 
96	13|4  
97	18|15 
98	17|12 
99	12|11 
100	16|2  
101	11|5  
102	11|8  
103	17|11 
104	27|11 
105	8|10  
106	15|11 
107	29|14 
108	29|13 
109	11|9  
110	19|10 
111	28|15 
112	28|14 
113	28|12 
114	6|10  
115	20|16 
116	25|17 
117	11|12 
118	24|17 
119	13|5  
120	26|12 
121	26|17 
122	15|16 
123	26|14 
124	26|13 
125	24|13 
126	9|9   
127	7|9   
128	18|14 
129	11|13 
130	25|15 
131	14|6  
132	25|12 
133	15|12 
134	12|2  
135	27|13 
136	24|16 
137	24|14 
138	18|10 
139	22|16 
140	16|17 
141	14|3  
142	6|13  
143	8|11  
144	8|8   
145	10|5  
146	19|14 
147	14|14 
148	22|12 
149	15|3  
150	16|8  
151	11|14 
152	10|13 
153	9|5   
154	23|13 
155	8|5   
156	12|14 
157	16|3  
158	14|10 
159	15|9  
160	15|7  
161	17|8  
162	13|7  
163	7|13  
164	7|7   
165	7|12  
166	13|13 
167	26|15 
168	8|7   
169	11|7  
170	25|13 
171	17|10 
172	11|2  
173	17|15 
174	6|8   
175	14|5  
176	8|13  
177	9|8   
178	12|8  
179	12|10 
180	9|7   
181	7|10  
182	12|4  
183	13|2  
184	13|15 
185	16|15 
186	14|7  
187	15|5  
188	16|10 
189	16|12 
190	10|6  
191	19|13 
192	15|4  
193	8|6   
194	25|16 
195	10|12 
196	13|3  
197	15|8  
198	10|8  
199	17|9  
200	22|15 
201	18|9
