商品id	商品	最低刷出等级	最高刷出等级	原价	购买次数	购买次数1	购买次数2	购买次数3	购买次数4	购买次数5	购买次数6	购买次数7	购买次数8	购买次数9	购买次数10	购买次数11	购买次数12	购买次数13	购买次数14	购买次数15	价格1	次数1	价格2	次数2	价格3	次数3	价格4	次数4	价格5	次数5	价格6	次数6	价格7	次数7	价格8	次数8	价格9	次数9	价格10	次数10	价格11	次数11	价格12	次数12
id	award	lowLevel	highLevel	originPrice	vip0	vip1	vip2	vip3	vip4	vip5	vip6	vip7	vip8	vip9	vip10	vip11	vip12	vip13	vip14	vip15	price1	time1	price2	time2	price3	time3	price4	time4	price5	time5	price6	time6	price7	time7	price8	time8	price9	time9	price10	time10	price11	time11	price12	time12
Int	Award	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	material.1:200	1	100	200	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	80	1	120	2	160	3	200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	user.soul:200	1	100	200	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	80	1	120	2	160	3	200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	material.200001:200	1	40	200	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	80	1	120	2	160	3	200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	material.200002:50	41	70	200	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	80	1	120	2	160	3	200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	material.200003:25	71	100	200	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	80	1	120	2	160	3	200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	material.300001:200	1	100	200	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	80	1	120	2	160	3	200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	material.11:100	1	70	200	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	80	1	120	2	160	3	200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	material.12:50	71	90	200	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	80	1	120	2	160	3	200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	material.13:20	91	100	200	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	80	1	120	2	160	3	200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	material.100:100	32	100	2000	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	material.200:100	38	100	2000	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	2000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	user.sky_book:1000	32	100	1000	5	10	15	20	25	30	40	50	60	70	80	90	99	99	99	99	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	material.300018:1	1	100	70	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	material.300014:1	1	100	40	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	material.300015:1	1	100	40	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
