模型ID	资源路径	模型	头像图片	全身像图片	战斗模型缩放	受击特效缩放	buff特效缩放	战斗血条高度	界面显示Y轴偏移	受击特效挂载点上X	受击特效挂载点上Y	受击特效挂载点中X	受击特效挂载点中Y	受击特效挂载点下X	受击特效挂载点下Y	音效1	死亡音效
id	resPath	modelUrl	headIcon	bodyIcon	scale	hitScale	buffScale	hpBarHeight	uiOffsetY	attPx_t	attPy_t	attPx_c	attPy_c	attPx_b	attPy_b	soundEffect	deadSoundEffect
Int	String	String	String	String	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	String	String
1001	animation	lvyijianshi	lvyijianshi.png	weiyan.png	35	35	45	85	0	0	80	0	30	0	0	0	0
1002	animation	xiaoluoli	xiaoluoli.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
2001	animation	yezhuqishi	yezhuqishi.png	lvbu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
2002	animation	fengyuzhe	fengyuzhe.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
3001	animation	xuefuzhanshi	xuefuzhanshi.png	weiyan.png	35	35	45	85	0	0	80	0	30	0	0	0	0
3002	animation	luolifashi	luolifashi.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5001	animation	senyuguowang	senyuguowang.png	caocao.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5002	animation	senyumonv	senyumonv.png	zhouyu.png	45	35	45	85	0	0	80	0	30	0	0	0	0
5003	animation	juchuiairen	juchuiairen.png	caocao.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5004	animation	huopaodashi	huopaodashi.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5005	animation	najianvwang	najianvwang.png	guanyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5006	animation	meidusha	meidusha.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5007	animation	shengguangqishi	shengguangqishi.png	lvbu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5008	animation	guangmingshengnv	guangmingshengnv.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5009	animation	zhandoufashi	zhandoufashi.png	lvbu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5010	animation	heianshengnv	heianshengnv.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5011	animation	haidaotufu	haidaotufu.png	guanyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5012	animation	huangjiayuchu	huangjiayuchu.png	lvbu.png	40	35	45	85	0	0	80	0	30	0	0	0	0
5013	animation	falao	falao.png	zhouyu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5014	animation	yanhou	yanhou.png	zuoci.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5015	animation	shengqishi	shengqishi.png	lvbu.png	35	35	45	85	0	0	80	0	30	0	0	0	0
5016	animation	dafashi	dafashi.png	zuoci.png	35	35	45	85	0	0	80	0	30	0	0	0	0
