功能	功能名称	新手引导内容图片	功能1	征战类型1	征战进度1	开放等级1	开放需开服天数1	内容描述
module	name	contentRes	goto	cityType	cityId	level	gameday	text
String	String	String	String	Int	Int	Int	Int	Chinese
hero	text_moduleOpeName_hero	default.png	hero	0	0	1	0	text_nil
bag	text_moduleOpeName_bag	default.png	bag	0	0	1	0	text_nil
altar	text_moduleOpeName_altar	default.png	altar	0	0	1	0	text_moduleOpeDesc_altar
altar1	text_getWayName1801	default.png	0	0	0	5	0	text_moduleOpeDesc_altar
altar2	text_getWayName1802	default.png	0	0	0	30	0	text_moduleOpeDesc_altar
altar3	text_getWayName1803	default.png	0	0	0	60	0	text_moduleOpeDesc_altar
altar4	text_getWayName1804	default.png	0	0	0	10	0	text_moduleOpeDesc_altar
gloryHall	text_moduleOpeName_gloryHall	default.png	gloryHall	0	0	0	5	text_moduleOpeDesc_gloryHall
rank	text_moduleOpeName_rank	default.png	rank	1	24	0	0	text_moduleOpeDesc_rank
mail	text_moduleOpeName_mail	default.png	mail	0	0	1	0	text_moduleOpeDesc_mail
task	text_moduleOpeName_task	default.png	task	1	3	0	0	text_moduleOpeDesc_task
chat	text_moduleOpeName_chat	default.png	chat	0	0	10	0	text_moduleOpeDesc_chat
tavern	text_moduleOpeName_tavern	default.png	tavern	0	0	1	0	text_moduleOpeDesc_tavern
kingMe	text_moduleOpeName_kingMe	default.png	kingMe	0	0	0	5	text_moduleOpeDesc_kingMe
friend	text_moduleOpeName_friend	default.png	friend	0	0	10	0	text_moduleOpeDesc_friend
team	text_moduleOpeName_team	default.png	team	0	0	35	0	text_moduleOpeDesc_team
report	text_moduleOpeName_report	default.png	report	1	13	0	0	text_moduleOpeDesc_report
skyweapon	text_moduleOpeName_skyweapon	default.png	skyweapon	0	0	0	7	text_moduleOpeDesc_skyweapon
skywing	text_moduleOpeName_skywing	default.png	skywing	0	0	0	10	text_moduleOpeDesc_skywing
skymount	text_moduleOpeName_skymount	default.png	skymount	0	0	0	13	text_moduleOpeDesc_skymount
exploreMonster	text_moduleOpeName_exploreMonster	exploreMonster.png	exploreMonster	0	0	1	0	text_moduleOpeDesc_exploreMonster
exploreBoss	text_moduleOpeName_exploreBoss	default.png	exploreBoss	0	0	1	0	text_moduleOpeDesc_exploreBoss
exploreTask	text_moduleOpeName_exploreTask	default.png	exploreTask	1	32	0	0	text_moduleOpeDesc_exploreTask
tower	text_moduleOpeName_tower	default.png	tower	0	0	100	0	text_moduleOpeDesc_tower
mine_enter	text_moduleOpeName_mine_enter	default.png	mine_enter	0	0	10	0	text_moduleOpeDesc_mine_enter
mine_digging	text_moduleOpeName_mine_digging	default.png	mine_digging	0	0	40	0	text_moduleOpeDesc_mine_digging
mine_trial	text_moduleOpeName_mine_trial	default.png	mine_trial	0	0	80	0	text_moduleOpeDesc_mine_trial
shop	text_moduleOpeName_shop	default.png	shop	0	0	1	0	text_moduleOpeDesc_shop
legion	text_moduleOpeName_legion	default.png	legion	0	0	15	0	text_moduleOpeDesc_legion
customcave	text_moduleOpeName_customcave	customcave.png	customcave	0	0	999	0	text_moduleOpeDesc_customcave
elite	text_moduleOpeName_elite	elite.png	elite	1	25	0	0	text_moduleOpeDesc_elite
hard	text_moduleOpeName_hard	default.png	hard	0	0	65	0	text_moduleOpeDesc_hard
oneKeyEquipUpgrade	text_moduleOpeName_oneKeyEquipUpgrade	default.png	oneKeyEquipUpgrade	0	0	1	0	text_nil
oneKeyEquipRefine	text_moduleOpeName_oneKeyEquipRefine	default.png	oneKeyEquipRefine	0	0	1	0	text_nil
equipRefine	text_moduleOpeName_equipRefine	default.png	equipRefine	0	0	1	0	text_moduleOpeDesc_equipRefine
oneKeyTaskAward	text_moduleOpeName_oneKeyTaskAward	default.png	oneKeyTaskAward	0	0	1	0	text_nil
autoupgrade	text_moduleOpeName_autoupgrade	default.png	autoupgrade	0	0	1	0	text_nil
arena	text_moduleOpeName_arena	default.png	arena	1	24	0	0	text_moduleOpeDesc_arena
arena1	text_moduleOpeName_arena1	arena1.png	arena	1	24	0	0	text_moduleOpeDesc_arena
arena2	text_moduleOpeName_arena2	arena2.png	arena	1	51	0	0	text_moduleOpeDesc_arena
arena3	text_moduleOpeName_arena3	arena3.png	arena	2	78	0	0	text_moduleOpeDesc_arena
arena4	text_moduleOpeName_arena4	arena4.png	arena	3	102	0	0	text_moduleOpeDesc_arena
arena5	text_moduleOpeName_arena5	arena5.png	arena	4	126	0	0	text_moduleOpeDesc_arena
arena6	text_moduleOpeName_arena6	arena6.png	arena	5	144	0	0	text_moduleOpeDesc_arena
arena11	text_moduleOpeName_arena2	arena2.png	arena	1	24	0	0	text_moduleOpeDesc_arena
arena12	text_moduleOpeName_arena4	arena4.png	arena	0	0	0	4	text_moduleOpeDesc_arena
king	text_moduleOpeName_king	default.png	king	1	6	0	0	text_moduleOpeDesc_king
king_dragon	text_moduleOpeName_king_dragon	king_dragon.png	king_dragon	1	6	0	0	text_moduleOpeDesc_king_dragon
king_book	text_moduleOpeName_king_book	default.png	king_book	0	0	999	0	text_moduleOpeDesc_king_book
king_arena	text_moduleOpeName_king_arena	default.png	king_arena	0	0	999	0	text_nil
maincity	text_moduleOpeName_maincity	maincity.png	maincity	0	0	1	0	text_moduleOpeDesc_maincity
destiny	text_moduleOpeName_destiny	default.png	destiny	0	0	1	0	text_moduleOpeDesc_destiny
part	text_moduleOpeName_part	default.png	part	0	0	1	0	text_moduleOpeDesc_part
war_college	text_moduleOpeName_war_college	default.png	challenge	0	0	1	0	text_moduleOpeDesc_war_college
territorywar	text_moduleOpeName_territorywar	default.png	0	1	13	0	0	text_moduleOpeDesc_territorywar
worldIn	text_moduleOpeName_worldIn	default.png	0	0	0	20	0	text_moduleOpeDesc_worldIn
worldwar	text_moduleOpeName_worldwar	default.png	worldwar	0	0	0	8	text_moduleOpeDesc_worldwar
princess	text_nil	default.png	0	1	0	0	0	text_nil
wish	text_nil	default.png	wish	0	0	1	0	text_nil
promote	text_nil	default.png	promote	0	0	72	0	text_nil
fateAdvanced	text_nil	default.png	fateAdvanced	0	0	50	0	text_nil
tribute	text_nil	default.png	0	1	6	0	0	text_nil
lord	text_nil	default.png	battle	1	20	1	0	text_nil
shipper	text_nil	default.png	shipper	1	53	1	0	text_nil
goldmine	text_nil	default.png	goldmine	1	46	1	0	text_nil
boat	text_nil	default.png	boat	1	29	1	0	text_nil
train	text_nil	default.png	train	1	27	1	0	text_nil
equip	text_moduleOpeName_equip	default.png	equip	0	0	1	0	text_nil
equipShop	text_moduleOpeName_equipShop	default.png	0	0	0	1	0	text_nil
equip4	text_nil	default.png	0	0	0	1	0	text_nil
equip5	text_nil	default.png	0	0	0	0	12	text_nil
equip6	text_nil	default.png	0	0	0	180	0	text_nil
equip7	text_nil	default.png	0	0	0	240	0	text_nil
battleSpeedUpLimit1	text_moduleOpeName_battleSpeedUpLimit1	default.png	battleSpeedUpLimit1	0	0	1	0	text_moduleOpeDesc_battleSpeedUpLimit1
heroLvUp	text_moduleOpeName_heroLvUp	default.png	heroLvUp	0	0	1	0	text_moduleOpeDesc_heroLvUp
equipUpgrade	text_moduleOpeName_equipUpgrade	default.png	equipUpgrade	0	0	1	0	text_moduleOpeDesc_equipUpgrade
guideTask	text_moduleOpeName_guideTask	default.png	guideTask	0	0	1	0	text_nil
statueAward	text_moduleOpeName_statueAward	default.png	statueAward	0	0	1	0	text_moduleOpeDesc_statueAward
equipImprove	text_moduleOpeName_equipImprove	default.png	equipImprove	0	0	1	0	text_moduleOpeDesc_equipImprove
equipSagecraft	text_moduleOpeName_equipSagecraft	default.png	equipSagecraft	0	0	999	0	text_moduleOpeDesc_equipSagecraft
permute	text_moduleOpeName_permute	default.png	permute	0	0	1	0	text_moduleOpeDesc_permute
evolution	text_moduleOpeName_evolution	default.png	evolution	0	0	1	0	text_nil
growhelp	text_moduleOpeName_growhelp	default.png	growhelp	0	0	2	0	text_nil
outline	text_nil	default.png	0	0	0	1	0	text_nil
customWeal	text_nil	default.png	0	1	1	0	0	text_nil
legionWar	text_nil	default.png	0	0	0	0	12	text_nil
treasureHunt	text_nil	default.png	0	0	0	0	6	text_nil
abyss	text_moduleOpeName_abyss	default.png	abyss	5	150	0	0	text_nil
abyssTreasure	text_moduleOpeName_abyssTreasure	default.png	abyssTreasure	1	45	0	0	text_nil
convoy	text_moduleOpeName_convoy	default.png	convoy	0	0	0	16	text_nil
