侯爵等级	升至下级所需活跃	爵位名称	操作
level	active	name	key
Int	Int	String	String
1	400	text_taskNobiltyBaseName_1	guangZhong
2	700	0	0
3	700	0	0
4	700	0	0
5	700	text_taskNobiltyBaseName_2	minHao
6	700	0	0
7	700	0	0
8	700	0	0
9	700	text_taskNobiltyBaseName_3	guanNei
10	800	0	0
11	800	0	0
12	800	0	0
13	800	text_taskNobiltyBaseName_4	duTin
14	800	0	0
15	800	0	0
16	800	0	0
17	800	text_taskNobiltyBaseName_5	duXiang
18	800	0	0
19	800	0	0
20	800	0	0
21	800	text_taskNobiltyBaseName_6	shouTin
22	800	0	0
23	800	0	0
24	800	0	0
25	800	text_taskNobiltyBaseName_7	tin
26	800	0	0
27	800	0	0
28	800	0	0
29	800	text_taskNobiltyBaseName_8	xiang
30	800	0	0
31	800	0	0
32	800	0	0
33	800	text_taskNobiltyBaseName_9	xian
34	800	0	0
35	800	0	0
36	800	0	0
37	800	text_taskNobiltyBaseName_10	nei
38	800	0	0
39	800	0	0
40	800	0	0
41	800	text_taskNobiltyBaseName_11	lie
42	800	0	0
43	800	0	0
44	800	0	0
45	800	text_taskNobiltyBaseName_12	wang
46	800	0	0
47	800	0	0
48	0	0	0
