天数	总类型	类型名字	子任务列表
day	id	title	task
Int1	Int2	Chinese	Ints
1	1	text_av_openseven_tab_0_1	1
1	2	text_av_openseven_tab_1_1	111|112|113|114|115|116|117
1	3	text_av_openseven_tab_1_2	121|122|123|124|125|126|127
1	4	text_av_openseven_tab_0_2	91
2	1	text_av_openseven_tab_0_1	2
2	2	text_av_openseven_tab_2_1	211|212|213|214|215|216|217
2	3	text_av_openseven_tab_0_2	92
3	1	text_av_openseven_tab_0_1	3
3	2	text_av_openseven_tab_3_1	311|312|313|314|315|316|317
3	3	text_av_openseven_tab_0_2	93
4	1	text_av_openseven_tab_0_1	4
4	2	text_av_openseven_tab_4_1	411|412|413|414|415|416|417
4	3	text_av_openseven_tab_0_2	94
5	1	text_av_openseven_tab_0_1	5
5	2	text_av_openseven_tab_5_1	511|512|513|514|515|516|517
5	3	text_av_openseven_tab_0_2	95
6	1	text_av_openseven_tab_0_1	6
6	2	text_av_openseven_tab_6_1	221|222|223|224|225|226|227
6	3	text_av_openseven_tab_0_2	96
7	1	text_av_openseven_tab_0_1	7
7	2	text_av_openseven_tab_7_1	711|712|713|714|715|716|717
7	3	text_av_openseven_tab_0_2	97
