部位类型	觉醒星级	升至本级消耗	装备主属性百分比加成	极限觉醒属性值	觉醒返还
type	level	costNormalAwake	addEquipMainAtt	maxVal	return
Int1	Int2	Award	Int	Int	Award
1	1	material.950:-15	6	200	material.950:15
1	2	material.950:-20	12	400	material.950:35
1	3	material.950:-25	20	600	material.950:60
1	4	material.950:-30	28	800	material.950:90
1	5	material.950:-35	38	1000	material.950:125
1	6	material.950:-40	48	1200	material.950:165
1	7	material.950:-45	60	1400	material.950:210
1	8	material.950:-50	72	1600	material.950:260
1	9	material.950:-55	86	1800	material.950:315
1	10	material.950:-60	100	2000	material.950:375
2	1	material.950:-15	6	200	material.950:15
2	2	material.950:-20	12	400	material.950:35
2	3	material.950:-25	20	600	material.950:60
2	4	material.950:-30	28	800	material.950:90
2	5	material.950:-35	38	1000	material.950:125
2	6	material.950:-40	48	1200	material.950:165
2	7	material.950:-45	60	1400	material.950:210
2	8	material.950:-50	72	1600	material.950:260
2	9	material.950:-55	86	1800	material.950:315
2	10	material.950:-60	100	2000	material.950:375
3	1	material.950:-15	6	200	material.950:15
3	2	material.950:-20	12	400	material.950:35
3	3	material.950:-25	20	600	material.950:60
3	4	material.950:-30	28	800	material.950:90
3	5	material.950:-35	38	1000	material.950:125
3	6	material.950:-40	48	1200	material.950:165
3	7	material.950:-45	60	1400	material.950:210
3	8	material.950:-50	72	1600	material.950:260
3	9	material.950:-55	86	1800	material.950:315
3	10	material.950:-60	100	2000	material.950:375
4	1	material.950:-15	6	200	material.950:15
4	2	material.950:-20	12	400	material.950:35
4	3	material.950:-25	20	600	material.950:60
4	4	material.950:-30	28	800	material.950:90
4	5	material.950:-35	38	1000	material.950:125
4	6	material.950:-40	48	1200	material.950:165
4	7	material.950:-45	60	1400	material.950:210
4	8	material.950:-50	72	1600	material.950:260
4	9	material.950:-55	86	1800	material.950:315
4	10	material.950:-60	100	2000	material.950:375
5	1	material.950:-15	6	200	material.950:15
5	2	material.950:-20	12	400	material.950:35
5	3	material.950:-25	20	600	material.950:60
5	4	material.950:-30	28	800	material.950:90
5	5	material.950:-35	38	1000	material.950:125
5	6	material.950:-40	48	1200	material.950:165
5	7	material.950:-45	60	1400	material.950:210
5	8	material.950:-50	72	1600	material.950:260
5	9	material.950:-55	86	1800	material.950:315
5	10	material.950:-60	100	2000	material.950:375
6	1	material.950:-15	6	200	material.950:15
6	2	material.950:-20	12	400	material.950:35
6	3	material.950:-25	20	600	material.950:60
6	4	material.950:-30	28	800	material.950:90
6	5	material.950:-35	38	1000	material.950:125
6	6	material.950:-40	48	1200	material.950:165
6	7	material.950:-45	60	1400	material.950:210
6	8	material.950:-50	72	1600	material.950:260
6	9	material.950:-55	86	1800	material.950:315
6	10	material.950:-60	100	2000	material.950:375
