部位类型	头衔等级	需求觉醒星级	装备主属性百分比加成	极限觉醒额外激活属性值
type	titileLevel	needAwakeLevel	addEquipMainAtt	maxActivateVal
Int1	Int2	Int	Int	Int
1	2	1	0.5	0.5
1	3	1	1	1
1	4	2	1.5	1.5
1	5	2	2	2
1	6	3	2.5	2.5
1	7	3	3	3
1	8	4	3.5	3.5
1	9	4	4	4
1	10	5	4.5	4.5
1	11	5	5	5
1	12	6	5.5	5.5
1	13	6	6	6
1	14	7	6.5	6.5
1	15	7	7	7
1	16	8	7.5	7.5
1	17	8	8	8
1	18	9	8.5	8.5
1	19	9	9	9
1	20	10	9.5	9.5
1	21	10	10	10
2	2	1	0.5	0.5
2	3	1	1	1
2	4	2	1.5	1.5
2	5	2	2	2
2	6	3	2.5	2.5
2	7	3	3	3
2	8	4	3.5	3.5
2	9	4	4	4
2	10	5	4.5	4.5
2	11	5	5	5
2	12	6	5.5	5.5
2	13	6	6	6
2	14	7	6.5	6.5
2	15	7	7	7
2	16	8	7.5	7.5
2	17	8	8	8
2	18	9	8.5	8.5
2	19	9	9	9
2	20	10	9.5	9.5
2	21	10	10	10
3	2	1	0.5	0.5
3	3	1	1	1
3	4	2	1.5	1.5
3	5	2	2	2
3	6	3	2.5	2.5
3	7	3	3	3
3	8	4	3.5	3.5
3	9	4	4	4
3	10	5	4.5	4.5
3	11	5	5	5
3	12	6	5.5	5.5
3	13	6	6	6
3	14	7	6.5	6.5
3	15	7	7	7
3	16	8	7.5	7.5
3	17	8	8	8
3	18	9	8.5	8.5
3	19	9	9	9
3	20	10	9.5	9.5
3	21	10	10	10
4	2	1	0.5	0.5
4	3	1	1	1
4	4	2	1.5	1.5
4	5	2	2	2
4	6	3	2.5	2.5
4	7	3	3	3
4	8	4	3.5	3.5
4	9	4	4	4
4	10	5	4.5	4.5
4	11	5	5	5
4	12	6	5.5	5.5
4	13	6	6	6
4	14	7	6.5	6.5
4	15	7	7	7
4	16	8	7.5	7.5
4	17	8	8	8
4	18	9	8.5	8.5
4	19	9	9	9
4	20	10	9.5	9.5
4	21	10	10	10
5	2	1	0.5	0.5
5	3	1	1	1
5	4	2	1.5	1.5
5	5	2	2	2
5	6	3	2.5	2.5
5	7	3	3	3
5	8	4	3.5	3.5
5	9	4	4	4
5	10	5	4.5	4.5
5	11	5	5	5
5	12	6	5.5	5.5
5	13	6	6	6
5	14	7	6.5	6.5
5	15	7	7	7
5	16	8	7.5	7.5
5	17	8	8	8
5	18	9	8.5	8.5
5	19	9	9	9
5	20	10	9.5	9.5
5	21	10	10	10
6	2	1	0.5	0.5
6	3	1	1	1
6	4	2	1.5	1.5
6	5	2	2	2
6	6	3	2.5	2.5
6	7	3	3	3
6	8	4	3.5	3.5
6	9	4	4	4
6	10	5	4.5	4.5
6	11	5	5	5
6	12	6	5.5	5.5
6	13	6	6	6
6	14	7	6.5	6.5
6	15	7	7	7
6	16	8	7.5	7.5
6	17	8	8	8
6	18	9	8.5	8.5
6	19	9	9	9
6	20	10	9.5	9.5
6	21	10	10	10
