玩法类型	玩法名字	玩法类型	玩法名字
type	name	logType	logName
String	String	String	String
battle	auto	征战副本	征战扫荡
battle	combat	征战副本	征战切磋
battle	lord	征战副本	抢夺太守
battle	thief	征战副本	第一次山贼
mine	occupy	矿洞	金矿占领
mine	rob	矿洞	抢夺金矿
mine	bomb	矿洞	挖矿炸弹
mine	enemy	矿洞	挑战矿工
pvp	arena	PVP	竞技场挑战
pvp	position	PVP	皇城挑战
play_hall	gold	征战副本	金币副本
play_hall	xp	征战副本	经验副本
play_hall	reborn	征战副本	突破副本
play_hall	destiny	征战副本	天命副本
play_hall	tower	玩法大厅	爬塔
play_hall	guard	玩法大厅	巡逻
play_hall	repress_guard	玩法大厅	镇压暴乱
play_hall	shipper	玩法大厅	押送镖车
play_hall	rob_shipper	玩法大厅	抢夺镖车
legion	boon	军团	发红包
legion	grab_boon	军团	抢红包
legion	tree	军团	摇钱树
legion	mercenary	军团	派佣兵
legion	trial	军团	试炼
legion	copy	军团	军团副本
altar	food	祭坛	粮草
altar	gold	祭坛	金币
altar	destiny	祭坛	天命石
activity	roulette	活动	幸运转轮
activity	monthCardBuy	活动	月卡购买
activity	monthCard	活动	月卡每日领取
activity	longCardBuy	活动	终身卡购买
activity	longCard	活动	终身卡每日领取
battle	normal1	征战副本	关卡1
battle	normal2	征战副本	关卡2
battle	normal3	征战副本	关卡3
battle	normal4	征战副本	关卡4
battle	normal5	征战副本	关卡5
battle	normal6	征战副本	关卡6
battle	normal7	征战副本	关卡7
battle	normal8	征战副本	关卡8
battle	normal9	征战副本	关卡9
battle	normal10	征战副本	关卡10
battle	normal11	征战副本	关卡11
battle	normal12	征战副本	关卡12
battle	normal13	征战副本	关卡13
battle	normal14	征战副本	关卡14
battle	normal15	征战副本	关卡15
battle	normal16	征战副本	关卡16
battle	normal17	征战副本	关卡17
battle	normal18	征战副本	关卡18
battle	normal19	征战副本	关卡19
battle	normal20	征战副本	关卡20
battle	normal21	征战副本	关卡21
battle	normal22	征战副本	关卡22
battle	normal23	征战副本	关卡23
battle	normal24	征战副本	关卡24
battle	normal25	征战副本	关卡25
battle	normal26	征战副本	关卡26
battle	normal27	征战副本	关卡27
battle	normal28	征战副本	关卡28
battle	normal29	征战副本	关卡29
battle	normal30	征战副本	关卡30
battle	normal31	征战副本	关卡31
battle	normal32	征战副本	关卡32
battle	normal33	征战副本	关卡33
battle	normal34	征战副本	关卡34
battle	normal35	征战副本	关卡35
battle	normal36	征战副本	关卡36
battle	normal37	征战副本	关卡37
battle	normal38	征战副本	关卡38
battle	normal39	征战副本	关卡39
battle	normal40	征战副本	关卡40
battle	normal41	征战副本	关卡41
battle	normal42	征战副本	关卡42
battle	normal43	征战副本	关卡43
battle	normal44	征战副本	关卡44
battle	normal45	征战副本	关卡45
battle	normal46	征战副本	关卡46
battle	normal47	征战副本	关卡47
battle	normal48	征战副本	关卡48
battle	normal49	征战副本	关卡49
battle	normal50	征战副本	关卡50
battle	normal51	征战副本	关卡51
battle	normal52	征战副本	关卡52
battle	normal53	征战副本	关卡53
battle	normal54	征战副本	关卡54
battle	normal55	征战副本	关卡55
battle	normal56	征战副本	关卡56
battle	normal57	征战副本	关卡57
battle	normal58	征战副本	关卡58
battle	normal59	征战副本	关卡59
battle	normal60	征战副本	关卡60
battle	normal61	征战副本	关卡61
battle	normal62	征战副本	关卡62
battle	normal63	征战副本	关卡63
battle	normal64	征战副本	关卡64
battle	normal65	征战副本	关卡65
battle	normal66	征战副本	关卡66
battle	normal67	征战副本	关卡67
battle	normal68	征战副本	关卡68
battle	normal69	征战副本	关卡69
battle	normal70	征战副本	关卡70
battle	normal71	征战副本	关卡71
battle	normal72	征战副本	关卡72
battle	normal73	征战副本	关卡73
battle	normal74	征战副本	关卡74
battle	normal75	征战副本	关卡75
battle	normal76	征战副本	关卡76
battle	normal77	征战副本	关卡77
battle	normal78	征战副本	关卡78
battle	normal79	征战副本	关卡79
battle	normal80	征战副本	关卡80
battle	normal81	征战副本	关卡81
battle	normal82	征战副本	关卡82
battle	normal83	征战副本	关卡83
battle	normal84	征战副本	关卡84
battle	normal85	征战副本	关卡85
battle	normal86	征战副本	关卡86
battle	normal87	征战副本	关卡87
battle	normal88	征战副本	关卡88
battle	normal89	征战副本	关卡89
battle	normal90	征战副本	关卡90
battle	normal91	征战副本	关卡91
battle	normal92	征战副本	关卡92
battle	normal93	征战副本	关卡93
battle	normal94	征战副本	关卡94
battle	normal95	征战副本	关卡95
battle	normal96	征战副本	关卡96
battle	normal97	征战副本	关卡97
battle	normal98	征战副本	关卡98
battle	normal99	征战副本	关卡99
battle	normal100	征战副本	关卡100
battle	normal101	征战副本	关卡101
battle	normal102	征战副本	关卡102
battle	normal103	征战副本	关卡103
battle	normal104	征战副本	关卡104
battle	normal105	征战副本	关卡105
battle	normal106	征战副本	关卡106
battle	normal107	征战副本	关卡107
battle	normal108	征战副本	关卡108
battle	normal109	征战副本	关卡109
battle	normal110	征战副本	关卡110
battle	normal111	征战副本	关卡111
battle	normal112	征战副本	关卡112
battle	normal113	征战副本	关卡113
battle	normal114	征战副本	关卡114
battle	normal115	征战副本	关卡115
battle	normal116	征战副本	关卡116
battle	normal117	征战副本	关卡117
battle	normal118	征战副本	关卡118
battle	normal119	征战副本	关卡119
battle	normal120	征战副本	关卡120
battle	normal121	征战副本	关卡121
battle	normal122	征战副本	关卡122
battle	elite1	精英副本	关卡1
battle	elite2	精英副本	关卡2
battle	elite3	精英副本	关卡3
battle	elite4	精英副本	关卡4
battle	elite5	精英副本	关卡5
battle	elite6	精英副本	关卡6
battle	elite7	精英副本	关卡7
battle	elite8	精英副本	关卡8
battle	elite9	精英副本	关卡9
battle	elite10	精英副本	关卡10
battle	elite11	精英副本	关卡11
battle	elite12	精英副本	关卡12
battle	elite13	精英副本	关卡13
battle	elite14	精英副本	关卡14
battle	elite15	精英副本	关卡15
battle	elite16	精英副本	关卡16
battle	elite17	精英副本	关卡17
battle	elite18	精英副本	关卡18
battle	elite19	精英副本	关卡19
battle	elite20	精英副本	关卡20
battle	elite21	精英副本	关卡21
battle	elite22	精英副本	关卡22
battle	elite23	精英副本	关卡23
battle	elite24	精英副本	关卡24
battle	elite25	精英副本	关卡25
battle	elite26	精英副本	关卡26
battle	elite27	精英副本	关卡27
battle	elite28	精英副本	关卡28
battle	elite29	精英副本	关卡29
battle	elite30	精英副本	关卡30
battle	elite31	精英副本	关卡31
battle	elite32	精英副本	关卡32
battle	elite33	精英副本	关卡33
battle	elite34	精英副本	关卡34
battle	elite35	精英副本	关卡35
battle	elite36	精英副本	关卡36
battle	elite37	精英副本	关卡37
battle	elite38	精英副本	关卡38
battle	elite39	精英副本	关卡39
battle	elite40	精英副本	关卡40
battle	elite41	精英副本	关卡41
battle	elite42	精英副本	关卡42
battle	elite43	精英副本	关卡43
battle	elite44	精英副本	关卡44
battle	elite45	精英副本	关卡45
battle	elite46	精英副本	关卡46
battle	elite47	精英副本	关卡47
battle	elite48	精英副本	关卡48
battle	elite49	精英副本	关卡49
battle	elite50	精英副本	关卡50
battle	elite51	精英副本	关卡51
battle	elite52	精英副本	关卡52
battle	elite53	精英副本	关卡53
battle	elite54	精英副本	关卡54
battle	elite55	精英副本	关卡55
battle	elite56	精英副本	关卡56
battle	elite57	精英副本	关卡57
battle	elite58	精英副本	关卡58
battle	elite59	精英副本	关卡59
battle	elite60	精英副本	关卡60
battle	elite61	精英副本	关卡61
battle	elite62	精英副本	关卡62
battle	elite63	精英副本	关卡63
battle	elite64	精英副本	关卡64
battle	elite65	精英副本	关卡65
battle	elite66	精英副本	关卡66
battle	elite67	精英副本	关卡67
battle	elite68	精英副本	关卡68
battle	elite69	精英副本	关卡69
battle	elite70	精英副本	关卡70
battle	elite71	精英副本	关卡71
battle	elite72	精英副本	关卡72
battle	elite73	精英副本	关卡73
battle	elite74	精英副本	关卡74
battle	elite75	精英副本	关卡75
battle	elite76	精英副本	关卡76
battle	elite77	精英副本	关卡77
battle	elite78	精英副本	关卡78
battle	elite79	精英副本	关卡79
battle	elite80	精英副本	关卡80
battle	elite81	精英副本	关卡81
battle	elite82	精英副本	关卡82
battle	elite83	精英副本	关卡83
battle	elite84	精英副本	关卡84
battle	elite85	精英副本	关卡85
battle	elite86	精英副本	关卡86
battle	elite87	精英副本	关卡87
battle	elite88	精英副本	关卡88
battle	elite89	精英副本	关卡89
battle	elite90	精英副本	关卡90
battle	elite91	精英副本	关卡91
battle	elite92	精英副本	关卡92
battle	elite93	精英副本	关卡93
battle	elite94	精英副本	关卡94
battle	elite95	精英副本	关卡95
battle	elite96	精英副本	关卡96
battle	elite97	精英副本	关卡97
battle	elite98	精英副本	关卡98
battle	elite99	精英副本	关卡99
battle	elite100	精英副本	关卡100
battle	elite101	精英副本	关卡101
battle	elite102	精英副本	关卡102
battle	elite103	精英副本	关卡103
battle	elite104	精英副本	关卡104
battle	elite105	精英副本	关卡105
battle	elite106	精英副本	关卡106
battle	elite107	精英副本	关卡107
battle	elite108	精英副本	关卡108
battle	elite109	精英副本	关卡109
battle	elite110	精英副本	关卡110
battle	elite111	精英副本	关卡111
battle	elite112	精英副本	关卡112
battle	elite113	精英副本	关卡113
battle	elite114	精英副本	关卡114
battle	elite115	精英副本	关卡115
