突破类型	品级	最高品级	可提升需求等级	等级上限改变	小兵等阶	升至本级突破消耗	升至本级返还	突破基础攻击	突破基础物防	突破基础法防	突破基础血量	突破攻击成长	突破物防成长	突破法防成长	突破血量成长
type	level	tierMax	roleLevel	roleLevelMax	soldierLevel	cost	return	baseAtk	baseDef	baseMagDef	baseHp	atkGrowth	defGrowth	magDefGrowth	hpGrowth
Int1	Int2	Int	Int	Int	Int	Award	Award	Int	Int	Int	Int	Int	Int	Int	Int
1	0	2	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	185	115	115	2220	6	3	3	76
1	1	2	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	275	171	171	3300	7	4	4	84
1	2	2	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	387	242	242	4650	7	4	4	94
1	3	2	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	522	326	326	6270	8	5	5	106
1	4	2	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	680	425	425	8160	9	6	6	118
1	5	2	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	860	537	537	10320	10	6	6	130
1	6	2	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	1287	804	804	15450	13	8	8	156
1	7	2	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	1805	1128	1128	21660	15	9	9	182
1	8	2	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	2412	1507	1507	28950	17	10	10	208
1	9	2	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	3110	1943	1943	37320	19	12	12	234
1	10	2	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	3897	2435	2435	46770	21	13	13	261
2	0	2	0	30	1	material.1:-0,user.gold:-0	material.1:0,user.gold:0	195	122	122	2344	6	4	4	80
2	1	2	30	40	1	material.1:-20,user.gold:-13900	material.1:20,user.gold:13900	290	181	181	3484	7	4	4	89
2	2	2	40	50	2	material.1:-20,user.gold:-15200	material.1:40,user.gold:29100	409	255	255	4910	8	5	5	100
2	3	2	50	60	2	material.1:-40,user.gold:-35700	material.1:80,user.gold:64800	551	344	344	6621	9	5	5	112
2	4	2	60	70	3	material.1:-70,user.gold:-58600	material.1:150,user.gold:123400	718	448	448	8616	10	6	6	124
2	5	2	70	80	3	material.1:-140,user.gold:-94600	material.1:290,user.gold:218000	908	567	567	10897	11	7	7	137
2	6	2	80	100	4	material.1:-500,user.gold:-400000	material.1:790,user.gold:618000	1359	849	849	16315	13	8	8	164
2	7	2	100	120	4	material.1:-800,user.gold:-712000	material.1:1590,user.gold:1330000	1906	1191	1191	22872	16	10	10	192
2	8	2	120	140	5	material.1:-1100,user.gold:-1070000	material.1:2690,user.gold:2400000	2547	1592	1592	30571	18	11	11	219
2	9	2	140	160	5	material.1:-1400,user.gold:-1450000	material.1:4090,user.gold:3850000	3284	2052	2052	39409	20	12	12	247
2	10	2	160	180	6	material.1:-1800,user.gold:-1920000	material.1:5890,user.gold:5770000	4115	2572	2572	49389	22	14	14	275
