符文等级	攻击1	攻击万分比1	护甲1	护甲万分比1	技防1	技防万分比1	生命1	生命万分比1	攻击2	攻击万分比2	护甲2	护甲万分比2	技防2	技防万分比2	生命2	生命万分比2	攻击3	攻击万分比3	护甲3	护甲万分比3	技防3	技防万分比3	生命3	生命万分比3	攻击4	攻击万分比4	护甲4	护甲万分比4	技防4	技防万分比4	生命4	生命万分比4	攻击5	攻击万分比5	护甲5	护甲万分比5	技防5	技防万分比5	生命5	生命万分比5	攻击6	攻击万分比6	护甲6	护甲万分比6	技防6	技防万分比6	生命6	生命万分比6	攻击7	攻击万分比7	护甲7	护甲万分比7	技防7	技防万分比7	生命7	生命万分比7
level	atk1	atk_p1	def1	def_p1	magdef1	magdef_p1	hp1	hp_p1	atk2	atk_p2	def2	def_p2	magdef2	magdef_p2	hp2	hp_p2	atk3	atk_p3	def3	def_p3	magdef3	magdef_p3	hp3	hp_p3	atk4	atk_p4	def4	def_p4	magdef4	magdef_p4	hp4	hp_p4	atk5	atk_p5	def5	def_p5	magdef5	magdef_p5	hp5	hp_p5	atk6	atk_p6	def6	def_p6	magdef6	magdef_p6	hp6	hp_p6	atk7	atk_p7	def7	def_p7	magdef7	magdef_p7	hp7	hp_p7
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
0	122	0	305	0	305	0	2443	0	173	0	432	0	432	0	3461	0	254	0	636	0	636	0	5090	0	356	0	890	0	890	0	7126	0	509	0	1272	0	1272	0	10180	0	712	0	1781	0	1781	0	14252	0	1018	0	2545	0	2545	0	20360	0
1	136	0	341	0	341	0	2735	0	193	0	484	0	484	0	3875	0	284	0	712	0	712	0	5699	0	398	0	997	0	997	0	7978	0	569	0	1424	0	1424	0	11398	0	797	0	1994	0	1994	0	15957	0	1139	0	2849	0	2849	0	22797	0
2	152	0	380	0	380	0	3042	0	215	0	538	0	538	0	4310	0	316	0	792	0	792	0	6339	0	443	0	1109	0	1109	0	8875	0	633	0	1584	0	1584	0	12678	0	887	0	2218	0	2218	0	17750	0	1267	0	3169	0	3169	0	25357	0
3	168	0	422	0	422	0	3377	0	239	0	598	0	598	0	4785	0	351	0	879	0	879	0	7037	0	492	0	1231	0	1231	0	9852	0	703	0	1759	0	1759	0	14074	0	985	0	2463	0	2463	0	19704	0	1407	0	3518	0	3518	0	28149	0
4	186	0	465	0	465	0	3722	0	263	0	659	0	659	0	5272	0	387	0	969	0	969	0	7754	0	542	0	1356	0	1356	0	10855	0	775	0	1938	0	1938	0	15508	0	1085	0	2713	0	2713	0	21711	0	1550	0	3877	0	3877	0	31016	0
5	205	2	512	9	512	9	4101	4	290	3	726	13	726	13	5811	5	427	5	1068	20	1068	20	8545	8	598	7	1495	28	1495	28	11964	11	854	10	2136	40	2136	40	17091	16	1196	14	2991	56	2991	56	23928	23	1709	20	4272	80	4272	80	34183	33
6	224	2	560	9	560	9	4482	4	317	3	793	13	793	13	6349	5	466	5	1167	20	1167	20	9337	8	653	7	1634	28	1634	28	13072	11	933	10	2334	40	2334	40	18675	16	1307	14	3268	56	3268	56	26145	23	1867	20	4668	80	4668	80	37350	33
7	243	2	609	9	609	9	4878	4	345	3	863	13	863	13	6911	5	508	5	1270	20	1270	20	10164	8	711	7	1778	28	1778	28	14229	11	1016	10	2541	40	2541	40	20328	16	1422	14	3557	56	3557	56	28459	23	2032	20	5082	80	5082	80	40656	33
