属性方案	序号	权重	属性ID	属性最大值	最大值权重	最小值Min1	最大值Max1	权重1	最小值Min2	最大值Max2	权重2
id	num	weight	attId	attMax	weightMax	vMin1	vMax1	vWeight1	vMin2	vMax2	vWeight2
Int	Int2	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1001	1	600	11	80	500	20	40	7500	40	60	2000
1001	2	600	28	160	500	40	80	7500	80	120	2000
1001	3	300	7	80	500	20	40	7500	40	60	2000
1002	1	600	11	200	500	100	140	7500	140	180	2000
1002	2	600	28	400	500	200	280	7500	280	360	2000
1002	3	300	7	200	500	100	140	7500	140	180	2000
1003	1	600	11	400	500	240	300	7500	300	360	2000
1003	2	600	28	800	500	480	600	7500	600	720	2000
1003	3	300	7	400	500	240	300	7500	300	360	2000
1004	1	600	11	700	500	480	560	7500	560	640	2000
1004	2	600	28	1400	500	960	1120	7500	1120	1280	2000
1004	3	300	7	700	500	480	560	7500	560	640	2000
1005	1	600	11	1000	500	820	880	7500	880	940	2000
1005	2	600	28	2000	500	1640	1760	7500	1760	1880	2000
1005	3	300	7	1000	500	820	880	7500	880	940	2000
1006	1	600	11	1400	500	1160	1240	7500	1240	1320	2000
1006	2	600	28	2800	500	2320	2480	7500	2480	2640	2000
1006	3	300	7	1400	500	1160	1240	7500	1240	1320	2000
1006	4	100	19	1400	500	1160	1240	7500	1240	1320	2000
1007	1	600	11	2000	500	1640	1760	7500	1760	1880	2000
1007	2	600	28	4000	500	3280	3520	7500	3520	3760	2000
1007	3	300	7	2000	500	1640	1760	7500	1760	1880	2000
1007	4	100	19	2000	500	1640	1760	7500	1760	1880	2000
2001	1	600	12	80	500	20	40	7500	40	60	2000
2001	2	600	29	160	500	40	80	7500	80	120	2000
2001	3	300	8	80	500	20	40	7500	40	60	2000
2002	1	600	12	200	500	100	140	7500	140	180	2000
2002	2	600	29	400	500	200	280	7500	280	360	2000
2002	3	300	8	200	500	100	140	7500	140	180	2000
2003	1	600	12	400	500	240	300	7500	300	360	2000
2003	2	600	29	800	500	480	600	7500	600	720	2000
2003	3	300	8	400	500	240	300	7500	300	360	2000
2004	1	600	12	700	500	480	560	7500	560	640	2000
2004	2	600	29	1400	500	960	1120	7500	1120	1280	2000
2004	3	300	8	700	500	480	560	7500	560	640	2000
2005	1	600	12	1000	500	820	880	7500	880	940	2000
2005	2	600	29	2000	500	1640	1760	7500	1760	1880	2000
2005	3	300	8	1000	500	820	880	7500	880	940	2000
2006	1	600	12	1400	500	1160	1240	7500	1240	1320	2000
2006	2	600	29	2800	500	2320	2480	7500	2480	2640	2000
2006	3	300	8	1400	500	1160	1240	7500	1240	1320	2000
2006	4	100	14	1400	500	1160	1240	7500	1240	1320	2000
2007	1	600	12	2000	500	1640	1760	7500	1760	1880	2000
2007	2	600	29	4000	500	3280	3520	7500	3520	3760	2000
2007	3	300	8	2000	500	1640	1760	7500	1760	1880	2000
2007	4	100	14	2000	500	1640	1760	7500	1760	1880	2000
3001	1	600	22	80	500	20	40	7500	40	60	2000
3001	2	600	20	80	500	20	40	7500	40	60	2000
3001	3	300	5	80	500	20	40	7500	40	60	2000
3001	4	300	6	80	500	20	40	7500	40	60	2000
3002	1	600	22	200	500	100	140	7500	140	180	2000
3002	2	600	20	200	500	100	140	7500	140	180	2000
3002	3	300	5	200	500	100	140	7500	140	180	2000
3002	4	300	6	200	500	100	140	7500	140	180	2000
3003	1	600	22	400	500	240	300	7500	300	360	2000
3003	2	600	20	400	500	240	300	7500	300	360	2000
3003	3	300	5	400	500	240	300	7500	300	360	2000
3003	4	300	6	400	500	240	300	7500	300	360	2000
3004	1	600	22	700	500	480	560	7500	560	640	2000
3004	2	600	20	700	500	480	560	7500	560	640	2000
3004	3	300	5	700	500	480	560	7500	560	640	2000
3004	4	300	6	700	500	480	560	7500	560	640	2000
3005	1	600	22	1000	500	820	880	7500	880	940	2000
3005	2	600	20	1000	500	820	880	7500	880	940	2000
3005	3	300	5	1000	500	820	880	7500	880	940	2000
3005	4	300	6	1000	500	820	880	7500	880	940	2000
3006	1	600	22	1400	500	1160	1240	7500	1240	1320	2000
3006	2	600	20	1400	500	1160	1240	7500	1240	1320	2000
3006	3	300	5	1400	500	1160	1240	7500	1240	1320	2000
3006	4	300	6	1400	500	1160	1240	7500	1240	1320	2000
3006	5	100	13	1400	500	1160	1240	7500	1240	1320	2000
3007	1	600	22	2000	500	1640	1760	7500	1760	1880	2000
3007	2	600	20	2000	500	1640	1760	7500	1760	1880	2000
3007	3	300	5	2000	500	1640	1760	7500	1760	1880	2000
3007	4	300	6	2000	500	1640	1760	7500	1760	1880	2000
3007	5	100	13	2000	500	1640	1760	7500	1760	1880	2000
4001	1	600	23	80	500	20	40	7500	40	60	2000
4001	2	600	21	80	500	20	40	7500	40	60	2000
4001	3	300	15	80	500	20	40	7500	40	60	2000
4001	4	300	24	80	500	20	40	7500	40	60	2000
4002	1	600	23	200	500	100	140	7500	140	180	2000
4002	2	600	21	200	500	100	140	7500	140	180	2000
4002	3	300	15	200	500	100	140	7500	140	180	2000
4002	4	300	24	200	500	100	140	7500	140	180	2000
4003	1	600	23	400	500	240	300	7500	300	360	2000
4003	2	600	21	400	500	240	300	7500	300	360	2000
4003	3	300	15	400	500	240	300	7500	300	360	2000
4003	4	300	24	400	500	240	300	7500	300	360	2000
4004	1	600	23	700	500	480	560	7500	560	640	2000
4004	2	600	21	700	500	480	560	7500	560	640	2000
4004	3	300	15	700	500	480	560	7500	560	640	2000
4004	4	300	24	700	500	480	560	7500	560	640	2000
4005	1	600	23	1000	500	820	880	7500	880	940	2000
4005	2	600	21	1000	500	820	880	7500	880	940	2000
4005	3	300	15	1000	500	820	880	7500	880	940	2000
4005	4	300	24	1000	500	820	880	7500	880	940	2000
4006	1	600	23	1400	500	1160	1240	7500	1240	1320	2000
4006	2	600	21	1400	500	1160	1240	7500	1240	1320	2000
4006	3	300	15	1400	500	1160	1240	7500	1240	1320	2000
4006	4	300	24	1400	500	1160	1240	7500	1240	1320	2000
4006	5	100	25	1400	500	1160	1240	7500	1240	1320	2000
4007	1	600	23	2000	500	1640	1760	7500	1760	1880	2000
4007	2	600	21	2000	500	1640	1760	7500	1760	1880	2000
4007	3	300	15	2000	500	1640	1760	7500	1760	1880	2000
4007	4	300	24	2000	500	1640	1760	7500	1760	1880	2000
4007	5	100	25	2000	500	1640	1760	7500	1760	1880	2000
