索引ID	出现商店类型（1-神将，2-商店，3-竞技场，4-爬塔，5-弃用黑市，6-国家商店, 7-跨服战商店,8-荣誉商店,9-军团商店	获得物品	组id	组权重（0为必出）	最低刷出等级	最高刷出等级	物品刷新权重	将魂消耗	货币权重	元宝消耗	货币权重1	金币消耗	货币权重2	军功消耗	货币权重3	军团币消耗	货币权重4	令牌消耗	货币权重5	军团战功消耗	货币权重6	千层塔币消耗	货币权重7	试练代币消耗	货币权重8	国战货币消耗	货币权重9	俸禄消耗	货币权重10
id	type	get	groupId	groupWeight	minLevel	maxLevel	weight	cost1	weight1	cost2	weight2	cost3	weight3	cost4	weight4	cost5	weight5	cost6	weight6	cost7	weight7	cost8	weight8	cost9	weight9	cost10	weight10	cost11	weight11
Int	Int	Award	Int	Int	Int	Int	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int
1	1	fragment.3101:5	1	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	fragment.3102:5	2	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	fragment.3103:5	3	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	fragment.3104:5	4	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	fragment.3105:5	5	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	fragment.3106:5	6	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	fragment.3107:5	7	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	fragment.3108:5	8	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	fragment.3109:5	9	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1	fragment.3201:5	10	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1	fragment.3202:5	11	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	fragment.3203:5	12	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	fragment.3204:5	13	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	1	fragment.3205:5	14	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1	fragment.3206:5	15	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	1	fragment.3207:5	16	195	0	100	50	user.soul:-50	100	user.cash:-50	0	user.gold:-10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
