物品组id	组内ID	最低刷出等级	最高刷出等级	最低刷出天数	最高刷出天数	可见条件	购买限次	出现特殊条件	购买方式	获得物品	组权重	购买条件类型	购买条件参数	购买单价	根据次数成长购买单价	标注
groupId	id	minLevel	maxLevel	minDay	maxDay	showLimit	timesLimit	birthSpecialLimit	buyType	get	groupWeight	buyLimitType	buyLimitValue	cost	buyCost	label
Int	Int2	Int	Int	Int	Int	String	String	String	Int	Award	Int	String	Ints	Award	String	String
10101	1	0	9999	1	9999	0	vip.shopLimit1	0	0	material.950:1	10000	0	0	user.mixcash:-30	shopCost1	text_shopUniversalGoodsLabel_1
10102	1	0	9999	1	9999	0	vip.shopLimit2	0	0	dragon.1001:1	10000	0	0	user.mixcash:-20	shopCost2	text_shopUniversalGoodsLabel_1
10103	1	0	9999	1	9999	0	vip.shopLimit3	0	0	user.atoken:1	10000	0	0	user.mixcash:-10	shopCost3	0
10104	1	0	9999	1	9999	0	0	0	0	user.rob:1	10000	0	0	user.mixcash:-10	0	0
10105	1	0	9999	1	9999	0	0	0	0	user.rotate_ncoin:1	10000	0	0	user.mixcash:-50	0	0
10106	1	0	9999	1	9999	0	0	0	0	user.rotate_hcoin:1	10000	0	0	user.cash:-500	0	0
10107	1	0	9999	1	9999	gameday.7	0	0	0	material.100:10	10000	0	0	user.mixcash:-100	0	0
10108	1	0	9999	1	9999	gameday.10	0	0	0	material.200:10	10000	0	0	user.mixcash:-100	0	0
10109	1	0	9999	1	9999	gameday.13	0	0	0	material.300:10	10000	0	0	user.mixcash:-100	0	0
10110	1	0	9999	1	9999	gameday.2	0	0	0	material.300001:1	10000	0	0	user.mixcash:-50	0	0
10111	1	0	9999	1	9999	gameday.2	0	0	0	material.300002:1	10000	0	0	user.mixcash:-50	0	0
10112	1	0	9999	1	9999	0	0	0	0	material.300004:1	10000	0	0	user.cash:-10	0	0
10201	1	0	9999	1	9999	0	1	0	0	user.gold:1000000	10000	vip	1	user.mixcash:-40	0	text_shopUniversalGoodsLabel_25
10202	1	0	9999	1	9999	0	1	0	0	material.1:100	10000	vip	2	user.mixcash:-50	0	text_shopUniversalGoodsLabel_25
10203	1	0	9999	1	9999	0	1	0	0	material.940:40	10000	vip	3	user.mixcash:-100	0	text_shopUniversalGoodsLabel_25
10204	1	0	9999	1	9999	0	1	0	0	material.950:10	10000	vip	4	user.mixcash:-150	0	text_shopUniversalGoodsLabel_25
10205	1	0	9999	1	9999	0	1	0	0	material.32:1	10000	vip	5	user.mixcash:-200	0	text_shopUniversalGoodsLabel_25
10206	1	0	9999	1	9999	0	1	0	0	user.rotate_ncoin:10	10000	vip	6	user.mixcash:-250	0	text_shopUniversalGoodsLabel_25
10207	1	0	9999	1	9999	0	1	0	0	user.htoken:5	10000	vip	7	user.mixcash:-625	0	text_shopUniversalGoodsLabel_25
10208	1	0	9999	1	9999	0	1	0	0	material.950:60	10000	vip	8	user.mixcash:-900	0	text_shopUniversalGoodsLabel_25
10209	1	0	9999	1	9999	0	1	0	0	skymount.6.1:7	10000	vip	9	user.mixcash:-1000	0	text_shopUniversalGoodsLabel_25
10210	1	0	9999	1	9999	0	1	0	0	user.rotate_hcoin:5	10000	vip	10	user.mixcash:-1250	0	text_shopUniversalGoodsLabel_25
10211	1	0	9999	1	9999	vip.7	1	0	0	material.400:1	10000	vip	11	user.mixcash:-2500	0	text_shopUniversalGoodsLabel_25
10212	1	0	9999	1	9999	vip.7	1	0	0	material.100401:5	10000	vip	12	user.mixcash:-1875	0	text_shopUniversalGoodsLabel_25
10213	1	0	9999	1	9999	vip.7	1	0	0	material.401:1	10000	vip	13	user.mixcash:-5000	0	text_shopUniversalGoodsLabel_25
10214	1	0	9999	1	9999	vip.12	1	0	0	material.100006:1	10000	vip	14	user.mixcash:-3280	0	text_shopUniversalGoodsLabel_25
10215	1	0	9999	1	9999	vip.12	1	0	0	group.2006.0:1	10000	vip	15	user.mixcash:-5000	0	text_shopUniversalGoodsLabel_25
10301	1	0	999	1	60	0	1	0	0	equip.10401.0:1	100	0	0	user.rotate_score:-1500	0	0
10301	2	0	999	1	60	0	1	0	0	equip.20401.0:1	100	0	0	user.rotate_score:-1500	0	0
10301	3	0	999	1	60	0	1	0	0	equip.30401.0:1	100	0	0	user.rotate_score:-1500	0	0
10301	4	0	999	1	60	0	1	0	0	equip.40401.0:1	100	0	0	user.rotate_score:-1500	0	0
10301	5	0	999	1	60	0	1	0	0	equip.50401.0:1	100	0	0	user.rotate_score:-1500	0	0
10301	6	0	999	1	60	0	1	0	0	equip.60401.0:1	100	0	0	user.rotate_score:-1500	0	0
10301	7	0	999	6	120	0	1	0	0	equip.10501.0:1	100	0	0	user.rotate_score:-6000	0	0
10301	8	0	999	6	120	0	1	0	0	equip.20501.0:1	100	0	0	user.rotate_score:-6000	0	0
10301	9	0	999	6	120	0	1	0	0	equip.30501.0:1	100	0	0	user.rotate_score:-6000	0	0
