技能Id	技能名称	技能说明	注释	技能类型	触发释放条件	目标选择时间类型	范围选择类型	直接选择目标类型	范围选择中心点类型	范围选择目标类型	目标偏移	是否显示范围	范围选择目标最大个数	扇形角度	圆形和扇形范围半径	矩形范围X1	矩形范围X2	矩形范围Y1	矩形范围Y2	施法动作	子弹Id	子弹延迟发射（ms）	子弹数量	子弹间隔时间毫秒	子弹发射类型	技能冒字	全屏头像	技能释放音效	技能受击音效	技能特效Id	技能特效Id2	受击特效	受击特效挂载点位置	受击特效渲染层级	特效循环次数	效果产生次数	效果产生延迟时间	效果产生间隔	效果类型(0没有效果，1普通效果，2真实伤害)	屏幕震动时间毫秒(只支持近战或者bulletType为2的技能)	震动强度横向	震动强度纵向	效果类型（1伤害，2加血）	是否显示数字	伤害类型（按武将类型，0物理，1魔法）	是否无视闪避	无视护甲万分比	无视技防万分比	附加暴击率万分比	附加吸血万分比	附加吸血固定值	抽怒万分比	消怒万分比	额外伤害类型	额外伤害值	伤害系数	召唤物ID	召唤物数量	召唤物死亡类型	存在时间（毫秒）	攻击次数	被攻击次数	召唤位置(1攻击者，2受攻击者，3技能的目标点)	召唤物出生相对位置1前方2后方	产生的buff	BUFF生效几率（万分比）	BUFF持续时间（毫秒）	施放者BUFF	释放者BUFF生效几率（万分比）	释放者BUFF持续时间（毫秒）	驱散效果(1驱散负面，2驱散正面，3驱散所有)	特殊处理	特殊脚本	脚本参数	技能喊话图片	技能icon	技能描述	技能参数	对比描述
id	name	ep1	ep2	type	conditionId	targetTimeType	rangeType	targetType	focusType	rangeTargetType	targetOffset	showRange	targetMaxNum	sectorAngle	rangeRadius	rangeX1	rangeX2	rangeY1	rangeY2	action	bulletId	bulletDelay	bulletNum	bulletInterval	bulletType	showName	showScreenName	soundEffect	hitSoundEffect	skillAnimationId	skillAnimationId2	affectedRes	affectedPos	affectedZorder	effectsTimes	effectTimes	effectDelay	effectInterval	effectId	shakeTime	shakeX	shakeY	dirType	showNum	damageType	ignoreDodge	ignoreDef	ignoreMag	addCrit	suckBloodPercent	suckBlood	suckMpPercent	burnMpPercent	extraDmgType	extraDmgValue	coefficient	summonId	summonNum	deathType	liveTime	attackTimes	beAttackTimes	bornPosType	bornRelativePos	buffId	buffOdds	buffTime	ownerBuffId	ownerBuffOdds	ownerBuffTime	dispel	specialHandle	specialKey	specialValue	skillShoutName	skillIcon	skillDesc	skillDescPara	compareDesc
Int	String	Ignore	Ignore	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	String	Int	Int	Int	Int	Int	String	String	String	String	Int	Int	String	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Ints	Ints	Ints	Ints	Ints	Ints	Int	String	Int	Ints	String	String	Strings	Strings	Strings
99901	普攻	普攻1级	大章鱼	1	0	1	1	2	0	0	0	0	7	0	0	0	0	0	0	attack	999	0	1	0	1	0	0	0	0	0	0	hit_dazhangyu00	2	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
99902	震地击	震地击1级	大章鱼	1	0	2	2	0	2	3	0	0	999	0	0	-200	200	-100	100	skill1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1000	10	10	1	1	1	0	0	0	0	0	0	0	0	0	0	150000	0	0	0	0	0	0	0	0	1001	10000	3000	0	0	0	0	0	0	0	0	1.png	0	0	0
99903	地泉狂涛	地泉狂涛1级	大章鱼	1	0	1	2	50	2	3	300	0	999	0	0	-600	600	-380	380	skill2	0	0	0	0	2	0	0	0	0	999	0	0	0	0	0	3	1000	1000	1	2000	10	10	1	1	1	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
1	0	刀兵通用普攻1级	刀兵通用普攻	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	0	0	0	0	2	0	0	0	media/effect/daobing_atk_01.mp3	0	0	hit_effect_2	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
2	0	弓兵通用普攻（弹弓）1级	弓兵通用普攻（弹弓）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	101	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	hit_effect_2	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
3	0	弓兵通用普攻（弓箭）1级	弓兵通用普攻（弓箭）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	103	0	1	0	1	0	0	0	media/effect/gongbing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
4	0	骑兵通用普攻1级	骑兵通用普攻	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	0	0	0	0	2	0	0	0	media/effect/qibing_atk_01.mp3	0	0	hit_effect_2	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
51	0	学院英雄用攻击（绿衣剑士）1级	学院英雄用攻击（绿衣剑士）	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	attack	0	0	0	0	2	0	0	0	media/effect/daobing_atk_01.mp3	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.png	0	0	0
