技能组id	英雄名字	普攻技能	怒气技能	自动技能1	自动技能1所需普攻次数
id	heroName	baseSkill	angerSkill	autoSkill1	autoSkillTimes1
Int	String	Int	Int	Int	Int
1	刀兵	1	0	0	0
2	弓兵-弹弓	2	0	0	0
3	弓兵-弓箭	3	0	0	0
4	骑兵	4	0	0	0
51	学院英雄用攻击（绿衣剑士）	51	0	0	0
52	学院英雄用攻击（野猪骑士）	52	0	0	0
53	学院英雄用攻击（小萝莉）	53	0	0	0
200	小兵-弓兵	200	0	0	0
201	小兵-弓兵	201	0	0	0
202	小兵-弓兵	202	0	0	0
203	小兵-弓兵	203	0	0	0
204	小兵-弓兵	204	0	0	0
205	小兵-弓兵	205	0	0	0
206	小兵-弓兵	206	0	0	0
999	开场大章鱼	99901	99903	99902	2
888	军团龙boss	88101	88301	88201	4
777	提纲BOSS	77101	77302	77201	4
1000	驯龙宝宝	10621	0	0	0
1001	驯龙宝宝（破甲）	10622	0	0	0
1002	驯龙宝宝（破甲）	10623	0	0	0
1003	驯龙宝宝（破甲、破技防）	10624	0	0	0
1004	驯龙宝宝（破甲、破技防）	10625	0	0	0
1005	驯龙宝宝（破甲、破技防）	10626	0	0	0
1006	驯龙宝宝（破甲、破技防）	10627	0	0	0
1007	驯龙宝宝（破甲、破技防）	10628	0	0	0
1008	驯龙宝宝（破甲、破技防）	10629	0	0	0
1009	驯龙宝宝（破甲、破技防）	10630	0	0	0
100100	绿衣剑士[紫]	40030001	40030201	40030101	4
100200	萝莉射手[紫]	40040001	40040201	40040101	4
200100	野猪骑士[紫]	40050001	40050201	40050101	4
200200	风语者[紫]	40060001	40060201	40060101	4
300100	血斧战士[紫]	40010001	40010201	40010101	4
300200	萝莉法师[紫]	40020001	40020201	40020101	4
500100	森语国王[橙]	50010001	50010201	50010101	4
500101	森语国王[红]	50010001	50011201	50011101	4
500102	森语国王[金]	50010001	50012201	50012101	4
500200	森语公主[橙]	50020001	50020201	50020101	4
500201	森语公主[红]	50020001	50021201	50021101	4
500202	森语公主[金]	50020001	50022201	50022101	4
500300	巨锤矮人[橙]	50030001	50030201	50030101	4
500301	巨锤矮人[红]	50030001	50031201	50031101	4
500302	巨锤矮人[金]	50030001	50032201	50032101	4
500400	火炮大师[橙]	50040001	50040201	50040101	4
500401	火炮大师[红]	50040001	50041201	50041101	4
500402	火炮大师[金]	50040001	50042201	50042101	4
500500	娜迦女王[橙]	50050001	50050201	50050101	4
500501	娜迦女王[红]	50050001	50051201	50051101	4
500502	娜迦女王[金]	50050001	50052201	50052101	4
500600	美杜莎[橙]	50060001	50060201	50060101	4
500601	美杜莎[红]	50060001	50061201	50061101	4
500602	美杜莎[金]	50060001	50062201	50062101	4
500700	圣光骑士[橙]	50070001	50070201	50070101	4
500701	圣光骑士[红]	50070001	50071201	50071101	4
500702	圣光骑士[金]	50070001	50072201	50072101	4
500800	光明圣女[橙]	50080001	50080201	50080101	4
500801	光明圣女[红]	50080001	50081201	50081101	4
500802	光明圣女[金]	50080001	50082201	50082101	4
500900	战斗法师[橙]	50090001	50090201	50090101	4
500901	战斗法师[红]	50090001	50091201	50091101	4
500902	战斗法师[金]	50090001	50092201	50092101	4
501000	黑暗圣女[橙]	50100001	50100201	50100101	4
501001	黑暗圣女[红]	50100001	50101201	50101101	4
501002	黑暗圣女[金]	50100001	50102201	50102101	4
511000	黑暗圣女[橙]分裂	51100001	50100201	50100101	4
511001	黑暗圣女[红]分裂	51110001	50101201	50101101	4
511002	黑暗圣女[金]分裂	51120001	50102201	50102101	4
501100	海盗屠夫[橙]	50110001	50110201	50110101	4
501101	海盗屠夫[红]	50110001	50111201	50111101	4
501102	海盗屠夫[金]	50110001	50112201	50112101	4
501200	皇家御厨[橙]	50120001	50120201	50120101	4
501201	皇家御厨[红]	50120001	50121201	50121101	4
501202	皇家御厨[金]	50120001	50122201	50122101	4
501300	法老[橙]	50130001	50130201	50130101	4
501301	法老[红]	50130001	50131201	50131101	4
501302	法老[金]	50130001	50132201	50132101	4
501400	艳后[橙]	50140001	50140201	50140101	4
501401	艳后[红]	50140001	50141201	50141101	4
501402	艳后[金]	50140001	50142201	50142101	4
501500	圣骑士[橙]	50150001	50150201	50150101	4
501501	圣骑士[红]	50150001	50151201	50151101	4
501502	圣骑士[金]	50150001	50152201	50152101	4
