类型(1-圣武，2-圣翼)	等阶	可使用次数	基础攻击提升(%)	基础生命提升(%)	基础物防提升(%)	基础法防提升(%)
type	level	num	atk	hp	def	mdef
Int	Int2	Int	Int	Int	Int	Int
1	0	0	0	0	0	0
1	1	0	0	0	0	0
1	2	0	0	0	0	0
1	3	0	0	0	0	0
1	4	5	2.5	2.5	2.5	2.5
1	5	10	2.5	2.5	2.5	2.5
1	6	15	2.5	2.5	2.5	2.5
1	7	20	2.5	2.5	2.5	2.5
1	8	30	2.5	2.5	2.5	2.5
1	9	40	2.5	2.5	2.5	2.5
1	10	50	2.5	2.5	2.5	2.5
2	0	0	0	0	0	0
2	1	0	0	0	0	0
2	2	0	0	0	0	0
2	3	0	0	0	0	0
2	4	5	2.5	2.5	2.5	2.5
2	5	10	2.5	2.5	2.5	2.5
2	6	15	2.5	2.5	2.5	2.5
2	7	20	2.5	2.5	2.5	2.5
2	8	30	2.5	2.5	2.5	2.5
2	9	40	2.5	2.5	2.5	2.5
2	10	50	2.5	2.5	2.5	2.5
3	0	0	0	0	0	0
3	1	0	0	0	0	0
3	2	0	0	0	0	0
3	3	0	0	0	0	0
3	4	5	2.5	2.5	2.5	2.5
3	5	10	2.5	2.5	2.5	2.5
3	6	15	2.5	2.5	2.5	2.5
3	7	20	2.5	2.5	2.5	2.5
3	8	30	2.5	2.5	2.5	2.5
3	9	40	2.5	2.5	2.5	2.5
3	10	50	2.5	2.5	2.5	2.5
