类型(1-圣武，2-圣翼，3-圣骑)	外饰	外饰名称	品质	特效方案	种类(1-时限,2-永久)	种类描述	获得方式描述	获得条件	获得参数	圣武图片路径	基础存在时间(单位：天)	属性提升%	骨骼ID	换装ID	获得途径	额外加成	属性1	值1	属性2	值2	属性3	值3	属性4	值4	属性5	值5	属性6	值6
type	id	name	quality	showeffect	kind	classDesc	getWayDesc	condition	value	icon	baseLifeTime	attribute	boneId	equipId	getway	moreAtt	att1	val1	att2	val2	att3	val3	att4	val4	att5	val5	att6	val6
Int	Int2	String	Int	Int	Int	String	String	String	Int	String	Int	Int	Ints	Ints	Ints	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	0	text_nil	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc1_0	level	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	text_skyChangeName1_1	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc1_1	level	1	uires/icon/peopleking/weapon/nan_wuqi_1.png	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	text_skyChangeName1_2	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc1_2	level	4	uires/icon/peopleking/weapon/nan_wuqi_2.png	0	8	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	3	text_skyChangeName1_3	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc1_3	level	7	uires/icon/peopleking/weapon/nan_wuqi_3.png	0	12	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4	text_skyChangeName1_4	5	0	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc1_4	level	10	uires/icon/peopleking/weapon/nan_wuqi_4.png	0	16	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	text_skyChangeName1_5	7	17	2	text_skyChangeClassDesc_1	text_skyChangeGetWayDesc1_5	activity	0	uires/icon/peopleking/weapon/nan_wuqi_5.png	0	20	1	5	0	1	1	720	2	450	3	450	4	8640	5	100	6	100
1	6	text_skyChangeName1_6	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc1_6	activity	0	uires/icon/peopleking/weapon/nan_wuqi_6.png	7	10	1	6	0	1	1	200	2	125	3	125	4	2400	5	50	6	50
1	7	text_skyChangeName1_7	5	0	1	text_skyChangeClassDesc_2	text_skyChangeGetWayDesc1_7	activity	0	uires/icon/peopleking/weapon/nan_wuqi_7.png	7	10	1	7	0	1	1	200	2	125	3	125	4	2400	5	50	6	50
