类型(1-圣武，2-圣翼，3-圣骑)	等阶	可使用次数	额外攻击	额外护甲	额外技防	额外生命
type	level	num	atk	def	mdef	hp
Int	Int2	Int	Int	Int	Int	Int
1	0	0	0	0	0	0
1	1	0	0	0	0	0
1	2	5	243	135	135	2813
1	3	10	271	151	151	3137
1	4	15	299	167	167	3462
1	5	20	327	182	182	3787
1	6	30	355	198	198	4111
1	7	40	383	214	214	4436
1	8	60	411	229	229	4760
1	9	80	439	245	245	5085
1	10	100	468	261	261	5410
2	0	0	0	0	0	0
2	1	0	0	0	0	0
2	2	5	225	146	146	2990
2	3	10	251	163	163	3335
2	4	15	277	180	180	3680
2	5	20	303	197	197	4025
2	6	30	329	214	214	4370
2	7	40	355	231	231	4715
2	8	60	381	248	248	5060
2	9	80	407	265	265	5405
2	10	100	434	282	282	5750
3	0	0	0	0	0	0
3	1	0	0	0	0	0
3	2	5	234	157	157	2636
3	3	10	261	175	175	2940
3	4	15	288	193	193	3244
3	5	20	315	212	212	3549
3	6	30	342	230	230	3853
3	7	40	369	248	248	4157
3	8	60	396	266	266	4461
3	9	80	423	284	284	4765
3	10	100	451	303	303	5070
