索引ID	技能等级	属性值	升至下级消耗
id	level	attValue	cost
Int	Int2	Int	Award
101	0	0	user.sky_book:-0
101	1	254	user.sky_book:-150
101	2	508	user.sky_book:-150
101	3	762	user.sky_book:-150
101	4	1016	user.sky_book:-150
101	5	1270	user.sky_book:-150
101	6	1524	user.sky_book:-150
101	7	1778	user.sky_book:-150
101	8	2032	user.sky_book:-150
101	9	2286	user.sky_book:-150
101	10	2540	user.sky_book:-1800
101	11	2859	user.sky_book:-1800
101	12	3178	user.sky_book:-1800
101	13	3497	user.sky_book:-1800
101	14	3816	user.sky_book:-1800
101	15	4135	user.sky_book:-1800
101	16	4454	user.sky_book:-1800
101	17	4773	user.sky_book:-1800
101	18	5092	user.sky_book:-1800
101	19	5411	user.sky_book:-1800
101	20	5730	user.sky_book:-3700
101	21	6187	user.sky_book:-3700
101	22	6644	user.sky_book:-3700
101	23	7101	user.sky_book:-3700
101	24	7558	user.sky_book:-3700
101	25	8015	user.sky_book:-3700
101	26	8472	user.sky_book:-3700
101	27	8929	user.sky_book:-3700
101	28	9386	user.sky_book:-3700
101	29	9843	user.sky_book:-3700
101	30	10300	user.sky_book:-4300
101	31	10730	user.sky_book:-4300
101	32	11160	user.sky_book:-4300
101	33	11590	user.sky_book:-4300
101	34	12020	user.sky_book:-4300
101	35	12450	user.sky_book:-4300
101	36	12880	user.sky_book:-4300
101	37	13310	user.sky_book:-4300
101	38	13740	user.sky_book:-4300
101	39	14170	user.sky_book:-4300
101	40	14600	user.sky_book:-5800
101	41	15100	user.sky_book:-5800
101	42	15600	user.sky_book:-5800
101	43	16100	user.sky_book:-5800
101	44	16600	user.sky_book:-5800
101	45	17100	user.sky_book:-5800
101	46	17600	user.sky_book:-5800
101	47	18100	user.sky_book:-5800
101	48	18600	user.sky_book:-5800
101	49	19100	user.sky_book:-5800
101	50	19600	user.sky_book:-7800
101	51	20180	user.sky_book:-7800
101	52	20760	user.sky_book:-7800
101	53	21340	user.sky_book:-7800
101	54	21920	user.sky_book:-7800
101	55	22500	user.sky_book:-7800
101	56	23080	user.sky_book:-7800
101	57	23660	user.sky_book:-7800
101	58	24240	user.sky_book:-7800
101	59	24820	user.sky_book:-7800
101	60	25400	user.sky_book:-10200
101	61	26060	user.sky_book:-10200
101	62	26720	user.sky_book:-10200
101	63	27380	user.sky_book:-10200
101	64	28040	user.sky_book:-10200
101	65	28700	user.sky_book:-10200
101	66	29360	user.sky_book:-10200
101	67	30020	user.sky_book:-10200
101	68	30680	user.sky_book:-10200
101	69	31340	user.sky_book:-10200
101	70	32000	user.sky_book:-13500
101	71	32730	user.sky_book:-13500
101	72	33460	user.sky_book:-13500
101	73	34190	user.sky_book:-13500
101	74	34920	user.sky_book:-13500
101	75	35650	user.sky_book:-13500
101	76	36380	user.sky_book:-13500
