兵种ID	模型ID	小兵名称	射程类型	技能组Id	体型大小	护甲类型	出生BUFF	基础攻击速度(毫秒)	生命上限继承百分比最小值	攻击继承百分比	物理护甲继承百分比	魔法抗性继承百分比	士兵攻击距离最小值	士兵攻击距离最大值	默认带兵数	垂直士兵最大数	英雄和士兵之间的间距	垂直士兵间距	水平士兵间距	速度波动范围起始值	速度波动范围结束值	交战点Y坐标偏移英雄范围起始值	交战点Y坐标偏移英雄范围结束值
id	modelId	soldierName	attackType	skillGroupId	bodySize	armorType	bornBuff	attackSpeed	heaPowPercent	attPowPercent	phyArmPowPercent	magArmPowPercent	attackRange1	attackRange2	ownSoldierNum	ysoldierMaxNum	heroSoldierSpacing	ysoldierSep	xsoldierSep	speedRange1	speedRange2	ypHeroRange1	ypHeroRange2
Int	Int	String	Int	Int	Int	Int	Ints	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
100	15101	text_soldierName_100	1	1	15	2	0	750	100	100	100	100	15	20	0	3	60	30	30	0	10	-8	30
101	15101	text_soldierName_101	1	1	15	2	0	750	100	100	100	100	15	20	3	3	60	30	30	0	10	-8	30
102	15102	text_soldierName_102	1	1	15	3	0	750	100	100	100	100	15	20	4	3	60	30	30	0	10	-8	30
103	15103	text_soldierName_103	1	1	15	4	0	750	100	100	100	100	15	20	5	3	60	30	30	0	10	-8	30
104	15104	text_soldierName_104	1	1	15	5	111	750	100	100	100	100	15	20	6	3	60	30	30	0	10	-8	30
105	15104	text_soldierName_105	1	1	15	5	112	750	100	100	100	100	15	20	7	3	60	30	30	0	10	-8	30
106	15105	text_soldierName_106	1	1	15	6	112|121	750	100	100	100	100	15	20	9	3	60	30	30	0	10	-8	30
200	15201	text_soldierName_200	2	201	15	1	0	250	100	100	100	100	0	100	0	3	60	30	30	0	10	-8	30
201	15201	text_soldierName_201	2	201	15	1	0	250	100	100	100	100	0	100	3	3	60	30	30	0	10	-8	30
202	15202	text_soldierName_202	2	202	15	1	0	250	100	100	100	100	0	100	4	3	60	30	30	0	10	-8	30
203	15203	text_soldierName_203	2	203	15	2	0	250	100	100	100	100	0	100	5	3	60	30	30	0	10	-8	30
204	15204	text_soldierName_204	2	204	15	3	211	250	100	100	100	100	0	100	6	3	60	30	30	0	10	-8	30
205	15204	text_soldierName_205	2	205	15	3	212	250	100	100	100	100	0	100	7	3	60	30	30	0	10	-8	30
206	15205	text_soldierName_206	2	206	15	4	212|221	250	100	100	100	100	0	100	9	3	60	30	30	0	10	-8	30
300	15301	text_soldierName_300	1	4	15	1	0	500	100	100	100	100	20	25	0	3	60	30	30	0	30	-8	30
301	15301	text_soldierName_301	1	4	15	1	0	500	100	100	100	100	20	25	3	3	60	30	30	0	30	-8	30
302	15302	text_soldierName_302	1	4	15	2	0	500	100	100	100	100	20	25	4	3	60	30	30	0	30	-8	30
303	15303	text_soldierName_303	1	4	15	3	0	500	100	100	100	100	20	25	5	3	60	30	30	0	30	-8	30
304	15304	text_soldierName_304	1	4	15	4	311	500	100	100	100	100	20	25	6	3	60	30	30	0	30	-8	30
305	15304	text_soldierName_305	1	4	15	4	312	500	100	100	100	100	20	25	7	3	60	30	30	0	30	-8	30
306	15305	text_soldierName_306	1	4	15	5	312|321	500	100	100	100	100	20	30	9	3	60	30	30	0	30	-8	30
100000000	19999	技能专用	1	0	0	0	0	750	100	100	100	100	0	0	1	1	0	0	0	0	0	0	0
