类型编号	进度编号	操作(程序用)	文字描述1	条件限制	数量	奖励1	前往
type	goalId	event	desc	condition	target	award	key
Int	Int2	String	String	Int	Int	Award	String
1	1	battle	text_taskBattle	0	1024	user.bindcash:20,user.egg:25	battle
1	2	battle	text_taskBattle	0	1038	user.bindcash:20,user.egg:25	battle
1	3	battle	text_taskBattle	0	1052	user.bindcash:20,user.egg:25	battle
1	4	battle	text_taskBattle	0	1066	user.bindcash:20,user.egg:25	battle
1	5	battle	text_taskBattle	0	1080	user.bindcash:20,user.egg:25	battle
1	6	battle	text_taskBattle	0	1094	user.bindcash:20,user.egg:25	battle
1	7	battle	text_taskBattle	0	1108	user.bindcash:20,user.egg:25	battle
1	8	battle	text_taskBattle	0	1122	user.bindcash:20,user.egg:25	battle
1	9	battle	text_taskBattle	0	1136	user.bindcash:20,user.egg:25	battle
1	10	battle	text_taskBattle	0	1150	user.bindcash:20,user.egg:25	battle
1	11	elite	text_taskElite	0	2024	user.bindcash:40,user.egg:25	battle
1	12	elite	text_taskElite	0	2038	user.bindcash:40,user.egg:25	battle
1	13	elite	text_taskElite	0	2052	user.bindcash:40,user.egg:25	battle
1	14	elite	text_taskElite	0	2066	user.bindcash:40,user.egg:25	battle
1	15	elite	text_taskElite	0	2080	user.bindcash:40,user.egg:25	battle
1	16	elite	text_taskElite	0	2094	user.bindcash:40,user.egg:25	battle
1	17	elite	text_taskElite	0	2108	user.bindcash:40,user.egg:25	battle
1	18	elite	text_taskElite	0	2122	user.bindcash:40,user.egg:25	battle
1	19	elite	text_taskElite	0	2136	user.bindcash:40,user.egg:25	battle
1	20	elite	text_taskElite	0	2150	user.bindcash:40,user.egg:25	battle
1	21	hard	text_taskHard	0	3024	user.bindcash:60,user.egg:25	battle
1	22	hard	text_taskHard	0	3038	user.bindcash:60,user.egg:25	battle
1	23	hard	text_taskHard	0	3052	user.bindcash:60,user.egg:25	battle
1	24	hard	text_taskHard	0	3066	user.bindcash:60,user.egg:25	battle
1	25	hard	text_taskHard	0	3080	user.bindcash:60,user.egg:25	battle
1	26	hard	text_taskHard	0	3094	user.bindcash:60,user.egg:25	battle
1	27	hard	text_taskHard	0	3108	user.bindcash:60,user.egg:25	battle
1	28	hard	text_taskHard	0	3122	user.bindcash:60,user.egg:25	battle
1	29	hard	text_taskHard	0	3136	user.bindcash:60,user.egg:25	battle
1	30	hard	text_taskHard	0	3150	user.bindcash:60,user.egg:25	battle
1	31	nightmare	text_taskNightmare	0	4024	user.bindcash:80,user.egg:25	battle
1	32	nightmare	text_taskNightmare	0	4038	user.bindcash:80,user.egg:25	battle
1	33	nightmare	text_taskNightmare	0	4052	user.bindcash:80,user.egg:25	battle
1	34	nightmare	text_taskNightmare	0	4066	user.bindcash:80,user.egg:25	battle
1	35	nightmare	text_taskNightmare	0	4080	user.bindcash:80,user.egg:25	battle
1	36	nightmare	text_taskNightmare	0	4094	user.bindcash:80,user.egg:25	battle
1	37	nightmare	text_taskNightmare	0	4108	user.bindcash:80,user.egg:25	battle
1	38	nightmare	text_taskNightmare	0	4122	user.bindcash:80,user.egg:25	battle
1	39	nightmare	text_taskNightmare	0	4136	user.bindcash:80,user.egg:25	battle
1	40	nightmare	text_taskNightmare	0	4150	user.bindcash:80,user.egg:25	battle
1	41	hell	text_taskHell	0	5024	user.bindcash:100,user.egg:25	battle
1	42	hell	text_taskHell	0	5038	user.bindcash:100,user.egg:25	battle
