编号	战斗ID	等级限制	扫荡耗时(s)	奖励	符文宝箱
id	formation	level	costTime	award	box
Int	Int	Int	Int	Award	Int
1	2004001	0	10	user.rune_exp:10,user.gold:200	0
2	2004002	0	10	user.rune_exp:10,user.gold:200	0
3	2004003	0	10	user.rune_exp:10,user.gold:200	0
4	2004004	0	10	user.rune_exp:10,user.gold:200	0
5	2004005	0	10	user.rune_exp:10,user.gold:200	1
6	2004006	0	10	user.rune_exp:10,user.gold:200	0
7	2004007	0	10	user.rune_exp:10,user.gold:200	0
8	2004008	0	10	user.rune_exp:10,user.gold:200	0
9	2004009	0	10	user.rune_exp:10,user.gold:200	0
10	2004010	0	10	user.rune_exp:10,user.gold:200	1
11	2004011	0	10	user.rune_exp:10,user.gold:200	0
12	2004012	0	10	user.rune_exp:10,user.gold:200	0
13	2004013	0	10	user.rune_exp:10,user.gold:200	0
14	2004014	0	10	user.rune_exp:10,user.gold:200	0
15	2004015	0	10	user.rune_exp:10,user.gold:200	1
16	2004016	0	10	user.rune_exp:10,user.gold:200	0
17	2004017	0	10	user.rune_exp:10,user.gold:200	0
18	2004018	0	10	user.rune_exp:10,user.gold:200	0
19	2004019	0	10	user.rune_exp:10,user.gold:200	0
20	2004020	0	10	user.rune_exp:10,user.gold:200	1
21	2004021	0	10	user.rune_exp:10,user.gold:200	0
22	2004022	0	10	user.rune_exp:10,user.gold:200	0
23	2004023	0	10	user.rune_exp:10,user.gold:200	0
24	2004024	0	10	user.rune_exp:10,user.gold:200	0
25	2004025	0	10	user.rune_exp:10,user.gold:200	1
26	2004026	0	10	user.rune_exp:10,user.gold:200	0
27	2004027	0	10	user.rune_exp:10,user.gold:200	0
28	2004028	0	10	user.rune_exp:10,user.gold:200	0
29	2004029	0	10	user.rune_exp:10,user.gold:200	0
30	2004030	0	10	user.rune_exp:10,user.gold:200	1
31	2004031	0	10	user.rune_exp:10,user.gold:200	0
32	2004032	0	10	user.rune_exp:10,user.gold:200	0
33	2004033	0	10	user.rune_exp:10,user.gold:200	0
34	2004034	0	10	user.rune_exp:10,user.gold:200	0
35	2004035	0	10	user.rune_exp:10,user.gold:200	1
36	2004036	0	10	user.rune_exp:10,user.gold:200	0
37	2004037	0	10	user.rune_exp:10,user.gold:200	0
38	2004038	0	10	user.rune_exp:10,user.gold:200	0
39	2004039	0	10	user.rune_exp:10,user.gold:200	0
40	2004040	0	10	user.rune_exp:10,user.gold:200	1
41	2004041	0	10	user.rune_exp:10,user.gold:200	0
42	2004042	0	10	user.rune_exp:10,user.gold:200	0
43	2004043	0	10	user.rune_exp:10,user.gold:200	0
44	2004044	0	10	user.rune_exp:10,user.gold:200	0
45	2004045	0	10	user.rune_exp:10,user.gold:200	1
