关数	普通1	普通几率1	暴击1	暴击几率1	幸运暴击1	幸运暴击几率1	普通2	普通几率2	暴击2	暴击几率2	幸运暴击2	幸运暴击几率2	普通3	普通几率3	暴击3	暴击几率3	幸运暴击3	幸运暴击几率3
id	normal1	normalWeight1	crit1	critWeight1	luckyCrit1	luckyCritWeight1	normal2	normalWeight2	crit2	critWeight2	luckyCrit2	luckyCritWeight2	normal3	normalWeight3	crit3	critWeight3	luckyCrit3	luckyCritWeight3
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	6	0.3	12	0.5	24	0.2	8	0.3	16	0.5	32	0.2	10	0.3	20	0.5	40	0.2
2	6	0.3	12	0.5	24	0.2	8	0.3	16	0.5	32	0.2	10	0.3	20	0.5	40	0.2
3	6	0.3	12	0.5	24	0.2	8	0.3	16	0.5	32	0.2	10	0.3	20	0.5	40	0.2
4	8	0.3	16	0.5	32	0.2	10	0.3	20	0.5	40	0.2	13	0.3	26	0.5	52	0.2
5	8	0.3	16	0.5	32	0.2	10	0.3	20	0.5	40	0.2	13	0.3	26	0.5	52	0.2
6	8	0.3	16	0.5	32	0.2	10	0.3	20	0.5	40	0.2	13	0.3	26	0.5	52	0.2
7	10	0.3	20	0.5	40	0.2	12	0.3	24	0.5	48	0.2	16	0.3	32	0.5	64	0.2
8	10	0.3	20	0.5	40	0.2	12	0.3	24	0.5	48	0.2	16	0.3	32	0.5	64	0.2
9	10	0.3	20	0.5	40	0.2	12	0.3	24	0.5	48	0.2	16	0.3	32	0.5	64	0.2
10	11	0.3	22	0.5	44	0.2	15	0.3	30	0.5	60	0.2	19	0.3	38	0.5	76	0.2
11	11	0.3	22	0.5	44	0.2	15	0.3	30	0.5	60	0.2	19	0.3	38	0.5	76	0.2
12	11	0.3	22	0.5	44	0.2	15	0.3	30	0.5	60	0.2	19	0.3	38	0.5	76	0.2
13	17	0.3	34	0.5	68	0.2	23	0.3	46	0.5	92	0.2	29	0.3	58	0.5	116	0.2
14	17	0.3	34	0.5	68	0.2	23	0.3	46	0.5	92	0.2	29	0.3	58	0.5	116	0.2
15	17	0.3	34	0.5	68	0.2	23	0.3	46	0.5	92	0.2	29	0.3	58	0.5	116	0.2
16	20	0.3	40	0.5	80	0.2	28	0.3	56	0.5	112	0.2	34	0.3	68	0.5	136	0.2
17	20	0.3	40	0.5	80	0.2	28	0.3	56	0.5	112	0.2	34	0.3	68	0.5	136	0.2
18	20	0.3	40	0.5	80	0.2	28	0.3	56	0.5	112	0.2	34	0.3	68	0.5	136	0.2
19	24	0.3	48	0.5	96	0.2	32	0.3	64	0.5	128	0.2	40	0.3	80	0.5	160	0.2
20	24	0.3	48	0.5	96	0.2	32	0.3	64	0.5	128	0.2	40	0.3	80	0.5	160	0.2
21	24	0.3	48	0.5	96	0.2	32	0.3	64	0.5	128	0.2	40	0.3	80	0.5	160	0.2
22	28	0.3	56	0.5	112	0.2	37	0.3	74	0.5	148	0.2	46	0.3	92	0.5	184	0.2
23	28	0.3	56	0.5	112	0.2	37	0.3	74	0.5	148	0.2	46	0.3	92	0.5	184	0.2
24	28	0.3	56	0.5	112	0.2	37	0.3	74	0.5	148	0.2	46	0.3	92	0.5	184	0.2
25	31	0.3	62	0.5	124	0.2	42	0.3	84	0.5	168	0.2	52	0.3	104	0.5	208	0.2
26	31	0.3	62	0.5	124	0.2	42	0.3	84	0.5	168	0.2	52	0.3	104	0.5	208	0.2
27	31	0.3	62	0.5	124	0.2	42	0.3	84	0.5	168	0.2	52	0.3	104	0.5	208	0.2
28	35	0.3	70	0.5	140	0.2	47	0.3	94	0.5	188	0.2	58	0.3	116	0.5	232	0.2
29	35	0.3	70	0.5	140	0.2	47	0.3	94	0.5	188	0.2	58	0.3	116	0.5	232	0.2
30	35	0.3	70	0.5	140	0.2	47	0.3	94	0.5	188	0.2	58	0.3	116	0.5	232	0.2
31	38	0.3	76	0.5	152	0.2	51	0.3	102	0.5	204	0.2	64	0.3	128	0.5	256	0.2
32	38	0.3	76	0.5	152	0.2	51	0.3	102	0.5	204	0.2	64	0.3	128	0.5	256	0.2
33	38	0.3	76	0.5	152	0.2	51	0.3	102	0.5	204	0.2	64	0.3	128	0.5	256	0.2
34	57	0.3	114	0.5	228	0.2	76	0.3	152	0.5	304	0.2	95	0.3	190	0.5	380	0.2
35	57	0.3	114	0.5	228	0.2	76	0.3	152	0.5	304	0.2	95	0.3	190	0.5	380	0.2
36	57	0.3	114	0.5	228	0.2	76	0.3	152	0.5	304	0.2	95	0.3	190	0.5	380	0.2
37	60	0.3	120	0.5	240	0.2	80	0.3	160	0.5	320	0.2	100	0.3	200	0.5	400	0.2
38	60	0.3	120	0.5	240	0.2	80	0.3	160	0.5	320	0.2	100	0.3	200	0.5	400	0.2
39	60	0.3	120	0.5	240	0.2	80	0.3	160	0.5	320	0.2	100	0.3	200	0.5	400	0.2
40	63	0.3	126	0.5	252	0.2	85	0.3	170	0.5	340	0.2	106	0.3	212	0.5	424	0.2
41	63	0.3	126	0.5	252	0.2	85	0.3	170	0.5	340	0.2	106	0.3	212	0.5	424	0.2
42	63	0.3	126	0.5	252	0.2	85	0.3	170	0.5	340	0.2	106	0.3	212	0.5	424	0.2
43	67	0.3	134	0.5	268	0.2	89	0.3	178	0.5	356	0.2	111	0.3	222	0.5	444	0.2
44	67	0.3	134	0.5	268	0.2	89	0.3	178	0.5	356	0.2	111	0.3	222	0.5	444	0.2
45	67	0.3	134	0.5	268	0.2	89	0.3	178	0.5	356	0.2	111	0.3	222	0.5	444	0.2
46	70	0.3	140	0.5	280	0.2	93	0.3	186	0.5	372	0.2	116	0.3	232	0.5	464	0.2
47	70	0.3	140	0.5	280	0.2	93	0.3	186	0.5	372	0.2	116	0.3	232	0.5	464	0.2
48	70	0.3	140	0.5	280	0.2	93	0.3	186	0.5	372	0.2	116	0.3	232	0.5	464	0.2
49	73	0.3	146	0.5	292	0.2	98	0.3	196	0.5	392	0.2	122	0.3	244	0.5	488	0.2
50	73	0.3	146	0.5	292	0.2	98	0.3	196	0.5	392	0.2	122	0.3	244	0.5	488	0.2
51	73	0.3	146	0.5	292	0.2	98	0.3	196	0.5	392	0.2	122	0.3	244	0.5	488	0.2
52	76	0.3	152	0.5	304	0.2	102	0.3	204	0.5	408	0.2	127	0.3	254	0.5	508	0.2
53	76	0.3	152	0.5	304	0.2	102	0.3	204	0.5	408	0.2	127	0.3	254	0.5	508	0.2
54	76	0.3	152	0.5	304	0.2	102	0.3	204	0.5	408	0.2	127	0.3	254	0.5	508	0.2
55	80	0.3	160	0.5	320	0.2	106	0.3	212	0.5	424	0.2	132	0.3	264	0.5	528	0.2
56	80	0.3	160	0.5	320	0.2	106	0.3	212	0.5	424	0.2	132	0.3	264	0.5	528	0.2
57	80	0.3	160	0.5	320	0.2	106	0.3	212	0.5	424	0.2	132	0.3	264	0.5	528	0.2
58	82	0.3	164	0.5	328	0.2	110	0.3	220	0.5	440	0.2	138	0.3	276	0.5	552	0.2
59	82	0.3	164	0.5	328	0.2	110	0.3	220	0.5	440	0.2	138	0.3	276	0.5	552	0.2
60	82	0.3	164	0.5	328	0.2	110	0.3	220	0.5	440	0.2	138	0.3	276	0.5	552	0.2
61	133	0.3	266	0.5	532	0.2	178	0.3	356	0.5	712	0.2	222	0.3	444	0.5	888	0.2
62	133	0.3	266	0.5	532	0.2	178	0.3	356	0.5	712	0.2	222	0.3	444	0.5	888	0.2
63	133	0.3	266	0.5	532	0.2	178	0.3	356	0.5	712	0.2	222	0.3	444	0.5	888	0.2
64	211	0.3	422	0.5	844	0.2	282	0.3	564	0.5	1128	0.2	352	0.3	704	0.5	1408	0.2
65	211	0.3	422	0.5	844	0.2	282	0.3	564	0.5	1128	0.2	352	0.3	704	0.5	1408	0.2
66	211	0.3	422	0.5	844	0.2	282	0.3	564	0.5	1128	0.2	352	0.3	704	0.5	1408	0.2
67	290	0.3	580	0.5	1160	0.2	386	0.3	772	0.5	1544	0.2	482	0.3	964	0.5	1928	0.2
68	290	0.3	580	0.5	1160	0.2	386	0.3	772	0.5	1544	0.2	482	0.3	964	0.5	1928	0.2
69	290	0.3	580	0.5	1160	0.2	386	0.3	772	0.5	1544	0.2	482	0.3	964	0.5	1928	0.2
70	368	0.3	736	0.5	1472	0.2	490	0.3	980	0.5	1960	0.2	612	0.3	1224	0.5	2448	0.2
71	368	0.3	736	0.5	1472	0.2	490	0.3	980	0.5	1960	0.2	612	0.3	1224	0.5	2448	0.2
72	368	0.3	736	0.5	1472	0.2	490	0.3	980	0.5	1960	0.2	612	0.3	1224	0.5	2448	0.2
73	445	0.3	890	0.5	1780	0.2	594	0.3	1188	0.5	2376	0.2	742	0.3	1484	0.5	2968	0.2
74	445	0.3	890	0.5	1780	0.2	594	0.3	1188	0.5	2376	0.2	742	0.3	1484	0.5	2968	0.2
75	445	0.3	890	0.5	1780	0.2	594	0.3	1188	0.5	2376	0.2	742	0.3	1484	0.5	2968	0.2
76	523	0.3	1046	0.5	2092	0.2	698	0.3	1396	0.5	2792	0.2	872	0.3	1744	0.5	3488	0.2
77	523	0.3	1046	0.5	2092	0.2	698	0.3	1396	0.5	2792	0.2	872	0.3	1744	0.5	3488	0.2
78	523	0.3	1046	0.5	2092	0.2	698	0.3	1396	0.5	2792	0.2	872	0.3	1744	0.5	3488	0.2
79	601	0.3	1202	0.5	2404	0.2	802	0.3	1604	0.5	3208	0.2	1002	0.3	2004	0.5	4008	0.2
80	601	0.3	1202	0.5	2404	0.2	802	0.3	1604	0.5	3208	0.2	1002	0.3	2004	0.5	4008	0.2
81	601	0.3	1202	0.5	2404	0.2	802	0.3	1604	0.5	3208	0.2	1002	0.3	2004	0.5	4008	0.2
82	1905	0.3	3810	0.5	7620	0.2	2540	0.3	5080	0.5	10160	0.2	3175	0.3	6350	0.5	12700	0.2
83	1905	0.3	3810	0.5	7620	0.2	2540	0.3	5080	0.5	10160	0.2	3175	0.3	6350	0.5	12700	0.2
84	1905	0.3	3810	0.5	7620	0.2	2540	0.3	5080	0.5	10160	0.2	3175	0.3	6350	0.5	12700	0.2
85	2054	0.3	4108	0.5	8216	0.2	2739	0.3	5478	0.5	10956	0.2	3424	0.3	6848	0.5	13696	0.2
86	2054	0.3	4108	0.5	8216	0.2	2739	0.3	5478	0.5	10956	0.2	3424	0.3	6848	0.5	13696	0.2
87	2054	0.3	4108	0.5	8216	0.2	2739	0.3	5478	0.5	10956	0.2	3424	0.3	6848	0.5	13696	0.2
88	2204	0.3	4408	0.5	8816	0.2	2939	0.3	5878	0.5	11756	0.2	3673	0.3	7346	0.5	14692	0.2
89	2204	0.3	4408	0.5	8816	0.2	2939	0.3	5878	0.5	11756	0.2	3673	0.3	7346	0.5	14692	0.2
90	2204	0.3	4408	0.5	8816	0.2	2939	0.3	5878	0.5	11756	0.2	3673	0.3	7346	0.5	14692	0.2
91	2354	0.3	4708	0.5	9416	0.2	3138	0.3	6276	0.5	12552	0.2	3923	0.3	7846	0.5	15692	0.2
92	2354	0.3	4708	0.5	9416	0.2	3138	0.3	6276	0.5	12552	0.2	3923	0.3	7846	0.5	15692	0.2
93	2354	0.3	4708	0.5	9416	0.2	3138	0.3	6276	0.5	12552	0.2	3923	0.3	7846	0.5	15692	0.2
94	2503	0.3	5006	0.5	10012	0.2	3338	0.3	6676	0.5	13352	0.2	4172	0.3	8344	0.5	16688	0.2
95	2503	0.3	5006	0.5	10012	0.2	3338	0.3	6676	0.5	13352	0.2	4172	0.3	8344	0.5	16688	0.2
96	2503	0.3	5006	0.5	10012	0.2	3338	0.3	6676	0.5	13352	0.2	4172	0.3	8344	0.5	16688	0.2
97	2653	0.3	5306	0.5	10612	0.2	3538	0.3	7076	0.5	14152	0.2	4422	0.3	8844	0.5	17688	0.2
98	2653	0.3	5306	0.5	10612	0.2	3538	0.3	7076	0.5	14152	0.2	4422	0.3	8844	0.5	17688	0.2
99	2653	0.3	5306	0.5	10612	0.2	3538	0.3	7076	0.5	14152	0.2	4422	0.3	8844	0.5	17688	0.2
100	2803	0.3	5606	0.5	11212	0.2	3737	0.3	7474	0.5	14948	0.2	4671	0.3	9342	0.5	18684	0.2
101	2803	0.3	5606	0.5	11212	0.2	3737	0.3	7474	0.5	14948	0.2	4671	0.3	9342	0.5	18684	0.2
102	2803	0.3	5606	0.5	11212	0.2	3737	0.3	7474	0.5	14948	0.2	4671	0.3	9342	0.5	18684	0.2
103	2952	0.3	5904	0.5	11808	0.2	3936	0.3	7872	0.5	15744	0.2	4920	0.3	9840	0.5	19680	0.2
104	2952	0.3	5904	0.5	11808	0.2	3936	0.3	7872	0.5	15744	0.2	4920	0.3	9840	0.5	19680	0.2
105	2952	0.3	5904	0.5	11808	0.2	3936	0.3	7872	0.5	15744	0.2	4920	0.3	9840	0.5	19680	0.2
